room_id,room_name,occupancy,selected_exit,route_id,distance,edge_count,path,edge_ids
R01,Reception & Waiting,6,EXIT_A,R01__EXIT_A,12.5,13,START_R01 -> C3 -> C4 -> DOOR_02 -> E4 -> E5 -> E6 -> E7 -> E8 -> E9 -> E10 -> E11 -> E12 -> EXIT_A,E179:START_R01--C3 | E020:C3--C4 | E216:C4--DOOR_02 | E217:DOOR_02--E4 | E025:E4--E5 | E026:E5--E6 | E027:E6--E7 | E028:E7--E8 | E029:E8--E9 | E031:E9--E10 | E033:E10--E11 | E034:E11--E12 | E239:E12--EXIT_A
R02,IT / Server Room,2,EXIT_A,R02__EXIT_A,10.75,12,START_R02 -> E3 -> DOOR_01 -> E4 -> E5 -> E6 -> E7 -> E8 -> E9 -> E10 -> E11 -> E12 -> EXIT_A,E183:START_R02--E3 | E214:E3--DOOR_01 | E215:DOOR_01--E4 | E025:E4--E5 | E026:E5--E6 | E027:E6--E7 | E028:E7--E8 | E029:E8--E9 | E031:E9--E10 | E033:E10--E11 | E034:E11--E12 | E239:E12--EXIT_A
R03,Central Open Office,24,EXIT_C,R03__EXIT_C,6.0,6,START_R03 -> H5 -> G5 -> G4 -> G3 -> G2 -> EXIT_C,E185:START_R03--H5 | E044:G5--H5 | E043:G4--G5 | E041:G3--G4 | E039:G2--G3 | E241:G2--EXIT_C
R04,Executive Conference,8,EXIT_E,R04__EXIT_E,5.0,5,START_R04 -> P3 -> P2 -> DOOR_07 -> N2 -> EXIT_E,E189:START_R04--P3 | E143:P2--P3 | E226:P2--DOOR_07 | E227:DOOR_07--N2 | E243:N2--EXIT_E
R05,Copy / Supply Room,1,EXIT_D,R05__EXIT_D,9.0,9,START_R05 -> DOOR_08 -> N4 -> N3 -> N2 -> DOOR_06 -> L2 -> K2 -> J2 -> EXIT_D,E213:START_R05--DOOR_08 | E228:DOOR_08--N4 | E135:N3--N4 | E134:N2--N3 | E225:DOOR_06--N2 | E224:L2--DOOR_06 | E102:K2--L2 | E086:J2--K2 | E242:J2--EXIT_D
R06,West Open Office,12,EXIT_A,R06__EXIT_A,10.5,11,START_R06 -> C7 -> C6 -> DOOR_03 -> E6 -> E7 -> E8 -> E9 -> E10 -> E11 -> E12 -> EXIT_A,E192:START_R06--C7 | E021:C6--C7 | E218:C6--DOOR_03 | E219:DOOR_03--E6 | E027:E6--E7 | E028:E7--E8 | E029:E8--E9 | E031:E9--E10 | E033:E10--E11 | E034:E11--E12 | E239:E12--EXIT_A
R07,East Open Office,11,EXIT_B,R07__EXIT_B,11.5,12,START_R07 -> P7 -> P8 -> DOOR_09 -> N8 -> N9 -> N10 -> DOOR_10 -> P10 -> Q10 -> START_R12 -> Q12 -> EXIT_B,E197:START_R07--P7 | E146:P7--P8 | E229:P8--DOOR_09 | E230:DOOR_09--N8 | E140:N8--N9 | E141:N9--N10 | E232:DOOR_10--N10 | E231:P10--DOOR_10 | E148:P10--Q10 | E212:START_R12--Q10 | E244:START_R12--Q12 | E240:Q12--EXIT_B
R08,Training Room,14,EXIT_A,R08__EXIT_A,6.5,7,START_R08 -> C11 -> C10 -> DOOR_04 -> E10 -> E11 -> E12 -> EXIT_A,E200:START_R08--C11 | E023:C10--C11 | E220:C10--DOOR_04 | E221:DOOR_04--E10 | E033:E10--E11 | E034:E11--E12 | E239:E12--EXIT_A
R09,Conference Room A,5,EXIT_A,R09__EXIT_A,8.0,9,START_R09 -> G12 -> G11 -> DOOR_11 -> G10 -> F10 -> E10 -> E11 -> E12 -> EXIT_A,E205:START_R09--G12 | E055:G11--G12 | E233:G11--DOOR_11 | E234:DOOR_11--G10 | E037:F10--G10 | E032:E10--F10 | E033:E10--E11 | E034:E11--E12 | E239:E12--EXIT_A
R10,Human Resources,4,EXIT_B,R10__EXIT_B,10.75,12,START_R10 -> K11 -> DOOR_12 -> K10 -> L10 -> M10 -> N10 -> DOOR_10 -> P10 -> Q10 -> START_R12 -> Q12 -> EXIT_B,E208:START_R10--K11 | E235:K11--DOOR_12 | E236:DOOR_12--K10 | E117:K10--L10 | E127:L10--M10 | E131:M10--N10 | E232:DOOR_10--N10 | E231:P10--DOOR_10 | E148:P10--Q10 | E212:START_R12--Q10 | E244:START_R12--Q12 | E240:Q12--EXIT_B
R11,Finance / Administration,5,EXIT_E,R11__EXIT_E,13.0,14,START_R11 -> M12 -> M11 -> DOOR_13 -> M10 -> M9 -> N9 -> N8 -> N7 -> N6 -> N5 -> N4 -> N3 -> N2 -> EXIT_E,E209:START_R11--M12 | E133:M11--M12 | E237:M11--DOOR_13 | E238:DOOR_13--M10 | E130:M9--M10 | E129:M9--N9 | E140:N8--N9 | E139:N7--N8 | E138:N6--N7 | E137:N5--N6 | E136:N4--N5 | E135:N3--N4 | E134:N2--N3 | E243:N2--EXIT_E
R12,Break Room,8,EXIT_B,R12__EXIT_B,2.0,2,START_R12 -> Q12 -> EXIT_B,E244:START_R12--Q12 | E240:Q12--EXIT_B
