room_id,room_name,primary_exit,sequence_index,node_id,node_type,grid_position
R01,Room 01,EXIT_A,0,START_R01,room_start,B5
R01,Room 01,EXIT_A,1,DOOR_01,door,B4
R01,Room 01,EXIT_A,2,C0,navigation,B3
R01,Room 01,EXIT_A,3,EXIT_A,exit,B2.5
R02,Room 02,EXIT_A,0,START_R02,room_start,C1
R02,Room 02,EXIT_A,1,DOOR_02,door,C2
R02,Room 02,EXIT_A,2,C1,navigation,C3
R02,Room 02,EXIT_A,3,C0,navigation,B3
R02,Room 02,EXIT_A,4,EXIT_A,exit,B2.5
R03,Room 03,EXIT_B,0,START_R03,room_start,D5
R03,Room 03,EXIT_B,1,DOOR_03,door,D4
R03,Room 03,EXIT_B,2,C2,navigation,D3
R03,Room 03,EXIT_B,3,EXIT_B,exit,D2.5
R04,Room 04,EXIT_C,0,START_R04,room_start,E1
R04,Room 04,EXIT_C,1,DOOR_04,door,E2
R04,Room 04,EXIT_C,2,C3,navigation,E3
R04,Room 04,EXIT_C,3,EXIT_C,exit,E2.5
R05,Room 05,EXIT_C,0,START_R05,room_start,F5
R05,Room 05,EXIT_C,1,DOOR_05,door,F4
R05,Room 05,EXIT_C,2,C4,navigation,F3
R05,Room 05,EXIT_C,3,C3,navigation,E3
R05,Room 05,EXIT_C,4,EXIT_C,exit,E2.5
R06,Room 06,EXIT_D,0,START_R06,room_start,G1
R06,Room 06,EXIT_D,1,DOOR_06,door,G2
R06,Room 06,EXIT_D,2,C5,navigation,G3
R06,Room 06,EXIT_D,3,EXIT_D,exit,G2.5
R07,Room 07,EXIT_A,0,START_R07,room_start,B5
R07,Room 07,EXIT_A,1,DOOR_07,door,B4
R07,Room 07,EXIT_A,2,C0,navigation,B3
R07,Room 07,EXIT_A,3,EXIT_A,exit,B2.5
R08,Room 08,EXIT_A,0,START_R08,room_start,C1
R08,Room 08,EXIT_A,1,DOOR_08,door,C2
R08,Room 08,EXIT_A,2,C1,navigation,C3
R08,Room 08,EXIT_A,3,C0,navigation,B3
R08,Room 08,EXIT_A,4,EXIT_A,exit,B2.5
R09,Room 09,EXIT_B,0,START_R09,room_start,D5
R09,Room 09,EXIT_B,1,DOOR_09,door,D4
R09,Room 09,EXIT_B,2,C2,navigation,D3
R09,Room 09,EXIT_B,3,EXIT_B,exit,D2.5
R10,Room 10,EXIT_C,0,START_R10,room_start,E1
R10,Room 10,EXIT_C,1,DOOR_10,door,E2
R10,Room 10,EXIT_C,2,C3,navigation,E3
R10,Room 10,EXIT_C,3,EXIT_C,exit,E2.5
R11,Room 11,EXIT_C,0,START_R11,room_start,F5
R11,Room 11,EXIT_C,1,DOOR_11,door,F4
R11,Room 11,EXIT_C,2,C4,navigation,F3
R11,Room 11,EXIT_C,3,C3,navigation,E3
R11,Room 11,EXIT_C,4,EXIT_C,exit,E2.5
R12,Room 12,EXIT_D,0,START_R12,room_start,G1
R12,Room 12,EXIT_D,1,DOOR_12,door,G2
R12,Room 12,EXIT_D,2,C5,navigation,G3
R12,Room 12,EXIT_D,3,EXIT_D,exit,G2.5
R13,Room 13,EXIT_A,0,START_R13,room_start,B5
R13,Room 13,EXIT_A,1,DOOR_13,door,B4
R13,Room 13,EXIT_A,2,C0,navigation,B3
R13,Room 13,EXIT_A,3,EXIT_A,exit,B2.5
R14,Room 14,EXIT_A,0,START_R14,room_start,C1
R14,Room 14,EXIT_A,1,DOOR_14,door,C2
R14,Room 14,EXIT_A,2,C1,navigation,C3
R14,Room 14,EXIT_A,3,C0,navigation,B3
R14,Room 14,EXIT_A,4,EXIT_A,exit,B2.5
R15,Room 15,EXIT_B,0,START_R15,room_start,D5
R15,Room 15,EXIT_B,1,DOOR_15,door,D4
R15,Room 15,EXIT_B,2,C2,navigation,D3
R15,Room 15,EXIT_B,3,EXIT_B,exit,D2.5
R16,Room 16,EXIT_C,0,START_R16,room_start,E1
R16,Room 16,EXIT_C,1,DOOR_16,door,E2
R16,Room 16,EXIT_C,2,C3,navigation,E3
R16,Room 16,EXIT_C,3,EXIT_C,exit,E2.5
R17,Room 17,EXIT_C,0,START_R17,room_start,F5
R17,Room 17,EXIT_C,1,DOOR_17,door,F4
R17,Room 17,EXIT_C,2,C4,navigation,F3
R17,Room 17,EXIT_C,3,C3,navigation,E3
R17,Room 17,EXIT_C,4,EXIT_C,exit,E2.5
R18,Room 18,EXIT_D,0,START_R18,room_start,G1
R18,Room 18,EXIT_D,1,DOOR_18,door,G2
R18,Room 18,EXIT_D,2,C5,navigation,G3
R18,Room 18,EXIT_D,3,EXIT_D,exit,G2.5
R19,Room 19,EXIT_A,0,START_R19,room_start,B5
R19,Room 19,EXIT_A,1,DOOR_19,door,B4
R19,Room 19,EXIT_A,2,C0,navigation,B3
R19,Room 19,EXIT_A,3,EXIT_A,exit,B2.5
R20,Room 20,EXIT_A,0,START_R20,room_start,C1
R20,Room 20,EXIT_A,1,DOOR_20,door,C2
R20,Room 20,EXIT_A,2,C1,navigation,C3
R20,Room 20,EXIT_A,3,C0,navigation,B3
R20,Room 20,EXIT_A,4,EXIT_A,exit,B2.5
