node_id,node_type,grid_position,description,space_type,space_id,space_name,room_id,room_name
AA10,navigation,AA10,walkable room grid point,room,R10,Printer Room,R10,Printer Room
AA12,navigation,AA12,walkable room grid point,room,R15,Supply Closet,R15,Supply Closet
AA14,navigation,AA14,walkable room grid point,room,R15,Supply Closet,R15,Supply Closet
AA16,navigation,AA16,hallway grid point,hallway,H03,Hallway 03,,
AA18,navigation,AA18,walkable room grid point,room,R24,Laundry Room,R24,Laundry Room
AA19,navigation,AA19,walkable room grid point,room,R24,Laundry Room,R24,Laundry Room
AA2,navigation,AA2,walkable room grid point,room,R06,Apartment 105,R06,Apartment 105
AA20,navigation,AA20,walkable room grid point,room,R24,Laundry Room,R24,Laundry Room
AA21.5,navigation,AA21.5,hallway grid point,hallway,H03,Hallway 03,,
AA22,navigation,AA22,hallway grid point,hallway,H03,Hallway 03,,
AA23,navigation,AA23,hallway grid point,hallway,H03,Hallway 03,,
AA24,navigation,AA24,hallway grid point,hallway,H03,Hallway 03,,
AA25,navigation,AA25,hallway grid point,hallway,H03,Hallway 03,,
AA26,navigation,AA26,hallway grid point,hallway,H03,Hallway 03,,
AA27,navigation,AA27,hallway grid point,hallway,H03,Hallway 03,,
AA4,navigation,AA4,walkable room grid point,room,R06,Apartment 105,R06,Apartment 105
AA6,navigation,AA6,hallway grid point,hallway,H03,Hallway 03,,
AA8,navigation,AA8,walkable room grid point,room,R10,Printer Room,R10,Printer Room
AB10,navigation,AB10,walkable room grid point,room,R10,Printer Room,R10,Printer Room
AB11,navigation,AB11,walkable room grid point,room,R10,Printer Room,R10,Printer Room
AB12,navigation,AB12,hallway grid point,hallway,H03,Hallway 03,,
AB13,navigation,AB13,hallway grid point,hallway,H03,Hallway 03,,
AB14.5,navigation,AB14.5,hallway grid point,hallway,H03,Hallway 03,,
AB16,navigation,AB16,hallway grid point,hallway,H03,Hallway 03,,
AB18,navigation,AB18,walkable room grid point,room,R24,Laundry Room,R24,Laundry Room
AB19,navigation,AB19,walkable room grid point,room,R24,Laundry Room,R24,Laundry Room
AB2,navigation,AB2,walkable room grid point,room,R06,Apartment 105,R06,Apartment 105
AB20,navigation,AB20,walkable room grid point,room,R24,Laundry Room,R24,Laundry Room
AB21.5,navigation,AB21.5,hallway grid point,hallway,H03,Hallway 03,,
AB22,navigation,AB22,hallway grid point,hallway,H03,Hallway 03,,
AB23,navigation,AB23,hallway grid point,hallway,H03,Hallway 03,,
AB3,navigation,AB3,walkable room grid point,room,R06,Apartment 105,R06,Apartment 105
AB4,navigation,AB4,walkable room grid point,room,R06,Apartment 105,R06,Apartment 105
AB6,navigation,AB6,hallway grid point,hallway,H03,Hallway 03,,
AB8,navigation,AB8,walkable room grid point,room,R10,Printer Room,R10,Printer Room
AB9,navigation,AB9,walkable room grid point,room,R10,Printer Room,R10,Printer Room
AC16,navigation,AC16,hallway grid point,hallway,H03,Hallway 03,,
AC23,navigation,AC23,hallway grid point,hallway,H03,Hallway 03,,
AC25,navigation,AC25,walkable room grid point,room,R34,Apartment 122,R34,Apartment 122
AC26,navigation,AC26,walkable room grid point,room,R34,Apartment 122,R34,Apartment 122
AC27,navigation,AC27,walkable room grid point,room,R34,Apartment 122,R34,Apartment 122
AC6,navigation,AC6,hallway grid point,hallway,H03,Hallway 03,,
AD10,navigation,AD10,walkable room grid point,room,R11,Apartment 110,R11,Apartment 110
AD12,navigation,AD12,walkable room grid point,room,R16,Apartment 112,R16,Apartment 112
AD13,navigation,AD13,walkable room grid point,room,R16,Apartment 112,R16,Apartment 112
AD14,navigation,AD14,walkable room grid point,room,R16,Apartment 112,R16,Apartment 112
AD16,navigation,AD16,hallway grid point,hallway,H03,Hallway 03,,
AD18,navigation,AD18,walkable room grid point,room,R25,Apartment 115,R25,Apartment 115
AD19,navigation,AD19,walkable room grid point,room,R25,Apartment 115,R25,Apartment 115
AD2,navigation,AD2,walkable room grid point,room,R07,Apartment 107,R07,Apartment 107
AD20,navigation,AD20,walkable room grid point,room,R25,Apartment 115,R25,Apartment 115
AD21,navigation,AD21,walkable room grid point,room,R25,Apartment 115,R25,Apartment 115
AD23,navigation,AD23,hallway grid point,hallway,H03,Hallway 03,,
AD25,navigation,AD25,walkable room grid point,room,R34,Apartment 122,R34,Apartment 122
AD26,navigation,AD26,walkable room grid point,room,R34,Apartment 122,R34,Apartment 122
AD27,navigation,AD27,walkable room grid point,room,R34,Apartment 122,R34,Apartment 122
AD3,navigation,AD3,walkable room grid point,room,R07,Apartment 107,R07,Apartment 107
AD4,navigation,AD4,walkable room grid point,room,R07,Apartment 107,R07,Apartment 107
AD6,navigation,AD6,hallway grid point,hallway,H03,Hallway 03,,
AD8,navigation,AD8,walkable room grid point,room,R11,Apartment 110,R11,Apartment 110
AD9,navigation,AD9,walkable room grid point,room,R11,Apartment 110,R11,Apartment 110
AE10,navigation,AE10,walkable room grid point,room,R11,Apartment 110,R11,Apartment 110
AE12,navigation,AE12,walkable room grid point,room,R16,Apartment 112,R16,Apartment 112
AE14,navigation,AE14,walkable room grid point,room,R16,Apartment 112,R16,Apartment 112
AE16,navigation,AE16,hallway grid point,hallway,H03,Hallway 03,,
AE18,navigation,AE18,walkable room grid point,room,R25,Apartment 115,R25,Apartment 115
AE19,navigation,AE19,walkable room grid point,room,R25,Apartment 115,R25,Apartment 115
AE2,navigation,AE2,walkable room grid point,room,R07,Apartment 107,R07,Apartment 107
AE21,navigation,AE21,walkable room grid point,room,R25,Apartment 115,R25,Apartment 115
AE23,navigation,AE23,hallway grid point,hallway,H03,Hallway 03,,
AE25,navigation,AE25,walkable room grid point,room,R34,Apartment 122,R34,Apartment 122
AE27,navigation,AE27,walkable room grid point,room,R34,Apartment 122,R34,Apartment 122
AE4,navigation,AE4,walkable room grid point,room,R07,Apartment 107,R07,Apartment 107
AE6,navigation,AE6,hallway grid point,hallway,H03,Hallway 03,,
AE8,navigation,AE8,walkable room grid point,room,R11,Apartment 110,R11,Apartment 110
AF10,navigation,AF10,walkable room grid point,room,R11,Apartment 110,R11,Apartment 110
AF12,navigation,AF12,walkable room grid point,room,R16,Apartment 112,R16,Apartment 112
AF13,navigation,AF13,walkable room grid point,room,R16,Apartment 112,R16,Apartment 112
AF14,navigation,AF14,walkable room grid point,room,R16,Apartment 112,R16,Apartment 112
AF16,navigation,AF16,hallway grid point,hallway,H03,Hallway 03,,
AF18,navigation,AF18,walkable room grid point,room,R25,Apartment 115,R25,Apartment 115
AF19,navigation,AF19,walkable room grid point,room,R25,Apartment 115,R25,Apartment 115
AF2,navigation,AF2,walkable room grid point,room,R07,Apartment 107,R07,Apartment 107
AF20,navigation,AF20,walkable room grid point,room,R25,Apartment 115,R25,Apartment 115
AF21,navigation,AF21,walkable room grid point,room,R25,Apartment 115,R25,Apartment 115
AF23,navigation,AF23,hallway grid point,hallway,H03,Hallway 03,,
AF25,navigation,AF25,walkable room grid point,room,R34,Apartment 122,R34,Apartment 122
AF26,navigation,AF26,walkable room grid point,room,R34,Apartment 122,R34,Apartment 122
AF27,navigation,AF27,walkable room grid point,room,R34,Apartment 122,R34,Apartment 122
AF3,navigation,AF3,walkable room grid point,room,R07,Apartment 107,R07,Apartment 107
AF4,navigation,AF4,walkable room grid point,room,R07,Apartment 107,R07,Apartment 107
AF6,navigation,AF6,hallway grid point,hallway,H03,Hallway 03,,
AF8,navigation,AF8,walkable room grid point,room,R11,Apartment 110,R11,Apartment 110
AF9,navigation,AF9,walkable room grid point,room,R11,Apartment 110,R11,Apartment 110
B10,navigation,B10,walkable room grid point,room,R08,Apartment 109,R08,Apartment 109
B12,navigation,B12,walkable room grid point,room,R13,Apartment 113,R13,Apartment 113
B13,navigation,B13,walkable room grid point,room,R13,Apartment 113,R13,Apartment 113
B14,navigation,B14,walkable room grid point,room,R13,Apartment 113,R13,Apartment 113
B16,navigation,B16,hallway grid point,hallway,H03,Hallway 03,,
B18,navigation,B18,walkable room grid point,room,R36,Communal Kitchen,R36,Communal Kitchen
B19,navigation,B19,walkable room grid point,room,R36,Communal Kitchen,R36,Communal Kitchen
B2,navigation,B2,walkable room grid point,room,R01,Apartment 102,R01,Apartment 102
B20,navigation,B20,walkable room grid point,room,R36,Communal Kitchen,R36,Communal Kitchen
B21,navigation,B21,walkable room grid point,room,R36,Communal Kitchen,R36,Communal Kitchen
B23,navigation,B23,hallway grid point,hallway,H02,Hallway 02,,
B25,navigation,B25,walkable room grid point,room,R28,Apartment 120,R28,Apartment 120
B26,navigation,B26,walkable room grid point,room,R28,Apartment 120,R28,Apartment 120
B27,navigation,B27,walkable room grid point,room,R28,Apartment 120,R28,Apartment 120
B3,navigation,B3,walkable room grid point,room,R01,Apartment 102,R01,Apartment 102
B4,navigation,B4,walkable room grid point,room,R01,Apartment 102,R01,Apartment 102
B6,navigation,B6,walkable room grid point,room,R35,Apartment 108,R35,Apartment 108
B8,navigation,B8,walkable room grid point,room,R08,Apartment 109,R08,Apartment 109
B9,navigation,B9,walkable room grid point,room,R08,Apartment 109,R08,Apartment 109
C10,navigation,C10,walkable room grid point,room,R08,Apartment 109,R08,Apartment 109
C12,navigation,C12,walkable room grid point,room,R13,Apartment 113,R13,Apartment 113
C14,navigation,C14,walkable room grid point,room,R13,Apartment 113,R13,Apartment 113
C16,navigation,C16,hallway grid point,hallway,H03,Hallway 03,,
C18,navigation,C18,walkable room grid point,room,R36,Communal Kitchen,R36,Communal Kitchen
C19,navigation,C19,walkable room grid point,room,R36,Communal Kitchen,R36,Communal Kitchen
C2,navigation,C2,walkable room grid point,room,R01,Apartment 102,R01,Apartment 102
C20,navigation,C20,walkable room grid point,room,R36,Communal Kitchen,R36,Communal Kitchen
C21,navigation,C21,walkable room grid point,room,R36,Communal Kitchen,R36,Communal Kitchen
C23,navigation,C23,hallway grid point,hallway,H02,Hallway 02,,
C25,navigation,C25,walkable room grid point,room,R28,Apartment 120,R28,Apartment 120
C27,navigation,C27,walkable room grid point,room,R28,Apartment 120,R28,Apartment 120
C4,navigation,C4,walkable room grid point,room,R01,Apartment 102,R01,Apartment 102
C8,navigation,C8,walkable room grid point,room,R08,Apartment 109,R08,Apartment 109
D10,navigation,D10,walkable room grid point,room,R08,Apartment 109,R08,Apartment 109
D12,navigation,D12,walkable room grid point,room,R13,Apartment 113,R13,Apartment 113
D13,navigation,D13,walkable room grid point,room,R13,Apartment 113,R13,Apartment 113
D14,navigation,D14,walkable room grid point,room,R13,Apartment 113,R13,Apartment 113
D16,navigation,D16,hallway grid point,hallway,H03,Hallway 03,,
D18,navigation,D18,walkable room grid point,room,R36,Communal Kitchen,R36,Communal Kitchen
D19,navigation,D19,walkable room grid point,room,R36,Communal Kitchen,R36,Communal Kitchen
D2,navigation,D2,walkable room grid point,room,R01,Apartment 102,R01,Apartment 102
D20,navigation,D20,walkable room grid point,room,R36,Communal Kitchen,R36,Communal Kitchen
D21,navigation,D21,walkable room grid point,room,R36,Communal Kitchen,R36,Communal Kitchen
D23,navigation,D23,hallway grid point,hallway,H02,Hallway 02,,
D25,navigation,D25,walkable room grid point,room,R28,Apartment 120,R28,Apartment 120
D26,navigation,D26,walkable room grid point,room,R28,Apartment 120,R28,Apartment 120
D27,navigation,D27,walkable room grid point,room,R28,Apartment 120,R28,Apartment 120
D3,navigation,D3,walkable room grid point,room,R01,Apartment 102,R01,Apartment 102
D4,navigation,D4,walkable room grid point,room,R01,Apartment 102,R01,Apartment 102
D6,navigation,D6,walkable room grid point,room,R35,Apartment 108,R35,Apartment 108
D8,navigation,D8,walkable room grid point,room,R08,Apartment 109,R08,Apartment 109
D9,navigation,D9,walkable room grid point,room,R08,Apartment 109,R08,Apartment 109
DOOR_01,door,G3,doorway transition point,door,R02,,R02,Apartment 103
DOOR_02,door,N3,doorway transition point,door,R03,,R03,Apartment 106
DOOR_03,door,P3,doorway transition point,door,R04,,R04,Apartment 104
DOOR_04,door,E3,doorway transition point,door,R01,,R01,Apartment 102
DOOR_05,door,W3,doorway transition point,door,R05,,R05,Apartment 101
DOOR_06,door,Y3,doorway transition point,door,R06,,R06,Apartment 105
DOOR_07,door,AE5,doorway transition point,door,R07,,R07,Apartment 107
DOOR_08,door,E6,doorway transition point,door,R35,,R35,Apartment 108
DOOR_09,door,O7,doorway between Hallway 03 and Hallway 03,door,,,,
DOOR_10,door,S7,doorway between Hallway 03 and Hallway 03,door,,,,
DOOR_11,door,AE7,doorway transition point,door,R11,,R11,Apartment 110
DOOR_12,door,F7,doorway between Hallway 03 and Hallway 03,door,,,,
DOOR_13,door,AB7,doorway transition point,door,R10,,R10,Printer Room
DOOR_14,door,C7,doorway between Apartment 108 and Apartment 109,door,,,,
DOOR_15,door,G9,doorway transition point,door,R09,,R09,Apartment 111
DOOR_16,door,E_A9,doorway transition point,door,R08,,R08,Apartment 109
DOOR_17,door,W9,doorway transition point,door,R10,,R10,Printer Room
DOOR_18,door,L9,doorway between Hallway 03 and Hallway 03,door,,,,
DOOR_19,door,AA13,doorway transition point,door,R15,,R15,Supply Closet
DOOR_20,door,AC13,doorway transition point,door,R16,,R16,Apartment 112
DOOR_21,door,E_A13,doorway transition point,door,R13,,R13,Apartment 113
DOOR_22,door,G13,doorway transition point,door,R14,,R14,Apartment 114
DOOR_23,door,W15,doorway between Hallway 03 and Hallway 03,door,,,,
DOOR_24,door,L15,doorway between Hallway 03 and Hallway 03,door,,,,
DOOR_25,door,AE17,doorway transition point,door,R25,,R25,Apartment 115
DOOR_26,door,Q17,doorway transition point,door,R20,,R20,Emergency Stairwell / Exit Room
DOOR_27,door,Y18,doorway transition point,door,R24,,R24,Laundry Room
DOOR_28,door,J18,doorway transition point,door,R36,,R36,Communal Kitchen
