variable_index,variable,coefficient
0,x_R01_EXIT_C,-2.199079118154716
1,x_R01_EXIT_B,-2.1672008072935505
2,x_R01_EXIT_A,-2.1549590253371758
3,x_R02_EXIT_C,-2.194535267243389
4,x_R02_EXIT_B,-2.1538674899545383
5,x_R02_EXIT_A,-2.136828842333381
6,x_R03_EXIT_C,-2.184417993358922
7,x_R03_EXIT_B,-2.1719618508147147
8,x_R03_EXIT_A,-2.160608377314781
9,x_R04_EXIT_C,-2.1875770625469513
10,x_R04_EXIT_B,-2.175657096603997
11,x_R04_EXIT_A,-2.1643036231040633
12,x_R05_EXIT_C,-2.1991558945647296
13,x_R05_EXIT_B,-2.179581956280975
14,x_R05_EXIT_A,-2.1682284827810414
15,x_R06_EXIT_C,-2.1991558945647296
16,x_R06_EXIT_B,-2.179581956280975
17,x_R06_EXIT_A,-2.1682284827810414
18,x_R07_EXIT_C,-2.1879768912286957
19,x_R07_EXIT_B,-2.1755207486844883
20,x_R07_EXIT_A,-2.1641672751845547
21,x_R08_EXIT_C,-2.184103272074202
22,x_R08_EXIT_B,-2.172213093720206
23,x_R08_EXIT_A,-2.1608596202202723
24,x_R09_EXIT_C,-2.1865330735855566
25,x_R09_EXIT_B,-2.1764868790512946
26,x_R09_EXIT_A,-2.163001465255902
27,x_R10_EXIT_C,-2.191266640623802
28,x_R10_EXIT_B,-2.185257720899036
29,x_R10_EXIT_A,-2.1744372324729673
30,x_R11_EXIT_C,-2.1895340007572788
31,x_R11_EXIT_B,-2.177479990664011
32,x_R11_EXIT_A,-2.166659502237942
33,x_R12_EXIT_C,-2.183130388141968
34,x_R12_EXIT_B,-2.185005582898507
35,x_R12_EXIT_A,-2.1727638009421324
36,x_R13_EXIT_C,-2.1814929548390207
37,x_R13_EXIT_B,-2.1835021937458734
38,x_R13_EXIT_A,-2.1700167799504806
39,x_R14_EXIT_C,-2.180509979077079
40,x_R14_EXIT_B,-2.200007320703512
41,x_R14_EXIT_A,-2.186874398268692
42,x_R15_EXIT_C,-2.179658552938297
43,x_R15_EXIT_B,-2.190258649890296
44,x_R15_EXIT_A,-2.1860229721299094
45,x_R16_EXIT_C,-2.1681094938357877
46,x_R16_EXIT_B,-2.179858540647615
47,x_R16_EXIT_A,-2.166373126852222
48,x_R17_EXIT_C,-2.176628564525229
49,x_R17_EXIT_B,-2.2059025890374504
50,x_R17_EXIT_A,-2.1761209355862015
51,x_R18_EXIT_C,-2.166270469722984
52,x_R18_EXIT_B,-2.178019516534811
53,x_R18_EXIT_A,-2.1829236395303777
54,x_R19_EXIT_C,-2.1660149714476415
55,x_R19_EXIT_B,-2.1777640182594684
56,x_R19_EXIT_A,-2.1826681412550353
57,x_R20_EXIT_C,-2.1614353130663853
58,x_R20_EXIT_B,-2.173184359878212
59,x_R20_EXIT_A,-2.199422841252341
60,x_R21_EXIT_C,-2.1664406845170325
61,x_R21_EXIT_B,-2.1781897313288594
62,x_R21_EXIT_A,-2.201141834587962
63,x_R22_EXIT_C,-2.1510320196331603
64,x_R22_EXIT_B,-2.1627810664449876
65,x_R22_EXIT_A,-2.1890195478191163
66,x_R23_EXIT_C,-2.1551859649450256
67,x_R23_EXIT_B,-2.1669350117568524
68,x_R23_EXIT_A,-2.189887115015955
69,x_R24_EXIT_C,-1.993251577700382
70,x_R24_EXIT_B,-2.034490337581131
71,x_R24_EXIT_A,-2.205185372127984
