room_id,room_name,primary_exit,sequence_index,node_id,node_type,grid_position
R01,Room 01,EXIT_A,0,START_R01,room_start,D_A6
R01,Room 01,EXIT_A,1,DOOR_01,door,D_A5
R01,Room 01,EXIT_A,2,B1_0,navigation,C_A5
R01,Room 01,EXIT_A,3,E1,navigation,C_A4
R01,Room 01,EXIT_A,4,C1,navigation,C4
R01,Room 01,EXIT_A,5,C0,navigation,B4
R01,Room 01,EXIT_A,6,EXIT_A,exit,B3.3
R02,Room 02,EXIT_A,0,START_R02,room_start,B_A4
R02,Room 02,EXIT_A,1,DOOR_02,door,B_A3
R02,Room 02,EXIT_A,2,B2_0,navigation,C_A3
R02,Room 02,EXIT_A,3,E2,navigation,C_A4
R02,Room 02,EXIT_A,4,C1,navigation,C4
R02,Room 02,EXIT_A,5,C0,navigation,B4
R02,Room 02,EXIT_A,6,EXIT_A,exit,B3.3
R03,Room 03,EXIT_B,0,START_R03,room_start,G_A6
R03,Room 03,EXIT_B,1,DOOR_03,door,G_A5
R03,Room 03,EXIT_B,2,B3_0,navigation,F_A5
R03,Room 03,EXIT_B,3,E3,navigation,F_A4
R03,Room 03,EXIT_B,4,C4,navigation,F4
R03,Room 03,EXIT_B,5,C5,navigation,G4
R03,Room 03,EXIT_B,6,EXIT_B,exit,G3.3
R04,Room 04,EXIT_B,0,START_R04,room_start,E_A4
R04,Room 04,EXIT_B,1,DOOR_04,door,E_A3
R04,Room 04,EXIT_B,2,B4_0,navigation,F_A3
R04,Room 04,EXIT_B,3,E4,navigation,F_A4
R04,Room 04,EXIT_B,4,C4,navigation,F4
R04,Room 04,EXIT_B,5,C5,navigation,G4
R04,Room 04,EXIT_B,6,EXIT_B,exit,G3.3
R05,Room 05,EXIT_A,0,START_R05,room_start,D_A7
R05,Room 05,EXIT_A,1,DOOR_05,door,D_A6
R05,Room 05,EXIT_A,2,B1_1,navigation,C_A6
R05,Room 05,EXIT_A,3,B1_0,navigation,C_A5
R05,Room 05,EXIT_A,4,E1,navigation,C_A4
R05,Room 05,EXIT_A,5,C1,navigation,C4
R05,Room 05,EXIT_A,6,C0,navigation,B4
R05,Room 05,EXIT_A,7,EXIT_A,exit,B3.3
R06,Room 06,EXIT_A,0,START_R06,room_start,B_A3
R06,Room 06,EXIT_A,1,DOOR_06,door,B_A2
R06,Room 06,EXIT_A,2,B2_1,navigation,C_A2
R06,Room 06,EXIT_A,3,B2_0,navigation,C_A3
R06,Room 06,EXIT_A,4,E2,navigation,C_A4
R06,Room 06,EXIT_A,5,C1,navigation,C4
R06,Room 06,EXIT_A,6,C0,navigation,B4
R06,Room 06,EXIT_A,7,EXIT_A,exit,B3.3
R07,Room 07,EXIT_B,0,START_R07,room_start,G_A7
R07,Room 07,EXIT_B,1,DOOR_07,door,G_A6
R07,Room 07,EXIT_B,2,B3_1,navigation,F_A6
R07,Room 07,EXIT_B,3,B3_0,navigation,F_A5
R07,Room 07,EXIT_B,4,E3,navigation,F_A4
R07,Room 07,EXIT_B,5,C4,navigation,F4
R07,Room 07,EXIT_B,6,C5,navigation,G4
R07,Room 07,EXIT_B,7,EXIT_B,exit,G3.3
R08,Room 08,EXIT_B,0,START_R08,room_start,E_A3
R08,Room 08,EXIT_B,1,DOOR_08,door,E_A2
R08,Room 08,EXIT_B,2,B4_1,navigation,F_A2
R08,Room 08,EXIT_B,3,B4_0,navigation,F_A3
R08,Room 08,EXIT_B,4,E4,navigation,F_A4
R08,Room 08,EXIT_B,5,C4,navigation,F4
R08,Room 08,EXIT_B,6,C5,navigation,G4
R08,Room 08,EXIT_B,7,EXIT_B,exit,G3.3
R09,Room 09,EXIT_A,0,START_R09,room_start,D_A8
R09,Room 09,EXIT_A,1,DOOR_09,door,D_A7
R09,Room 09,EXIT_A,2,B1_2,navigation,C_A7
R09,Room 09,EXIT_A,3,B1_1,navigation,C_A6
R09,Room 09,EXIT_A,4,B1_0,navigation,C_A5
R09,Room 09,EXIT_A,5,E1,navigation,C_A4
R09,Room 09,EXIT_A,6,C1,navigation,C4
R09,Room 09,EXIT_A,7,C0,navigation,B4
R09,Room 09,EXIT_A,8,EXIT_A,exit,B3.3
R10,Room 10,EXIT_A,0,START_R10,room_start,B_A2
R10,Room 10,EXIT_A,1,DOOR_10,door,B_A1
R10,Room 10,EXIT_A,2,B2_2,navigation,C_A1
R10,Room 10,EXIT_A,3,B2_1,navigation,C_A2
R10,Room 10,EXIT_A,4,B2_0,navigation,C_A3
R10,Room 10,EXIT_A,5,E2,navigation,C_A4
R10,Room 10,EXIT_A,6,C1,navigation,C4
R10,Room 10,EXIT_A,7,C0,navigation,B4
R10,Room 10,EXIT_A,8,EXIT_A,exit,B3.3
