variable_index,variable,coefficient
0,x_R01_EXIT_A,-0.8319048578530325
1,x_R01_EXIT_B,-0.817979738452458
2,x_R01_EXIT_C,-0.8101261294113611
3,x_R01_EXIT_D,-0.7992574655654436
4,x_R01_EXIT_E,-0.7931859552059661
5,x_R01_EXIT_F,-0.8010229585641493
6,x_R01_EXIT_G,-0.7967133003411625
7,x_R01_EXIT_H,-0.8121697185380691
8,x_R01_EXIT_STAIRWELL,-0.803968630519785
9,x_R02_EXIT_A,-0.8319048578530325
10,x_R02_EXIT_B,-0.817979738452458
11,x_R02_EXIT_C,-0.8101261294113611
12,x_R02_EXIT_D,-0.7992574655654436
13,x_R02_EXIT_E,-0.7931859552059661
14,x_R02_EXIT_F,-0.8010229585641493
15,x_R02_EXIT_G,-0.7967133003411625
16,x_R02_EXIT_H,-0.8121697185380691
17,x_R02_EXIT_STAIRWELL,-0.803968630519785
18,x_R03_EXIT_A,-0.817979738452458
19,x_R03_EXIT_B,-0.8319048578530325
20,x_R03_EXIT_C,-0.817979738452458
21,x_R03_EXIT_D,-0.8075123544230001
22,x_R03_EXIT_E,-0.7994051013925074
23,x_R03_EXIT_F,-0.8055378052171605
24,x_R03_EXIT_G,-0.7994091960845121
25,x_R03_EXIT_H,-0.8109619004101074
26,x_R03_EXIT_STAIRWELL,-0.8084834771727961
27,x_R04_EXIT_A,-0.817979738452458
28,x_R04_EXIT_B,-0.8319048578530325
29,x_R04_EXIT_C,-0.817979738452458
30,x_R04_EXIT_D,-0.8075123544230001
31,x_R04_EXIT_E,-0.7994051013925074
32,x_R04_EXIT_F,-0.8055378052171605
33,x_R04_EXIT_G,-0.7994091960845121
34,x_R04_EXIT_H,-0.8109619004101074
35,x_R04_EXIT_STAIRWELL,-0.8084834771727961
36,x_R05_EXIT_A,-0.8101261294113611
37,x_R05_EXIT_B,-0.817979738452458
38,x_R05_EXIT_C,-0.8319048578530325
39,x_R05_EXIT_D,-0.8153659634640971
40,x_R05_EXIT_E,-0.8002406454763589
41,x_R05_EXIT_F,-0.8046281028474348
42,x_R05_EXIT_G,-0.7954639654499425
43,x_R05_EXIT_H,-0.8031082913690105
44,x_R05_EXIT_STAIRWELL,-0.8075737748030705
45,x_R06_EXIT_A,-0.8101261294113611
46,x_R06_EXIT_B,-0.817979738452458
47,x_R06_EXIT_C,-0.8319048578530325
48,x_R06_EXIT_D,-0.8153659634640971
49,x_R06_EXIT_E,-0.8002406454763589
50,x_R06_EXIT_F,-0.8046281028474348
51,x_R06_EXIT_G,-0.7954639654499425
52,x_R06_EXIT_H,-0.8031082913690105
53,x_R06_EXIT_STAIRWELL,-0.8075737748030705
54,x_R07_EXIT_A,-0.8068445792538935
55,x_R07_EXIT_B,-0.8146981882949904
56,x_R07_EXIT_C,-0.8225517973360873
57,x_R07_EXIT_D,-0.8184468737133349
58,x_R07_EXIT_E,-0.7969590953188912
59,x_R07_EXIT_F,-0.8013465526899672
60,x_R07_EXIT_G,-0.7921824152924749
61,x_R07_EXIT_H,-0.799826741211543
62,x_R07_EXIT_STAIRWELL,-0.8042922246456029
63,x_R08_EXIT_A,-0.8258488160460199
64,x_R08_EXIT_B,-0.817995207004923
65,x_R08_EXIT_C,-0.8101415979638261
66,x_R08_EXIT_D,-0.8023505464332481
67,x_R08_EXIT_E,-0.7980242825273476
68,x_R08_EXIT_F,-0.8058612858855309
69,x_R08_EXIT_G,-0.8015516276625441
70,x_R08_EXIT_H,-0.8236538367725859
71,x_R08_EXIT_STAIRWELL,-0.8088069578411665
