room_id,room_name,capacity,occupancy
R01,Room 01,23,19
R02,Room 02,7,7
R03,Room 03,21,19
R04,Room 04,8,3
R05,Room 05,4,4
R06,Room 06,5,2
R07,Room 07,4,2
R08,Room 08,11,9
R09,Room 09,9,5
R10,Room 10,9,7
R11,Room 11,11,11
R12,Room 12,8,7
R13,Room 13,14,10
R14,Room 14,12,7
R15,Room 15,15,10
R16,Room 16,26,24
R17,Room 17,21,16
R18,Room 18,15,12
R19,Room 19,17,17
R20,Room 20,4,2
R21,Room 21,16,14
R22,Room 22,16,15
R23,Room 23,10,10
R24,Room 24,15,10
R25,Room 25,19,18
R26,Room 26,24,21
R27,Room 27,3,2
R28,Room 28,5,2
R29,Room 29,6,6
R30,Room 30,26,25
