assignment_penalty,penalty_source,run,problem_id,best_energy,valid_best_solution,valid_sample_rate,total_distance,congestion_objective,overload_objective,used_edge_count,overloaded_edge_count,maximum_edge_utilization,best_chain_break_fraction,solver_wall_clock_seconds,qpu_access_time_microseconds,qpu_sampling_time_microseconds
1.8896963708126209,automatic_baseline,1,,0.9543243279423778,True,0.019,154.25,303.39131944444443,35.705555555555556,91,18,2.6,0.03333333333333333,10.962905836000573,0.0,0.0
1.8896963708126209,automatic_baseline,2,,1.030421139313862,True,0.008,153.0,376.1927083333335,75.68333333333332,97,20,3.2,0.016666666666666666,29.522519150000335,0.0,0.0
1.8896963708126209,automatic_baseline,3,,0.8548448333411984,True,0.017,148.0,236.5038194444445,20.338888888888885,97,11,2.0,0.016666666666666666,21.40722560500035,0.0,0.0
1.8896963708126209,automatic_baseline,4,,0.8539769990784721,True,0.015,146.0,242.89965277777782,6.199999999999999,98,22,1.5,0.06666666666666667,17.19651923999936,0.0,0.0
1.8896963708126209,automatic_baseline,5,,0.7794442254356846,True,0.01,123.25,257.6017361111111,28.619444444444447,83,15,2.2,0.03333333333333333,17.48900229099945,0.0,0.0
2.5,manual_test,1,,1.0205253066842606,True,0.008,169.25,309.1010416666668,25.248611111111103,90,20,2.0,0.016666666666666666,12.697809655000128,0.0,0.0
2.5,manual_test,2,,1.0781871083031769,True,0.012,179.0,325.8010416666667,39.76249999999999,104,17,2.4,0.016666666666666666,12.90016949999972,0.0,0.0
2.5,manual_test,3,,0.9651065057504636,True,0.015,154.25,313.0711805555556,37.775000000000006,92,18,1.95,0.06666666666666667,9.977510572999563,0.0,0.0
2.5,manual_test,4,,0.9960589136397326,True,0.013,161.75,313.95312500000006,43.61388888888889,92,19,2.7,0.03333333333333333,16.37022753800011,0.0,0.0
2.5,manual_test,5,,1.147098783834378,True,0.012,160.5,454.09131944444454,100.55833333333332,101,23,3.7,0.0,15.704263558000093,0.0,0.0
3.0,manual_test,1,,0.9578850304197131,True,0.014,161.5,280.57881944444443,14.94305555555556,96,22,1.6,0.016666666666666666,9.146617348999825,0.0,0.0
3.0,manual_test,2,,1.2010015122149733,True,0.004,161.75,497.9434027777778,133.46527777777777,98,24,4.3,0.03333333333333333,30.399873053000192,0.0,0.0
3.0,manual_test,3,,0.8206822465160032,True,0.013,142.0,227.3586805555555,8.137499999999998,91,14,1.7,0.0,8.107523742000012,0.0,0.0
3.0,manual_test,4,,1.0875894704194373,True,0.009,174.0,352.17951388888895,44.05555555555555,100,17,2.45,0.05,10.67550363600003,0.0,0.0
3.0,manual_test,5,,0.9617746050538455,True,0.011,164.75,272.4114583333333,30.413888888888888,101,14,2.5,0.05,14.226128793000498,0.0,0.0
4.0,manual_test,1,,1.1601366331612488,True,0.008,170.75,429.0135416666668,83.1722222222222,92,19,2.8,0.016666666666666666,12.288931865999984,0.0,0.0
4.0,manual_test,2,,1.1310053297740317,True,0.007,168.5,410.88784722222226,85.92222222222223,100,16,3.5,0.05,12.844930477000162,0.0,0.0
4.0,manual_test,3,,0.8268545579622473,True,0.017,143.25,228.4822916666668,17.52222222222223,98,13,2.2,0.03333333333333333,11.272281243999714,0.0,0.0
4.0,manual_test,4,,1.2271483207743383,True,0.006,171.5,486.43923611111114,113.28888888888888,100,20,3.2,0.03333333333333333,12.54046269399987,0.0,0.0
4.0,manual_test,5,,1.1724721437484298,True,0.008,167.75,450.80590277777793,99.85833333333332,98,20,3.2,0.05,13.718155917999866,0.0,0.0
5.0,manual_test,1,,0.9398063680628032,True,0.004,155.5,285.93993055555563,18.130555555555553,95,23,1.8,0.0,11.941528954000205,0.0,0.0
5.0,manual_test,2,,0.96900875855942,True,0.013,160.25,295.1607638888889,22.050000000000004,97,18,2.2,0.03333333333333333,7.651343939999606,0.0,0.0
5.0,manual_test,3,,1.0325291601122075,True,0.012,160.25,352.0760416666667,39.684722222222234,94,18,2.2,0.03333333333333333,6.935553499999514,0.0,0.0
5.0,manual_test,4,,1.070473546073637,True,0.009,165.25,368.20381944444443,57.1222222222222,89,21,2.8,0.016666666666666666,7.290815017000568,0.0,0.0
5.0,manual_test,5,,0.8724686388877841,True,0.02,142.25,273.0204861111111,23.92222222222222,91,18,2.0,0.0,14.424543808000635,0.0,0.0
