room_id,classical_exit,classical_distance,classical_hops,classical_path,occupancy,congestion_aware_exit,congestion_aware_distance,congestion_aware_hops,congestion_penalty,combined_cost,congestion_aware_path,exit_changed,path_changed,extra_distance,extra_hops
R01,EXIT_A,3.0,3,START_R01 -> DOOR_01 -> C0 -> EXIT_A,13,EXIT_A,3.0,3,11.50138888888889,14.50138888888889,START_R01 -> DOOR_01 -> C0 -> EXIT_A,False,False,0.0,0
R02,EXIT_A,4.0,4,START_R02 -> DOOR_02 -> C1 -> C0 -> EXIT_A,25,EXIT_A,4.0,4,11.284722222222225,15.284722222222225,START_R02 -> DOOR_02 -> C1 -> C0 -> EXIT_A,False,False,0.0,0
R03,EXIT_B,4.0,4,START_R03 -> DOOR_03 -> C2 -> C3 -> EXIT_B,25,EXIT_B,4.0,4,12.36979166666667,16.36979166666667,START_R03 -> DOOR_03 -> C2 -> C3 -> EXIT_B,False,False,0.0,0
R04,EXIT_B,3.0,3,START_R04 -> DOOR_04 -> C3 -> EXIT_B,17,EXIT_B,3.0,3,19.2375,22.2375,START_R04 -> DOOR_04 -> C3 -> EXIT_B,False,False,0.0,0
R05,EXIT_B,4.0,4,START_R05 -> DOOR_05 -> C4 -> C3 -> EXIT_B,9,EXIT_B,4.0,4,22.165625,26.165625,START_R05 -> DOOR_05 -> C4 -> C3 -> EXIT_B,False,False,0.0,0
R06,EXIT_C,4.0,4,START_R06 -> DOOR_06 -> C5 -> C6 -> EXIT_C,24,EXIT_C,4.0,4,8.352000000000002,12.352000000000004,START_R06 -> DOOR_06 -> C5 -> C6 -> EXIT_C,False,False,0.0,0
R07,EXIT_C,3.0,3,START_R07 -> DOOR_07 -> C6 -> EXIT_C,21,EXIT_C,3.0,3,14.384722222222223,17.384722222222223,START_R07 -> DOOR_07 -> C6 -> EXIT_C,False,False,0.0,0
R08,EXIT_C,4.0,4,START_R08 -> DOOR_08 -> C7 -> C6 -> EXIT_C,17,EXIT_C,4.0,4,22.53772222222222,26.53772222222222,START_R08 -> DOOR_08 -> C7 -> C6 -> EXIT_C,False,False,0.0,0
R09,EXIT_D,4.0,4,START_R09 -> DOOR_09 -> C8 -> C9 -> EXIT_D,11,EXIT_D,4.0,4,16.1875,20.1875,START_R09 -> DOOR_09 -> C8 -> C9 -> EXIT_D,False,False,0.0,0
R10,EXIT_D,3.0,3,START_R10 -> DOOR_10 -> C9 -> EXIT_D,18,EXIT_D,3.0,3,11.628125,14.628125,START_R10 -> DOOR_10 -> C9 -> EXIT_D,False,False,0.0,0
R11,EXIT_A,3.0,3,START_R11 -> DOOR_11 -> C0 -> EXIT_A,18,EXIT_A,3.0,3,13.968055555555555,16.968055555555555,START_R11 -> DOOR_11 -> C0 -> EXIT_A,False,False,0.0,0
R12,EXIT_A,4.0,4,START_R12 -> DOOR_12 -> C1 -> C0 -> EXIT_A,22,EXIT_A,4.0,4,24.07916666666667,28.07916666666667,START_R12 -> DOOR_12 -> C1 -> C0 -> EXIT_A,False,False,0.0,0
R13,EXIT_B,4.0,4,START_R13 -> DOOR_13 -> C2 -> C3 -> EXIT_B,20,EXIT_B,4.0,4,22.022569444444443,26.022569444444443,START_R13 -> DOOR_13 -> C2 -> C3 -> EXIT_B,False,False,0.0,0
R14,EXIT_B,3.0,3,START_R14 -> DOOR_14 -> C3 -> EXIT_B,11,EXIT_B,3.0,3,17.997569444444444,20.997569444444444,START_R14 -> DOOR_14 -> C3 -> EXIT_B,False,False,0.0,0
R15,EXIT_B,4.0,4,START_R15 -> DOOR_15 -> C4 -> C3 -> EXIT_B,8,EXIT_C,5.0,5,23.179166666666667,28.179166666666667,START_R15 -> DOOR_15 -> C4 -> C5 -> C6 -> EXIT_C,True,True,1.0,1
R16,EXIT_C,4.0,4,START_R16 -> DOOR_16 -> C5 -> C6 -> EXIT_C,18,EXIT_C,4.0,4,19.650222222222222,23.650222222222222,START_R16 -> DOOR_16 -> C5 -> C6 -> EXIT_C,False,False,0.0,0
R17,EXIT_C,3.0,3,START_R17 -> DOOR_17 -> C6 -> EXIT_C,23,EXIT_C,3.0,3,12.619444444444444,15.619444444444444,START_R17 -> DOOR_17 -> C6 -> EXIT_C,False,False,0.0,0
R18,EXIT_C,4.0,4,START_R18 -> DOOR_18 -> C7 -> C6 -> EXIT_C,4,EXIT_C,4.0,4,19.427833333333336,23.427833333333336,START_R18 -> DOOR_18 -> C7 -> C6 -> EXIT_C,False,False,0.0,0
R19,EXIT_D,4.0,4,START_R19 -> DOOR_19 -> C8 -> C9 -> EXIT_D,25,EXIT_D,4.0,4,10.850694444444446,14.850694444444446,START_R19 -> DOOR_19 -> C8 -> C9 -> EXIT_D,False,False,0.0,0
R20,EXIT_D,3.0,3,START_R20 -> DOOR_20 -> C9 -> EXIT_D,8,EXIT_D,3.0,3,12.723611111111111,15.723611111111111,START_R20 -> DOOR_20 -> C9 -> EXIT_D,False,False,0.0,0
