room_id,room_name,primary_exit,sequence_index,node_id,node_type,grid_position
R01,Room 01,EXIT_C,0,START_R01,room_start,D_A6
R01,Room 01,EXIT_C,1,DOOR_01,door,D_A5
R01,Room 01,EXIT_C,2,B1_0,navigation,C_A5
R01,Room 01,EXIT_C,3,E1,navigation,C_A4
R01,Room 01,EXIT_C,4,C1,navigation,C4
R01,Room 01,EXIT_C,5,EXIT_C,exit,C3.3
R02,Room 02,EXIT_C,0,START_R02,room_start,B_A4
R02,Room 02,EXIT_C,1,DOOR_02,door,B_A3
R02,Room 02,EXIT_C,2,B2_0,navigation,C_A3
R02,Room 02,EXIT_C,3,E2,navigation,C_A4
R02,Room 02,EXIT_C,4,C1,navigation,C4
R02,Room 02,EXIT_C,5,EXIT_C,exit,C3.3
R03,Room 03,EXIT_D,0,START_R03,room_start,E_A6
R03,Room 03,EXIT_D,1,DOOR_03,door,E_A5
R03,Room 03,EXIT_D,2,B3_0,navigation,D_A5
R03,Room 03,EXIT_D,3,E3,navigation,D_A4
R03,Room 03,EXIT_D,4,C2,navigation,D4
R03,Room 03,EXIT_D,5,EXIT_D,exit,D3.3
R04,Room 04,EXIT_D,0,START_R04,room_start,C_A4
R04,Room 04,EXIT_D,1,DOOR_04,door,C_A3
R04,Room 04,EXIT_D,2,B4_0,navigation,D_A3
R04,Room 04,EXIT_D,3,E4,navigation,D_A4
R04,Room 04,EXIT_D,4,C2,navigation,D4
R04,Room 04,EXIT_D,5,EXIT_D,exit,D3.3
R05,Room 05,EXIT_D,0,START_R05,room_start,F_A6
R05,Room 05,EXIT_D,1,DOOR_05,door,F_A5
R05,Room 05,EXIT_D,2,B5_0,navigation,E_A5
R05,Room 05,EXIT_D,3,E5,navigation,E_A4
R05,Room 05,EXIT_D,4,C3,navigation,E4
R05,Room 05,EXIT_D,5,C2,navigation,D4
R05,Room 05,EXIT_D,6,EXIT_D,exit,D3.3
R06,Room 06,EXIT_D,0,START_R06,room_start,D_A4
R06,Room 06,EXIT_D,1,DOOR_06,door,D_A3
R06,Room 06,EXIT_D,2,B6_0,navigation,E_A3
R06,Room 06,EXIT_D,3,E6,navigation,E_A4
R06,Room 06,EXIT_D,4,C3,navigation,E4
R06,Room 06,EXIT_D,5,C2,navigation,D4
R06,Room 06,EXIT_D,6,EXIT_D,exit,D3.3
R07,Room 07,EXIT_B,0,START_R07,room_start,G_A6
R07,Room 07,EXIT_B,1,DOOR_07,door,G_A5
R07,Room 07,EXIT_B,2,B7_0,navigation,F_A5
R07,Room 07,EXIT_B,3,E7,navigation,F_A4
R07,Room 07,EXIT_B,4,C4,navigation,F4
R07,Room 07,EXIT_B,5,C5,navigation,G4
R07,Room 07,EXIT_B,6,EXIT_B,exit,G3.3
R08,Room 08,EXIT_B,0,START_R08,room_start,E_A4
R08,Room 08,EXIT_B,1,DOOR_08,door,E_A3
R08,Room 08,EXIT_B,2,B8_0,navigation,F_A3
R08,Room 08,EXIT_B,3,E8,navigation,F_A4
R08,Room 08,EXIT_B,4,C4,navigation,F4
R08,Room 08,EXIT_B,5,C5,navigation,G4
R08,Room 08,EXIT_B,6,EXIT_B,exit,G3.3
R09,Room 09,EXIT_C,0,START_R09,room_start,D_A7
R09,Room 09,EXIT_C,1,DOOR_09,door,D_A6
