room_id,room_name,start_node,primary_exit,distance,hops,path,astar_matches_distance,astar_same_exact_path
R01,Room 01,START_R01,EXIT_C,5.0,5,START_R01 -> DOOR_01 -> B1_0 -> E1 -> C1 -> EXIT_C,True,True
R02,Room 02,START_R02,EXIT_C,5.0,5,START_R02 -> DOOR_02 -> B2_0 -> E2 -> C1 -> EXIT_C,True,True
R03,Room 03,START_R03,EXIT_D,5.0,5,START_R03 -> DOOR_03 -> B3_0 -> E3 -> C2 -> EXIT_D,True,True
R04,Room 04,START_R04,EXIT_D,5.0,5,START_R04 -> DOOR_04 -> B4_0 -> E4 -> C2 -> EXIT_D,True,True
R05,Room 05,START_R05,EXIT_D,6.0,6,START_R05 -> DOOR_05 -> B5_0 -> E5 -> C3 -> C2 -> EXIT_D,True,True
R06,Room 06,START_R06,EXIT_D,6.0,6,START_R06 -> DOOR_06 -> B6_0 -> E6 -> C3 -> C2 -> EXIT_D,True,True
R07,Room 07,START_R07,EXIT_B,6.0,6,START_R07 -> DOOR_07 -> B7_0 -> E7 -> C4 -> C5 -> EXIT_B,True,True
R08,Room 08,START_R08,EXIT_B,6.0,6,START_R08 -> DOOR_08 -> B8_0 -> E8 -> C4 -> C5 -> EXIT_B,True,True
R09,Room 09,START_R09,EXIT_C,6.0,6,START_R09 -> DOOR_09 -> B1_1 -> B1_0 -> E1 -> C1 -> EXIT_C,True,True
R10,Room 10,START_R10,EXIT_C,6.0,6,START_R10 -> DOOR_10 -> B2_1 -> B2_0 -> E2 -> C1 -> EXIT_C,True,True
R11,Room 11,START_R11,EXIT_D,6.0,6,START_R11 -> DOOR_11 -> B3_1 -> B3_0 -> E3 -> C2 -> EXIT_D,True,True
R12,Room 12,START_R12,EXIT_D,6.0,6,START_R12 -> DOOR_12 -> B4_1 -> B4_0 -> E4 -> C2 -> EXIT_D,True,True
R13,Room 13,START_R13,EXIT_D,7.0,7,START_R13 -> DOOR_13 -> B5_1 -> B5_0 -> E5 -> C3 -> C2 -> EXIT_D,True,True
R14,Room 14,START_R14,EXIT_D,7.0,7,START_R14 -> DOOR_14 -> B6_1 -> B6_0 -> E6 -> C3 -> C2 -> EXIT_D,True,True
R15,Room 15,START_R15,EXIT_B,7.0,7,START_R15 -> DOOR_15 -> B7_1 -> B7_0 -> E7 -> C4 -> C5 -> EXIT_B,True,True
R16,Room 16,START_R16,EXIT_B,7.0,7,START_R16 -> DOOR_16 -> B8_1 -> B8_0 -> E8 -> C4 -> C5 -> EXIT_B,True,True
R17,Room 17,START_R17,EXIT_C,7.0,7,START_R17 -> DOOR_17 -> B1_2 -> B1_1 -> B1_0 -> E1 -> C1 -> EXIT_C,True,True
R18,Room 18,START_R18,EXIT_C,7.0,7,START_R18 -> DOOR_18 -> B2_2 -> B2_1 -> B2_0 -> E2 -> C1 -> EXIT_C,True,True
R19,Room 19,START_R19,EXIT_D,7.0,7,START_R19 -> DOOR_19 -> B3_2 -> B3_1 -> B3_0 -> E3 -> C2 -> EXIT_D,True,True
R20,Room 20,START_R20,EXIT_D,7.0,7,START_R20 -> DOOR_20 -> B4_2 -> B4_1 -> B4_0 -> E4 -> C2 -> EXIT_D,True,True
