room_id,room_name,occupancy,selected_exit,route_id,distance,edge_count,path,edge_ids
R01,Reception & Main Office,18,EXIT_C,R01__EXIT_C,5.0,5,START_R01 -> C3 -> DOOR_01 -> E3 -> E2 -> EXIT_C,E600:START_R01--C3 | E201:C3--DOOR_01 | E247:E3--DOOR_01 | E239:E2--E3 | E240:E2--EXIT_C
R02,Attendance Office,4,EXIT_C,R02__EXIT_C,5.0,5,START_R02 -> G3 -> DOOR_03 -> E3 -> E2 -> EXIT_C,E601:START_R02--G3 | E283:G3--DOOR_03 | E248:E3--DOOR_03 | E239:E2--E3 | E240:E2--EXIT_C
R03,Registrar & Student Records,4,EXIT_F,R03__EXIT_F,41.5,38,START_R03 -> DOOR_02 -> Y3 -> Y4 -> Y5 -> Y6 -> Y7 -> Y8 -> Y9 -> Y10 -> X10 -> W10 -> V10 -> U10 -> T10 -> S10 -> R10 -> Q10 -> DOOR_15 -> O10 -> O11 -> O13 -> O15 -> O16 -> DOOR_26 -> N18 -> N18.5 -> O18.5 -> DOOR_33 -> P18.5 -> P19 -> P20 -> P21 -> P22 -> P23 -> P24 -> P25 -> P26 -> EXIT_F,E604:START_R03--DOOR_02 | E782:Y3--DOOR_02 | E784:Y3--Y4 | E785:Y4--Y5 | E786:Y5--Y6 | E787:Y6--Y7 | E790:Y7--Y8 | E791:Y8--Y9 | E767:Y10--Y9 | E749:X10--Y10 | E731:W10--X10 | E710:V10--W10 | E692:U10--V10 | E679:T10--U10 | E568:S10--T10 | E545:R10--S10 | E514:Q10--R10 | E512:Q10--DOOR_15 | E456:O10--DOOR_15 | E458:O10--O11 | E460:O11--O13 | E461:O13--O15 | E462:O15--O16 | E463:O16--DOOR_26 | E223:DOOR_26--N18 | E431:N18--N18.5 | E434:N18.5--O18.5 | E466:O18.5--DOOR_33 | E225:DOOR_33--P18.5 | E484:P18.5--P19 | E485:P19--P20 | E489:P20--P21 | E492:P21--P22 | E493:P22--P23 | E494:P23--P24 | E496:P24--P25 | E499:P25--P26 | E500:P26--EXIT_F
R04,West Administrative Office,4,EXIT_E,R04__EXIT_E,6.0,6,START_R04 -> AB3 -> AA3 -> DOOR_04 -> Y3 -> Y2 -> EXIT_E,E073:AB3--START_R04 | E049:AA3--AB3 | E050:AA3--DOOR_04 | E783:Y3--DOOR_04 | E777:Y2--Y3 | E776:Y2--EXIT_E
R05,Media Center / Library,20,EXIT_D,R05__EXIT_D,5.0,5,START_R05 -> O4 -> O3 -> O2 -> P2 -> EXIT_D,E609:START_R05--O4 | E474:O3--O4 | E468:O2--O3 | E469:O2--P2 | E486:P2--EXIT_D
R06,School Nurse Office,3,EXIT_C,R06__EXIT_C,9.25,9,START_R06 -> C7 -> DOOR_12 -> E7 -> E6 -> E5 -> E4 -> E3 -> E2 -> EXIT_C,E614:START_R06--C7 | E204:C7--DOOR_12 | E254:E7--DOOR_12 | E252:E6--E7 | E251:E5--E6 | E250:E4--E5 | E249:E3--E4 | E239:E2--E3 | E240:E2--EXIT_C
R07,Counseling Office,4,EXIT_C,R07__EXIT_C,9.0,9,START_R07 -> H6 -> DOOR_05 -> H4 -> G4 -> G3 -> DOOR_03 -> E3 -> E2 -> EXIT_C,E315:H6--START_R07 | E313:H6--DOOR_05 | E311:H4--DOOR_05 | E285:G4--H4 | E284:G3--G4 | E283:G3--DOOR_03 | E248:E3--DOOR_03 | E239:E2--E3 | E240:E2--EXIT_C
R08,Curriculum Office,4,EXIT_G,R08__EXIT_G,35.5,33,START_R08 -> DOOR_11 -> Y7 -> Y8 -> Y9 -> Y10 -> X10 -> W10 -> V10 -> U10 -> T10 -> S10 -> R10 -> Q10 -> DOOR_15 -> O10 -> O11 -> O13 -> O15 -> O16 -> N16 -> M16 -> K16 -> J16 -> I16 -> H16 -> G16 -> F16 -> E16 -> D16 -> C16 -> B16 -> A16 -> EXIT_G,E618:START_R08--DOOR_11 | E789:Y7--DOOR_11 | E790:Y7--Y8 | E791:Y8--Y9 | E767:Y10--Y9 | E749:X10--Y10 | E731:W10--X10 | E710:V10--W10 | E692:U10--V10 | E679:T10--U10 | E568:S10--T10 | E545:R10--S10 | E514:Q10--R10 | E512:Q10--DOOR_15 | E456:O10--DOOR_15 | E458:O10--O11 | E460:O11--O13 | E461:O13--O15 | E462:O15--O16 | E430:N16--O16 | E394:M16--N16 | E344:K16--M16 | E336:J16--K16 | E320:I16--J16 | E298:H16--I16 | E268:G16--H16 | E260:F16--G16 | E236:E16--F16 | E212:D16--E16 | E187:C16--D16 | E167:B16--C16 | E007:A16--B16 | E008:A16--EXIT_G
R09,Student Services Office,4,EXIT_E,R09__EXIT_E,9.0,9,START_R09 -> AB6 -> DOOR_06 -> AB4 -> AA4 -> AA3 -> DOOR_04 -> Y3 -> Y2 -> EXIT_E,E077:AB6--START_R09 | E076:AB6--DOOR_06 | E075:AB4--DOOR_06 | E051:AA4--AB4 | E048:AA3--AA4 | E050:AA3--DOOR_04 | E783:Y3--DOOR_04 | E777:Y2--Y3 | E776:Y2--EXIT_E
R10,Special Education Office,4,EXIT_D,R10__EXIT_D,28.0,28,START_R10 -> AE8 -> DOOR_13 -> AE10 -> AD10 -> AC10 -> AB10 -> AA10 -> Z10 -> Y10 -> X10 -> W10 -> V10 -> U10 -> T10 -> S10 -> R10 -> Q10 -> DOOR_15 -> O10 -> O8 -> O7 -> O6 -> P6 -> P5 -> P4 -> P3 -> P2 -> EXIT_D,E624:START_R10--AE8 | E148:AE8--DOOR_13 | E127:AE10--DOOR_13 | E095:AD10--AE10 | E078:AC10--AD10 | E057:AB10--AC10 | E030:AA10--AB10 | E031:AA10--Z10 | E768:Y10--Z10 | E749:X10--Y10 | E731:W10--X10 | E710:V10--W10 | E692:U10--V10 | E679:T10--U10 | E568:S10--T10 | E545:R10--S10 | E514:Q10--R10 | E512:Q10--DOOR_15 | E456:O10--DOOR_15 | E459:O10--O8 | E479:O7--O8 | E477:O6--O7 | E478:O6--P6 | E505:P5--P6 | E503:P4--P5 | E501:P3--P4 | E487:P2--P3 | E486:P2--EXIT_D
R11,Testing & Assessment Office,4,EXIT_H,R11__EXIT_H,39.5,37,START_R11 -> B12 -> DOOR_18 -> B10 -> C10 -> D10 -> E10 -> F10 -> G10 -> H10 -> I10 -> J10 -> K10 -> M10 -> N10 -> N11 -> N13 -> N15 -> N16 -> O16 -> DOOR_27 -> Q16 -> R16 -> S16 -> T16 -> U16 -> V16 -> W16 -> X16 -> Y16 -> Z16 -> AA16 -> AB16 -> AC16 -> AD16 -> AE16 -> AF16 -> EXIT_H,E165:B12--START_R11 | E164:B12--DOOR_18 | E162:B10--DOOR_18 | E160:B10--C10 | E184:C10--D10 | E205:D10--E10 | E231:E10--F10 | E257:F10--G10 | E262:G10--H10 | E292:H10--I10 | E317:I10--J10 | E330:J10--K10 | E339:K10--M10 | E393:M10--N10 | E426:N10--N11 | E427:N11--N13 | E428:N13--N15 | E429:N15--N16 | E430:N16--O16 | E464:O16--DOOR_27 | E518:Q16--DOOR_27 | E519:Q16--R16 | E551:R16--S16 | E573:S16--T16 | E682:T16--U16 | E699:U16--V16 | E715:V16--W16 | E734:W16--X16 | E756:X16--Y16 | E773:Y16--Z16 | E038:AA16--Z16 | E037:AA16--AB16 | E063:AB16--AC16 | E081:AC16--AD16 | E101:AD16--AE16 | E133:AE16--AF16 | E151:AF16--EXIT_H
R12,Academic Advising Office,4,EXIT_A,R12__EXIT_A,38.0,36,START_R12 -> E12 -> DOOR_19 -> E10 -> F10 -> G10 -> H10 -> I10 -> J10 -> K10 -> M10 -> N10 -> N11 -> N13 -> N15 -> N16 -> M16 -> K16 -> J16 -> I16 -> H16 -> G16 -> F16 -> E16 -> D16 -> DOOR_31 -> D18 -> C18 -> START_R20 -> C20 -> DOOR_37 -> C22 -> DOOR_44 -> C24 -> START_R28 -> C26 -> EXIT_A,E234:E12--START_R12 | E232:E12--DOOR_19 | E229:E10--DOOR_19 | E231:E10--F10 | E257:F10--G10 | E262:G10--H10 | E292:H10--I10 | E317:I10--J10 | E330:J10--K10 | E339:K10--M10 | E393:M10--N10 | E426:N10--N11 | E427:N11--N13 | E428:N13--N15 | E429:N15--N16 | E394:M16--N16 | E344:K16--M16 | E336:J16--K16 | E320:I16--J16 | E298:H16--I16 | E268:G16--H16 | E260:F16--G16 | E236:E16--F16 | E212:D16--E16 | E211:D16--DOOR_31 | E214:D18--DOOR_31 | E188:C18--D18 | E189:C18--START_R20 | E644:START_R20--C20 | E192:C20--DOOR_37 | E194:C22--DOOR_37 | E195:C22--DOOR_44 | E197:C24--DOOR_44 | E661:START_R28--C24 | E662:START_R28--C26 | E199:C26--EXIT_A
R13,Records Support Office,4,EXIT_C,R13__EXIT_C,15.0,15,START_R13 -> H12 -> DOOR_17 -> H10 -> G10 -> F10 -> E10 -> E9 -> E8 -> E7 -> E6 -> E5 -> E4 -> E3 -> E2 -> EXIT_C,E295:H12--START_R13 | E293:H12--DOOR_17 | E291:H10--DOOR_17 | E262:G10--H10 | E257:F10--G10 | E231:E10--F10 | E230:E10--E9 | E256:E8--E9 | E255:E7--E8 | E252:E6--E7 | E251:E5--E6 | E250:E4--E5 | E249:E3--E4 | E239:E2--E3 | E240:E2--EXIT_C
