route_id,E001:C0--C1,E002:C1--C2,E003:C2--C3,E004:C3--C4,E005:C4--C5,E006:C1--B1_0,E007:START_R01--DOOR_01,E008:DOOR_01--B1_0,E009:B1_0--B1_1,E010:START_R02--DOOR_02,E011:DOOR_02--B1_1,E012:C1--B2_0,E013:START_R03--DOOR_03,E014:DOOR_03--B2_0,E015:B2_0--B2_1,E016:START_R04--DOOR_04,E017:DOOR_04--B2_1,E018:C2--B3_0,E019:START_R05--DOOR_05,E020:DOOR_05--B3_0,E021:B3_0--B3_1,E022:START_R06--DOOR_06,E023:DOOR_06--B3_1,E024:C2--B4_0,E025:START_R07--DOOR_07,E026:DOOR_07--B4_0,E027:B4_0--B4_1,E028:START_R08--DOOR_08,E029:DOOR_08--B4_1,E030:C3--B5_0,E031:START_R09--DOOR_09,E032:DOOR_09--B5_0,E033:B5_0--B5_1,E034:START_R10--DOOR_10,E035:DOOR_10--B5_1,E036:C3--B6_0,E037:START_R11--DOOR_11,E038:DOOR_11--B6_0,E039:B6_0--B6_1,E040:START_R12--DOOR_12,E041:DOOR_12--B6_1,E042:C4--B7_0,E043:START_R13--DOOR_13,E044:DOOR_13--B7_0,E045:B7_0--B7_1,E046:START_R14--DOOR_14,E047:DOOR_14--B7_1,E048:C4--B8_0,E049:START_R15--DOOR_15,E050:DOOR_15--B8_0,E051:B8_0--B8_1,E052:START_R16--DOOR_16,E053:DOOR_16--B8_1,E054:START_R17--DOOR_17,E055:DOOR_17--C4,E056:START_R18--DOOR_18,E057:DOOR_18--C3,E058:START_R19--DOOR_19,E059:DOOR_19--C3,E060:START_R20--DOOR_20,E061:DOOR_20--C5,E062:C0--EXIT_A,E063:C5--EXIT_B,E064:C1--EXIT_C,E065:C2--EXIT_D
R01__EXIT_A,18,0,0,0,0,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
R01__EXIT_B,0,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
R01__EXIT_C,0,0,0,0,0,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
R01__EXIT_D,0,18,0,0,0,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
R02__EXIT_A,18,0,0,0,0,18,0,0,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
R02__EXIT_B,0,18,18,18,18,18,0,0,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
R02__EXIT_C,0,0,0,0,0,18,0,0,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
R02__EXIT_D,0,18,0,0,0,18,0,0,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
R03__EXIT_A,22,0,0,0,0,0,0,0,0,0,0,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
R03__EXIT_B,0,22,22,22,22,0,0,0,0,0,0,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
