source,target,edge_type,distance,capacity,notes
B10,B11,navigation,1.0,2,adjacent hallway or shared grid points
B10,B9,navigation,1.0,3,adjacent room grid points
B10,C10,navigation,1.0,3,adjacent room grid points
B11,C11,navigation,1.0,3,adjacent room grid points
B13,B14,navigation,1.0,3,adjacent room grid points
B13,C13,navigation,1.0,3,adjacent room grid points
B14,B15,navigation,1.0,3,adjacent room grid points
B14,C14,navigation,1.0,3,adjacent room grid points
B15,C15,navigation,1.0,3,adjacent room grid points
B2,B3,navigation,1.0,3,adjacent room grid points
B2,C2,navigation,1.0,3,adjacent room grid points
B3,B4,navigation,1.0,3,adjacent room grid points
B3,C3,navigation,1.0,3,adjacent room grid points
B4,C4,navigation,1.0,3,adjacent room grid points
B6,B7,navigation,1.0,3,adjacent room grid points
B6,C6,navigation,1.0,3,adjacent room grid points
B7,B8,navigation,1.0,3,adjacent room grid points
B7,C7,navigation,1.0,3,adjacent room grid points
B8,B9,navigation,1.0,3,adjacent room grid points
B8,C8,navigation,1.0,3,adjacent room grid points
B9,C9,navigation,1.0,3,adjacent room grid points
C10,C11,navigation,1.0,2,adjacent hallway or shared grid points
C10,C9,navigation,1.0,3,adjacent room grid points
C10,D10,navigation,1.0,3,adjacent room grid points
C11,D11,navigation,1.0,3,adjacent room grid points
C13,C14,navigation,1.0,3,adjacent room grid points
C13,D13,navigation,1.0,3,adjacent room grid points
C14,C15,navigation,1.0,3,adjacent room grid points
C14,E14,navigation,2.0,3,adjacent room grid points
C15,D15,navigation,1.0,3,adjacent room grid points
C2,C3,navigation,1.0,3,adjacent room grid points
C2,D2,navigation,1.0,3,adjacent room grid points
C3,C4,navigation,1.0,3,adjacent room grid points
C3,START_R01,room_start,1,4,room center connected to adjacent graph node
C4,D4,navigation,1.0,3,adjacent room grid points
C6,C7,navigation,1.0,3,adjacent room grid points
C6,D6,navigation,1.0,3,adjacent room grid points
C7,C8,navigation,1.0,3,adjacent room grid points
C7,D7,navigation,1.0,3,adjacent room grid points
C8,C9,navigation,1.0,3,adjacent room grid points
C8,START_R04,room_start,1,4,room center connected to adjacent graph node
C9,D9,navigation,1.0,3,adjacent room grid points
D10,D11,navigation,1.0,2,adjacent hallway or shared grid points
D10,D9,navigation,1.0,3,adjacent room grid points
D10,E10,navigation,1.0,3,adjacent room grid points
D11,DOOR_09,room_to_door,1.0,1,room side of doorway
D11,E11,navigation,1.0,2,adjacent hallway or shared grid points
D13,D15,navigation,2.0,3,adjacent room grid points
D13,DOOR_09,room_to_door,0.5,1,room side of doorway
D13,E13,navigation,1.0,3,adjacent room grid points
D15,E15,navigation,1.0,3,adjacent room grid points
D2,E2,navigation,1.0,3,adjacent room grid points
D2,START_R01,room_start,1,4,room center connected to adjacent graph node
D4,DOOR_03,room_to_door,1.0,1,room side of doorway
D4,E4,navigation,1.0,3,adjacent room grid points
D6,D7,navigation,1.0,3,adjacent room grid points
D6,DOOR_03,room_to_door,0.5,1,room side of doorway
D6,E6,navigation,1.0,3,adjacent room grid points
D7,E7,navigation,1.0,3,adjacent room grid points
D7,START_R04,room_start,1,4,room center connected to adjacent graph node
D9,E9,navigation,1.0,3,adjacent room grid points
E10,DOOR_07,room_to_door,0.5,1,room side of doorway
