node_id,node_type,grid_position,description,space_type,space_id,space_name,room_id,room_name
B2,navigation,B2,walkable room grid point,room,R01,West Gallery A,R01,West Gallery A
B3,navigation,B3,walkable room grid point,room,R01,West Gallery A,R01,West Gallery A
B4,navigation,B4,walkable room grid point,room,R01,West Gallery A,R01,West Gallery A
B6,navigation,B6,walkable room grid point,room,R04,West Gallery B,R04,West Gallery B
B7,navigation,B7,walkable room grid point,room,R04,West Gallery B,R04,West Gallery B
B8,navigation,B8,walkable room grid point,room,R04,West Gallery B,R04,West Gallery B
B9,navigation,B9,walkable room grid point,room,R04,West Gallery B,R04,West Gallery B
B10,navigation,B10,walkable room grid point,room,R04,West Gallery B,R04,West Gallery B
B11,navigation,B11,walkable room grid point,room,R06,West Gallery C,R06,West Gallery C
B13,navigation,B13,walkable room grid point,room,R06,West Gallery C,R06,West Gallery C
B14,navigation,B14,walkable room grid point,room,R06,West Gallery C,R06,West Gallery C
B15,navigation,B15,walkable room grid point,room,R06,West Gallery C,R06,West Gallery C
C2,navigation,C2,walkable room grid point,room,R01,West Gallery A,R01,West Gallery A
C3,navigation,C3,walkable room grid point,room,R01,West Gallery A,R01,West Gallery A
C4,navigation,C4,walkable room grid point,room,R01,West Gallery A,R01,West Gallery A
C6,navigation,C6,walkable room grid point,room,R04,West Gallery B,R04,West Gallery B
C7,navigation,C7,walkable room grid point,room,R04,West Gallery B,R04,West Gallery B
C8,navigation,C8,walkable room grid point,room,R04,West Gallery B,R04,West Gallery B
C9,navigation,C9,walkable room grid point,room,R04,West Gallery B,R04,West Gallery B
C10,navigation,C10,walkable room grid point,room,R04,West Gallery B,R04,West Gallery B
C11,navigation,C11,walkable room grid point,room,R06,West Gallery C,R06,West Gallery C
C13,navigation,C13,walkable room grid point,room,R06,West Gallery C,R06,West Gallery C
C14,navigation,C14,walkable room grid point,room,R06,West Gallery C,R06,West Gallery C
C15,navigation,C15,walkable room grid point,room,R06,West Gallery C,R06,West Gallery C
D2,navigation,D2,walkable room grid point,room,R01,West Gallery A,R01,West Gallery A
D4,navigation,D4,walkable room grid point,room,R01,West Gallery A,R01,West Gallery A
D6,navigation,D6,walkable room grid point,room,R04,West Gallery B,R04,West Gallery B
D7,navigation,D7,walkable room grid point,room,R04,West Gallery B,R04,West Gallery B
D9,navigation,D9,walkable room grid point,room,R04,West Gallery B,R04,West Gallery B
D10,navigation,D10,walkable room grid point,room,R04,West Gallery B,R04,West Gallery B
D11,navigation,D11,walkable room grid point,room,R06,West Gallery C,R06,West Gallery C
D13,navigation,D13,walkable room grid point,room,R06,West Gallery C,R06,West Gallery C
D15,navigation,D15,walkable room grid point,room,R06,West Gallery C,R06,West Gallery C
E2,navigation,E2,walkable room grid point,room,R01,West Gallery A,R01,West Gallery A
E3,navigation,E3,walkable room grid point,room,R01,West Gallery A,R01,West Gallery A
E4,navigation,E4,walkable room grid point,room,R01,West Gallery A,R01,West Gallery A
E6,navigation,E6,walkable room grid point,room,R04,West Gallery B,R04,West Gallery B
E7,navigation,E7,walkable room grid point,room,R04,West Gallery B,R04,West Gallery B
E8,navigation,E8,walkable room grid point,room,R04,West Gallery B,R04,West Gallery B
E9,navigation,E9,walkable room grid point,room,R04,West Gallery B,R04,West Gallery B
E10,navigation,E10,walkable room grid point,room,R04,West Gallery B,R04,West Gallery B
E11,navigation,E11,walkable room grid point,room,R04,West Gallery B,R04,West Gallery B
E13,navigation,E13,walkable room grid point,room,R06,West Gallery C,R06,West Gallery C
E14,navigation,E14,walkable room grid point,room,R06,West Gallery C,R06,West Gallery C
E15,navigation,E15,walkable room grid point,room,R06,West Gallery C,R06,West Gallery C
F2,navigation,F2,walkable room grid point,room,R01,West Gallery A,R01,West Gallery A
F3,navigation,F3,walkable room grid point,room,R01,West Gallery A,R01,West Gallery A
F13,navigation,F13,walkable room grid point,room,R06,West Gallery C,R06,West Gallery C
F14,navigation,F14,walkable room grid point,room,R06,West Gallery C,R06,West Gallery C
F15,navigation,F15,walkable room grid point,room,R06,West Gallery C,R06,West Gallery C
G4,navigation,G4,walkable room grid point,room,R01,West Gallery A,R01,West Gallery A
G6,navigation,G6,walkable room grid point,room,R04,West Gallery B,R04,West Gallery B
G7,navigation,G7,walkable room grid point,room,R04,West Gallery B,R04,West Gallery B
G8,navigation,G8,walkable room grid point,room,R04,West Gallery B,R04,West Gallery B
G9,navigation,G9,walkable room grid point,room,R04,West Gallery B,R04,West Gallery B
G10,navigation,G10,walkable room grid point,room,R04,West Gallery B,R04,West Gallery B
G11,navigation,G11,hallway grid point,hallway,H01,Hallway 01,,
H13,navigation,H13,walkable room grid point,room,R07,Museum Shop,R07,Museum Shop
H14,navigation,H14,walkable room grid point,room,R07,Museum Shop,R07,Museum Shop
H15,navigation,H15,walkable room grid point,room,R07,Museum Shop,R07,Museum Shop
I2,navigation,I2,walkable room grid point,room,R02,Front Desk,R02,Front Desk
I3,navigation,I3,walkable room grid point,room,R02,Front Desk,R02,Front Desk
I4,navigation,I4,walkable room grid point,room,R02,Front Desk,R02,Front Desk
I11,navigation,I11,walkable room grid point,room,R07,Museum Shop,R07,Museum Shop
J2,navigation,J2,walkable room grid point,room,R02,Front Desk,R02,Front Desk
J3,navigation,J3,walkable room grid point,room,R02,Front Desk,R02,Front Desk
J4,navigation,J4,walkable room grid point,room,R02,Front Desk,R02,Front Desk
J11,navigation,J11,walkable room grid point,room,R07,Museum Shop,R07,Museum Shop
J12,navigation,J12,walkable room grid point,room,R07,Museum Shop,R07,Museum Shop
J13,navigation,J13,walkable room grid point,room,R07,Museum Shop,R07,Museum Shop
J14,navigation,J14,walkable room grid point,room,R07,Museum Shop,R07,Museum Shop
J15,navigation,J15,walkable room grid point,room,R07,Museum Shop,R07,Museum Shop
K2,navigation,K2,walkable room grid point,room,R02,Front Desk,R02,Front Desk
K4,navigation,K4,walkable room grid point,room,R02,Front Desk,R02,Front Desk
K11,navigation,K11,walkable room grid point,room,R07,Museum Shop,R07,Museum Shop
K12,navigation,K12,walkable room grid point,room,R07,Museum Shop,R07,Museum Shop
K13,navigation,K13,walkable room grid point,room,R07,Museum Shop,R07,Museum Shop
K14,navigation,K14,walkable room grid point,room,R07,Museum Shop,R07,Museum Shop
K15,navigation,K15,walkable room grid point,room,R07,Museum Shop,R07,Museum Shop
L2,navigation,L2,walkable room grid point,room,R02,Front Desk,R02,Front Desk
L3,navigation,L3,walkable room grid point,room,R02,Front Desk,R02,Front Desk
L4,navigation,L4,walkable room grid point,room,R02,Front Desk,R02,Front Desk
L11,navigation,L11,walkable room grid point,room,R07,Museum Shop,R07,Museum Shop
L12,navigation,L12,walkable room grid point,room,R07,Museum Shop,R07,Museum Shop
L13,navigation,L13,walkable room grid point,room,R07,Museum Shop,R07,Museum Shop
L14,navigation,L14,walkable room grid point,room,R07,Museum Shop,R07,Museum Shop
L15,navigation,L15,walkable room grid point,room,R07,Museum Shop,R07,Museum Shop
M2,navigation,M2,walkable room grid point,room,R02,Front Desk,R02,Front Desk
M3,navigation,M3,walkable room grid point,room,R02,Front Desk,R02,Front Desk
M4,navigation,M4,walkable room grid point,room,R02,Front Desk,R02,Front Desk
M11,navigation,M11,walkable room grid point,room,R07,Museum Shop,R07,Museum Shop
N13,navigation,N13,walkable room grid point,room,R08,East Gallery C,R08,East Gallery C
N14,navigation,N14,walkable room grid point,room,R08,East Gallery C,R08,East Gallery C
N15,navigation,N15,walkable room grid point,room,R08,East Gallery C,R08,East Gallery C
O4,navigation,O4,walkable room grid point,room,R03,East Gallery A,R03,East Gallery A
O6,navigation,O6,hallway grid point,hallway,H01,Hallway 01,,
O7,navigation,O7,hallway grid point,hallway,H01,Hallway 01,,
O8,navigation,O8,hallway grid point,hallway,H01,Hallway 01,,
O9,navigation,O9,hallway grid point,hallway,H01,Hallway 01,,
O10,navigation,O10,hallway grid point,hallway,H01,Hallway 01,,
O11,navigation,O11,hallway grid point,hallway,H01,Hallway 01,,
P2,navigation,P2,walkable room grid point,room,R03,East Gallery A,R03,East Gallery A
P3,navigation,P3,walkable room grid point,room,R03,East Gallery A,R03,East Gallery A
P13,navigation,P13,walkable room grid point,room,R08,East Gallery C,R08,East Gallery C
P14,navigation,P14,walkable room grid point,room,R08,East Gallery C,R08,East Gallery C
P15,navigation,P15,walkable room grid point,room,R08,East Gallery C,R08,East Gallery C
Q2,navigation,Q2,walkable room grid point,room,R03,East Gallery A,R03,East Gallery A
Q3,navigation,Q3,walkable room grid point,room,R03,East Gallery A,R03,East Gallery A
Q4,navigation,Q4,walkable room grid point,room,R03,East Gallery A,R03,East Gallery A
Q6,navigation,Q6,walkable room grid point,room,R03,East Gallery A,R03,East Gallery A
Q7,navigation,Q7,walkable room grid point,room,R05,East Gallery B,R05,East Gallery B
Q8,navigation,Q8,walkable room grid point,room,R05,East Gallery B,R05,East Gallery B
Q9,navigation,Q9,walkable room grid point,room,R05,East Gallery B,R05,East Gallery B
Q10,navigation,Q10,walkable room grid point,room,R05,East Gallery B,R05,East Gallery B
Q11,navigation,Q11,hallway grid point,hallway,H01,Hallway 01,,
Q14,navigation,Q14,walkable room grid point,room,R08,East Gallery C,R08,East Gallery C
R2,navigation,R2,walkable room grid point,room,R03,East Gallery A,R03,East Gallery A
R4,navigation,R4,walkable room grid point,room,R03,East Gallery A,R03,East Gallery A
R6,navigation,R6,walkable room grid point,room,R05,East Gallery B,R05,East Gallery B
R7,navigation,R7,walkable room grid point,room,R05,East Gallery B,R05,East Gallery B
R9,navigation,R9,walkable room grid point,room,R05,East Gallery B,R05,East Gallery B
R10,navigation,R10,walkable room grid point,room,R05,East Gallery B,R05,East Gallery B
R11,navigation,R11,walkable room grid point,room,R05,East Gallery B,R05,East Gallery B
R13,navigation,R13,walkable room grid point,room,R08,East Gallery C,R08,East Gallery C
R15,navigation,R15,walkable room grid point,room,R08,East Gallery C,R08,East Gallery C
S2,navigation,S2,walkable room grid point,room,R03,East Gallery A,R03,East Gallery A
S3,navigation,S3,walkable room grid point,room,R03,East Gallery A,R03,East Gallery A
S4,navigation,S4,walkable room grid point,room,R03,East Gallery A,R03,East Gallery A
S6,navigation,S6,walkable room grid point,room,R05,East Gallery B,R05,East Gallery B
S7,navigation,S7,walkable room grid point,room,R05,East Gallery B,R05,East Gallery B
S9,navigation,S9,walkable room grid point,room,R05,East Gallery B,R05,East Gallery B
S10,navigation,S10,walkable room grid point,room,R05,East Gallery B,R05,East Gallery B
S11,navigation,S11,walkable room grid point,room,R05,East Gallery B,R05,East Gallery B
S13,navigation,S13,walkable room grid point,room,R08,East Gallery C,R08,East Gallery C
S14,navigation,S14,walkable room grid point,room,R08,East Gallery C,R08,East Gallery C
S15,navigation,S15,walkable room grid point,room,R08,East Gallery C,R08,East Gallery C
T2,navigation,T2,walkable room grid point,room,R03,East Gallery A,R03,East Gallery A
T3,navigation,T3,walkable room grid point,room,R03,East Gallery A,R03,East Gallery A
T4,navigation,T4,walkable room grid point,room,R03,East Gallery A,R03,East Gallery A
T6,navigation,T6,walkable room grid point,room,R05,East Gallery B,R05,East Gallery B
T7,navigation,T7,walkable room grid point,room,R05,East Gallery B,R05,East Gallery B
T8,navigation,T8,walkable room grid point,room,R05,East Gallery B,R05,East Gallery B
T9,navigation,T9,walkable room grid point,room,R05,East Gallery B,R05,East Gallery B
T10,navigation,T10,walkable room grid point,room,R05,East Gallery B,R05,East Gallery B
T11,navigation,T11,walkable room grid point,room,R05,East Gallery B,R05,East Gallery B
T13,navigation,T13,walkable room grid point,room,R08,East Gallery C,R08,East Gallery C
T14,navigation,T14,walkable room grid point,room,R08,East Gallery C,R08,East Gallery C
T15,navigation,T15,walkable room grid point,room,R08,East Gallery C,R08,East Gallery C
START_R01,room_start,D3,pink room center,room_start,R01,West Gallery A,R01,West Gallery A
START_R02,room_start,K3,pink room center,room_start,R02,Front Desk,R02,Front Desk
START_R03,room_start,R3,pink room center,room_start,R03,East Gallery A,R03,East Gallery A
START_R04,room_start,D8,pink room center,room_start,R04,West Gallery B,R04,West Gallery B
START_R05,room_start,R8,pink room center,room_start,R05,East Gallery B,R05,East Gallery B
START_R06,room_start,D14,pink room center,room_start,R06,West Gallery C,R06,West Gallery C
START_R07,room_start,K14,pink room center,room_start,R07,Museum Shop,R07,Museum Shop
START_R08,room_start,R14,pink room center,room_start,R08,East Gallery C,R08,East Gallery C
DOOR_02,door,N2,doorway between Front Desk and East Gallery A,door,,,,
DOOR_01,door,H2,doorway between West Gallery A and Front Desk,door,,,,
DOOR_03,door,D5,doorway between West Gallery A and West Gallery B,door,,,,
DOOR_04,door,R5,doorway between East Gallery A and East Gallery B,door,,,,
DOOR_05,door,F6,doorway transition point,door,R04,,R04,West Gallery B
DOOR_06,door,P6,doorway transition point,door,R03,,R03,East Gallery A
DOOR_07,door,F10,doorway transition point,door,R04,,R04,West Gallery B
DOOR_08,door,P10,doorway transition point,door,R05,,R05,East Gallery B
DOOR_09,door,D12,doorway transition point,door,R06,,R06,West Gallery C
DOOR_10,door,R12,doorway between East Gallery B and East Gallery C,door,,,,
DOOR_11,door,I14,doorway transition point,door,R07,,R07,Museum Shop
DOOR_12,door,M14,doorway between Museum Shop and East Gallery C,door,,,,
EXIT_A,exit,K1,exterior evacuation exit,exit,,Exit A,,Exit A
EXIT_B,exit,K16,exterior evacuation exit,exit,,Exit B,,Exit B
S8,navigation,S8,walkable room grid point,room,R05,East Gallery B,R05,East Gallery B
Q13,navigation,Q13,walkable room grid point,room,R08,East Gallery C,R08,East Gallery C
Q15,navigation,Q15,walkable room grid point,room,R08,East Gallery C,R08,East Gallery C
