node_id,node_type,grid_position,description,space_type,space_id,space_name,room_id,room_name
EXIT_C,exit,E1,exterior evacuation exit,exit,,Exit C,,Exit C
EXIT_D,exit,P1,exterior evacuation exit,exit,,Exit D,,Exit D
EXIT_E,exit,Y1,exterior evacuation exit,exit,,Exit E,,Exit E
A2,navigation,A2,walkable room grid point,room,R01,Reception & Main Office,R01,Reception & Main Office
B2,navigation,B2,walkable room grid point,room,R01,Reception & Main Office,R01,Reception & Main Office
C2,navigation,C2,walkable room grid point,room,R01,Reception & Main Office,R01,Reception & Main Office
E2,navigation,E2,walkable room grid point,room,R02,Attendance Office,R02,Attendance Office
G2,navigation,G2,walkable room grid point,room,R02,Attendance Office,R02,Attendance Office
H2,navigation,H2,walkable room grid point,room,R02,Attendance Office,R02,Attendance Office
I2,navigation,I2,walkable room grid point,room,R02,Attendance Office,R02,Attendance Office
K2,navigation,K2,walkable room grid point,room,R02,Attendance Office,R02,Attendance Office
L2,navigation,L2,hallway grid point,hallway,H18,Hallway 18,,
M2,navigation,M2,hallway grid point,hallway,H18,Hallway 18,,
N2,navigation,N2,hallway grid point,hallway,H18,Hallway 18,,
O2,navigation,O2,walkable room grid point,room,R05,Media Center / Library,R05,Media Center / Library
P2,navigation,P2,hallway grid point,hallway,H18,Hallway 18,,
Q2,navigation,Q2,hallway grid point,hallway,H18,Hallway 18,,
S2,navigation,S2,hallway grid point,hallway,H18,Hallway 18,,
T2,navigation,T2,hallway grid point,hallway,H18,Hallway 18,,
V2,navigation,V2,walkable room grid point,room,R03,Registrar & Student Records,R03,Registrar & Student Records
W2,navigation,W2,walkable room grid point,room,R03,Registrar & Student Records,R03,Registrar & Student Records
Y2,navigation,Y2,walkable room grid point,room,R24,Meeting Room B,R24,Meeting Room B
AA2,navigation,AA2,walkable room grid point,room,R04,West Administrative Office,R04,West Administrative Office
AB2,navigation,AB2,walkable room grid point,room,R04,West Administrative Office,R04,West Administrative Office
AC2,navigation,AC2,walkable room grid point,room,R04,West Administrative Office,R04,West Administrative Office
AD2,navigation,AD2,walkable room grid point,room,R04,West Administrative Office,R04,West Administrative Office
AF2,navigation,AF2,walkable room grid point,room,R04,West Administrative Office,R04,West Administrative Office
A3,navigation,A3,walkable room grid point,room,R01,Reception & Main Office,R01,Reception & Main Office
START_R01,room_start,B3,pink room center,room_start,R01,Reception & Main Office,R01,Reception & Main Office
C3,navigation,C3,walkable room grid point,room,R01,Reception & Main Office,R01,Reception & Main Office
DOOR_01,door,D3,doorway between Reception & Main Office and Attendance Office,door,,,,
E3,navigation,E3,walkable room grid point,room,R02,Attendance Office,R02,Attendance Office
DOOR_03,door,F3,doorway transition point,door,R02,,R02,Attendance Office
G3,navigation,G3,walkable room grid point,room,R02,Attendance Office,R02,Attendance Office
START_R02,room_start,H3,pink room center,room_start,R02,Attendance Office,R02,Attendance Office
I3,navigation,I3,walkable room grid point,room,R02,Attendance Office,R02,Attendance Office
K3,navigation,K3,walkable room grid point,room,R02,Attendance Office,R02,Attendance Office
L3,navigation,L3,hallway grid point,hallway,H18,Hallway 18,,
M3,navigation,M3,walkable room grid point,room,R05,Media Center / Library,R05,Media Center / Library
N3,navigation,N3,walkable room grid point,room,R05,Media Center / Library,R05,Media Center / Library
O3,navigation,O3,walkable room grid point,room,R05,Media Center / Library,R05,Media Center / Library
P3,navigation,P3,walkable room grid point,room,R05,Media Center / Library,R05,Media Center / Library
Q3,navigation,Q3,walkable room grid point,room,R05,Media Center / Library,R05,Media Center / Library
S3,navigation,S3,hallway grid point,hallway,H18,Hallway 18,,
T3,navigation,T3,hallway grid point,hallway,H18,Hallway 18,,
V3,navigation,V3,walkable room grid point,room,R03,Registrar & Student Records,R03,Registrar & Student Records
START_R03,room_start,W3,pink room center,room_start,R03,Registrar & Student Records,R03,Registrar & Student Records
DOOR_02,door,X3,doorway between Registrar & Student Records and Meeting Room B,door,,,,
Y3,navigation,Y3,walkable room grid point,room,R24,Meeting Room B,R24,Meeting Room B
DOOR_04,door,Z3,doorway between Meeting Room B and West Administrative Office,door,,,,
AA3,navigation,AA3,walkable room grid point,room,R04,West Administrative Office,R04,West Administrative Office
AB3,navigation,AB3,walkable room grid point,room,R04,West Administrative Office,R04,West Administrative Office
START_R04,room_start,AC3,pink room center,room_start,R04,West Administrative Office,R04,West Administrative Office
AD3,navigation,AD3,walkable room grid point,room,R04,West Administrative Office,R04,West Administrative Office
AF3,navigation,AF3,walkable room grid point,room,R04,West Administrative Office,R04,West Administrative Office
A4,navigation,A4,walkable room grid point,room,R01,Reception & Main Office,R01,Reception & Main Office
B4,navigation,B4,walkable room grid point,room,R01,Reception & Main Office,R01,Reception & Main Office
C4,navigation,C4,walkable room grid point,room,R01,Reception & Main Office,R01,Reception & Main Office
E4,navigation,E4,walkable room grid point,room,R02,Attendance Office,R02,Attendance Office
G4,navigation,G4,walkable room grid point,room,R02,Attendance Office,R02,Attendance Office
H4,navigation,H4,walkable room grid point,room,R02,Attendance Office,R02,Attendance Office
I4,navigation,I4,walkable room grid point,room,R02,Attendance Office,R02,Attendance Office
K4,navigation,K4,walkable room grid point,room,R02,Attendance Office,R02,Attendance Office
L4,navigation,L4,hallway grid point,hallway,H18,Hallway 18,,
M4,navigation,M4,walkable room grid point,room,R05,Media Center / Library,R05,Media Center / Library
N4,navigation,N4,walkable room grid point,room,R05,Media Center / Library,R05,Media Center / Library
O4,navigation,O4,walkable room grid point,room,R05,Media Center / Library,R05,Media Center / Library
P4,navigation,P4,walkable room grid point,room,R05,Media Center / Library,R05,Media Center / Library
Q4,navigation,Q4,walkable room grid point,room,R05,Media Center / Library,R05,Media Center / Library
S4,navigation,S4,hallway grid point,hallway,H18,Hallway 18,,
T4,navigation,T4,hallway grid point,hallway,H18,Hallway 18,,
V4,navigation,V4,walkable room grid point,room,R03,Registrar & Student Records,R03,Registrar & Student Records
W4,navigation,W4,walkable room grid point,room,R03,Registrar & Student Records,R03,Registrar & Student Records
Y4,navigation,Y4,walkable room grid point,room,R24,Meeting Room B,R24,Meeting Room B
AA4,navigation,AA4,walkable room grid point,room,R04,West Administrative Office,R04,West Administrative Office
AB4,navigation,AB4,walkable room grid point,room,R04,West Administrative Office,R04,West Administrative Office
AC4,navigation,AC4,walkable room grid point,room,R04,West Administrative Office,R04,West Administrative Office
AD4,navigation,AD4,walkable room grid point,room,R04,West Administrative Office,R04,West Administrative Office
AF4,navigation,AF4,walkable room grid point,room,R04,West Administrative Office,R04,West Administrative Office
E5,navigation,E5,hallway grid point,hallway,H18,Hallway 18,,
DOOR_05,door,H5,doorway between Attendance Office and Counseling Office,door,,,,
K5,navigation,K5,hallway grid point,hallway,H18,Hallway 18,,
L5,navigation,L5,hallway grid point,hallway,H18,Hallway 18,,
M5,navigation,M5,walkable room grid point,room,R05,Media Center / Library,R05,Media Center / Library
N5,navigation,N5,walkable room grid point,room,R05,Media Center / Library,R05,Media Center / Library
START_R05,room_start,O5,pink room center,room_start,R05,Media Center / Library,R05,Media Center / Library
P5,navigation,P5,walkable room grid point,room,R05,Media Center / Library,R05,Media Center / Library
Q5,navigation,Q5,walkable room grid point,room,R05,Media Center / Library,R05,Media Center / Library
S5,navigation,S5,hallway grid point,hallway,H18,Hallway 18,,
T5,navigation,T5,hallway grid point,hallway,H18,Hallway 18,,
DOOR_07,door,W5,doorway between Registrar & Student Records and Curriculum Office,door,,,,
Y5,navigation,Y5,walkable room grid point,room,R24,Meeting Room B,R24,Meeting Room B
DOOR_06,door,AB5,doorway between West Administrative Office and Student Services Office,door,,,,
A6,navigation,A6,walkable room grid point,room,R06,School Nurse Office,R06,School Nurse Office
B6,navigation,B6,walkable room grid point,room,R06,School Nurse Office,R06,School Nurse Office
C6,navigation,C6,walkable room grid point,room,R06,School Nurse Office,R06,School Nurse Office
E6,navigation,E6,walkable room grid point,room,R07,Counseling Office,R07,Counseling Office
G6,navigation,G6,walkable room grid point,room,R07,Counseling Office,R07,Counseling Office
H6,navigation,H6,walkable room grid point,room,R07,Counseling Office,R07,Counseling Office
I6,navigation,I6,walkable room grid point,room,R07,Counseling Office,R07,Counseling Office
K6,navigation,K6,walkable room grid point,room,R07,Counseling Office,R07,Counseling Office
L6,navigation,L6,hallway grid point,hallway,H18,Hallway 18,,
M6,navigation,M6,walkable room grid point,room,R05,Media Center / Library,R05,Media Center / Library
N6,navigation,N6,walkable room grid point,room,R05,Media Center / Library,R05,Media Center / Library
O6,navigation,O6,walkable room grid point,room,R05,Media Center / Library,R05,Media Center / Library
P6,navigation,P6,walkable room grid point,room,R05,Media Center / Library,R05,Media Center / Library
Q6,navigation,Q6,walkable room grid point,room,R05,Media Center / Library,R05,Media Center / Library
S6,navigation,S6,hallway grid point,hallway,H18,Hallway 18,,
T6,navigation,T6,hallway grid point,hallway,H18,Hallway 18,,
V6,navigation,V6,walkable room grid point,room,R08,Curriculum Office,R08,Curriculum Office
W6,navigation,W6,walkable room grid point,room,R08,Curriculum Office,R08,Curriculum Office
Y6,navigation,Y6,walkable room grid point,room,R24,Meeting Room B,R24,Meeting Room B
AA6,navigation,AA6,walkable room grid point,room,R09,Student Services Office,R09,Student Services Office
AB6,navigation,AB6,walkable room grid point,room,R09,Student Services Office,R09,Student Services Office
AD6,navigation,AD6,walkable room grid point,room,R10,Special Education Office,R10,Special Education Office
AE6,navigation,AE6,walkable room grid point,room,R10,Special Education Office,R10,Special Education Office
AF6,navigation,AF6,walkable room grid point,room,R10,Special Education Office,R10,Special Education Office
