source,target,edge_type,distance,capacity,notes
A10,B10,navigation,1,2,adjacent hallway or shared grid points
A12,A13,navigation,1,3,adjacent room grid points
A12,B12,navigation,1,3,adjacent room grid points
A13,A14,navigation,1,3,adjacent room grid points
A13,START_R11,room_start,1,4,room center connected to adjacent graph node
A14,B14,navigation,1,3,adjacent room grid points
A16,B16,navigation,1,2,adjacent hallway or shared grid points
A16,EXIT_G,exit,1,3,interior graph connected to evacuation exit
A18,A19,navigation,1,3,adjacent room grid points
A18,B18,navigation,1,3,adjacent room grid points
A19,A20,navigation,1,3,adjacent room grid points
A19,B19,navigation,1,3,adjacent room grid points
A2,A3,navigation,1,3,adjacent room grid points
A2,B2,navigation,1,3,adjacent room grid points
A20,B20,navigation,1,3,adjacent room grid points
A22,B22,navigation,1,2,adjacent hallway or shared grid points
A24,A25,navigation,1,3,adjacent room grid points
A24,B24,navigation,1,3,adjacent room grid points
A25,A26,navigation,1,3,adjacent room grid points
A25,B25,navigation,1,3,adjacent room grid points
A26,B26,navigation,1,3,adjacent room grid points
A3,A4,navigation,1,3,adjacent room grid points
A3,START_R01,room_start,1,4,room center connected to adjacent graph node
A4,B4,navigation,1,3,adjacent room grid points
A6,A7,navigation,1,3,adjacent room grid points
A6,B6,navigation,1,3,adjacent room grid points
A7,A8,navigation,1,3,adjacent room grid points
A7,START_R06,room_start,1,4,room center connected to adjacent graph node
A8,B8,navigation,1,3,adjacent room grid points
AA10,AB10,navigation,1,3,adjacent room grid points
AA10,Z10,navigation,1,3,adjacent room grid points
AA12,AA13,navigation,1,3,adjacent room grid points
AA12,AB12,navigation,1,3,adjacent room grid points
AA13,AA14,navigation,1,3,adjacent room grid points
AA13,START_R18,room_start,1,4,room center connected to adjacent graph node
AA14,AB14,navigation,1,3,adjacent room grid points
AA16,AB16,navigation,1,3,adjacent room grid points
AA16,Z16,navigation,1,3,adjacent room grid points
AA2,AA3,navigation,1,3,adjacent room grid points
AA2,AB2,navigation,1,3,adjacent room grid points
AA22,AB22,navigation,1,3,adjacent room grid points
AA22,Z22,navigation,1,3,adjacent room grid points
AA23,AA24,navigation,1,2,adjacent hallway or shared grid points
AA24,AA25,navigation,0.5,2,adjacent hallway or shared grid points
AA25,AA26,navigation,1,2,adjacent hallway or shared grid points
AA25,DOOR_51,door_to_hallway,1,1,hallway side of doorway
AA25,DOOR_53,door_to_hallway,1,1,hallway side of doorway
AA3,AA4,navigation,1,3,adjacent room grid points
AA3,AB3,navigation,1,3,adjacent room grid points
AA3,DOOR_04,room_to_door,1,1,room side of doorway
AA4,AB4,navigation,1,3,adjacent room grid points
AA6,AA7,navigation,1,3,adjacent room grid points
AA6,AB6,navigation,1,3,adjacent room grid points
AA7,AA8,navigation,1,3,adjacent room grid points
AA7,DOOR_08,room_to_door,1,1,room side of doorway
AA8,AB8,navigation,1,3,adjacent room grid points
AB10,AC10,navigation,1,3,adjacent room grid points
AB10,DOOR_21,room_to_door,1,1,room side of doorway
AB12,AC12,navigation,1,3,adjacent room grid points
AB12,DOOR_21,room_to_door,1,1,room side of doorway
AB12,START_R18,room_start,1,4,room center connected to adjacent graph node
AB14,AC14,navigation,1,3,adjacent room grid points
AB16,AC16,navigation,1,3,adjacent room grid points
AB18,AB19,navigation,1,3,adjacent room grid points
AB18,AC18,navigation,1,3,adjacent room grid points
AB19,AB20,navigation,1,3,adjacent room grid points
AB19,AC19,navigation,1,3,adjacent room grid points
AB2,AB3,navigation,1,3,adjacent room grid points
AB2,AC2,navigation,1,3,adjacent room grid points
AB20,AC20,navigation,1,3,adjacent room grid points
AB22,AD22,navigation,1,3,adjacent room grid points
AB3,AB4,navigation,1,3,adjacent room grid points
AB3,START_R04,room_start,1,4,room center connected to adjacent graph node
AB4,AC4,navigation,1,3,adjacent room grid points
AB4,DOOR_06,room_to_door,1,1,room side of doorway
AB6,DOOR_06,room_to_door,1,1,room side of doorway
AB6,START_R09,room_start,1,4,room center connected to adjacent graph node
AC10,AD10,navigation,1,3,adjacent room grid points
AC12,AC13,navigation,1,3,adjacent room grid points
AC13,AC14,navigation,1,3,adjacent room grid points
AC16,AD16,navigation,1,3,adjacent room grid points
AC18,AC19,navigation,1,3,adjacent room grid points
AC18,AD18,navigation,1,3,adjacent room grid points
AC19,AC20,navigation,1,3,adjacent room grid points
AC2,AD2,navigation,1,3,adjacent room grid points
AC2,START_R04,room_start,1,4,room center connected to adjacent graph node
AC20,AD20,navigation,1,3,adjacent room grid points
AC24,AC25,navigation,1,3,adjacent room grid points
AC24,AD24,navigation,1,3,adjacent room grid points
AC25,AC26,navigation,1,3,adjacent room grid points
AC25,DOOR_53,room_to_door,1,1,room side of doorway
AC26,AD26,navigation,1,3,adjacent room grid points
AC26,EXIT_B,exit,1,3,interior graph connected to evacuation exit
AC4,AD4,navigation,1,3,adjacent room grid points
AD10,AE10,navigation,0.5,3,adjacent room grid points
AD12,AD13,navigation,1,3,adjacent room grid points
AD12,AE12,navigation,1,3,adjacent room grid points
AD13,AD14,navigation,1,3,adjacent room grid points
AD13,START_R19,room_start,1,4,room center connected to adjacent graph node
AD14,AE14,navigation,1,3,adjacent room grid points
AD16,AE16,navigation,1,3,adjacent room grid points
AD16,DOOR_28,room_to_door,1,1,room side of doorway
AD18,AE18,navigation,1,3,adjacent room grid points
AD18,DOOR_28,room_to_door,1,1,room side of doorway
AD18,START_R25,room_start,1,4,room center connected to adjacent graph node
AD2,AD3,navigation,1,3,adjacent room grid points
AD2,AF2,navigation,1,3,adjacent room grid points
AD20,AE20,navigation,1,3,adjacent room grid points
AD20,DOOR_36,room_to_door,1,1,room side of doorway
AD22,AE22,navigation,1,3,adjacent room grid points
AD22,DOOR_36,room_to_door,1,1,room side of doorway
AD22,DOOR_47,room_to_door,1,1,room side of doorway
AD24,AE24,navigation,1,3,adjacent room grid points
AD24,DOOR_47,room_to_door,1,1,room side of doorway
AD24,START_R33,room_start,1,4,room center connected to adjacent graph node
AD26,AE26,navigation,1,3,adjacent room grid points
AD3,AD4,navigation,1,3,adjacent room grid points
AD3,AF3,navigation,1,3,adjacent room grid points
AD4,AF4,navigation,1,3,adjacent room grid points
AD6,AD7,navigation,1,3,adjacent room grid points
AD6,AE6,navigation,1,3,adjacent room grid points
AD7,AD8,navigation,1,3,adjacent room grid points
AD7,DOOR_10,room_to_door,1,1,room side of doorway
AD7,START_R10,room_start,1,4,room center connected to adjacent graph node
AD8,AE8,navigation,1,3,adjacent room grid points
AE10,AF10,navigation,0.5,3,adjacent room grid points
AE10,DOOR_13,room_to_door,1,1,room side of doorway
AE10,DOOR_24,room_to_door,1,1,room side of doorway
AE12,AF12,navigation,1,3,adjacent room grid points
AE12,DOOR_24,room_to_door,1,1,room side of doorway
AE12,START_R19,room_start,1,4,room center connected to adjacent graph node
AE14,AF14,navigation,1,3,adjacent room grid points
AE16,AF16,navigation,1,3,adjacent room grid points
AE18,AE19,navigation,1,3,adjacent room grid points
AE18,AF18,navigation,1,3,adjacent room grid points
AE19,AE20,navigation,1,3,adjacent room grid points
AE19,AF19,navigation,1,3,adjacent room grid points
AE20,AF20,navigation,1,3,adjacent room grid points
AE22,AF22,navigation,1,3,adjacent room grid points
AE24,AE25,navigation,1,3,adjacent room grid points
AE24,AF24,navigation,1,3,adjacent room grid points
AE25,AE26,navigation,1,3,adjacent room grid points
AE25,AF25,navigation,1,3,adjacent room grid points
AE26,AF26,navigation,1,3,adjacent room grid points
AE6,AF6,navigation,1,3,adjacent room grid points
AE6,START_R10,room_start,1,4,room center connected to adjacent graph node
AE8,AF8,navigation,1,3,adjacent room grid points
AE8,DOOR_13,room_to_door,1,1,room side of doorway
AF12,AF13,navigation,1,3,adjacent room grid points
AF13,AF14,navigation,1,3,adjacent room grid points
AF16,EXIT_H,exit,1,3,interior graph connected to evacuation exit
AF18,AF19,navigation,1,3,adjacent room grid points
AF19,AF20,navigation,1,3,adjacent room grid points
AF2,AF3,navigation,1,3,adjacent room grid points
AF24,AF25,navigation,1,3,adjacent room grid points
AF25,AF26,navigation,1,3,adjacent room grid points
AF3,AF4,navigation,1,3,adjacent room grid points
AF6,AF7,navigation,1,3,adjacent room grid points
AF7,AF8,navigation,1,3,adjacent room grid points
B10,C10,navigation,1,2,adjacent hallway or shared grid points
B10,DOOR_14,door_to_hallway,1,1,hallway side of doorway
B10,DOOR_18,door_to_hallway,1,1,hallway side of doorway
B12,C12,navigation,1,3,adjacent room grid points
B12,DOOR_18,room_to_door,1,1,room side of doorway
B12,START_R11,room_start,1,4,room center connected to adjacent graph node
B14,C14,navigation,1,3,adjacent room grid points
B16,C16,navigation,1,2,adjacent hallway or shared grid points
B18,B19,navigation,1,3,adjacent room grid points
B18,C18,navigation,1,3,adjacent room grid points
B19,B20,navigation,1,3,adjacent room grid points
B19,START_R20,room_start,1,4,room center connected to adjacent graph node
B2,C2,navigation,1,3,adjacent room grid points
B20,C20,navigation,1,3,adjacent room grid points
B22,C22,navigation,1,2,adjacent hallway or shared grid points
B24,B25,navigation,1,3,adjacent room grid points
B24,C24,navigation,1,3,adjacent room grid points
B25,B26,navigation,1,3,adjacent room grid points
B25,START_R28,room_start,1,4,room center connected to adjacent graph node
B26,C26,navigation,1,3,adjacent room grid points
B4,C4,navigation,1,3,adjacent room grid points
B6,C6,navigation,1,3,adjacent room grid points
B8,C8,navigation,1,3,adjacent room grid points
B8,DOOR_14,room_to_door,1,1,room side of doorway
C10,D10,navigation,1,2,adjacent hallway or shared grid points
C12,C13,navigation,1,3,adjacent room grid points
C13,C14,navigation,1,3,adjacent room grid points
C16,D16,navigation,1,2,adjacent hallway or shared grid points
C18,D18,navigation,1,3,adjacent room grid points
C18,START_R20,room_start,1,4,room center connected to adjacent graph node
C2,C3,navigation,1,3,adjacent room grid points
C20,D20,navigation,1,3,adjacent room grid points
C20,DOOR_37,room_to_door,1,1,room side of doorway
C22,D22,navigation,1,2,adjacent hallway or shared grid points
C22,DOOR_37,door_to_hallway,1,1,hallway side of doorway
C22,DOOR_44,door_to_hallway,1,1,hallway side of doorway
C24,D24,navigation,1,3,adjacent room grid points
C24,DOOR_44,room_to_door,1,1,room side of doorway
C26,D26,navigation,1,3,adjacent room grid points
C26,EXIT_A,exit,1,3,interior graph connected vertically to evacuation exit
C3,C4,navigation,1,3,adjacent room grid points
C3,DOOR_01,room_to_door,1,1,room side of doorway
C6,C7,navigation,1,3,adjacent room grid points
C7,C8,navigation,1,3,adjacent room grid points
C7,DOOR_12,room_to_door,1,1,room side of doorway
D10,E10,navigation,1,2,adjacent hallway or shared grid points
D12,D13,navigation,1,3,adjacent room grid points
D12,E12,navigation,1,3,adjacent room grid points
D13,D14,navigation,1,3,adjacent room grid points
D13,START_R12,room_start,1,4,room center connected to adjacent graph node
D14,E14,navigation,1,3,adjacent room grid points
D16,DOOR_31,door_to_hallway,1,1,hallway side of doorway
D16,E16,navigation,1,2,adjacent hallway or shared grid points
D18,D19,navigation,1,3,adjacent room grid points
D18,DOOR_31,room_to_door,1,1,room side of doorway
D18,E18,navigation,1,3,adjacent room grid points
D19,D20,navigation,1,3,adjacent room grid points
D19,E19,navigation,1,3,adjacent room grid points
D20,E20,navigation,1,3,adjacent room grid points
D22,E22,navigation,1,2,adjacent hallway or shared grid points
D24,D25,navigation,1,3,adjacent room grid points
D25,D26,navigation,1,3,adjacent room grid points
D25,DOOR_54,room_to_door,1,1,room side of doorway
DOOR_26,N18,room_to_door,2,1,straight room side of doorway
DOOR_32,M18.5,room_to_door,0.5,1,room side of doorway
DOOR_33,P18.5,door_to_hallway,1,1,hallway side of doorway
DOOR_34,U18.5,room_to_door,1,1,straight room side of doorway
DOOR_35,Q18.5,room_to_door,0.5,1,room side of doorway
DOOR_39,X22,door_to_hallway,1,1,straight hallway side of doorway
E10,DOOR_19,door_to_hallway,1,1,hallway side of doorway
E10,E9,navigation,1,2,adjacent hallway or shared grid points
E10,F10,navigation,1,2,adjacent hallway or shared grid points
E12,DOOR_19,room_to_door,1,1,room side of doorway
E12,F12,navigation,1,3,adjacent room grid points
E12,START_R12,room_start,1,4,room center connected to adjacent graph node
E14,F14,navigation,1,3,adjacent room grid points
E16,F16,navigation,1,2,adjacent hallway or shared grid points
E18,E19,navigation,1,3,adjacent room grid points
E19,E20,navigation,1,3,adjacent room grid points
E2,E3,navigation,1,3,adjacent room grid points
E2,EXIT_C,exit,1,3,interior graph connected vertically to evacuation exit
E22,F22,navigation,1,2,adjacent hallway or shared grid points
E23,E24,navigation,1,2,adjacent hallway or shared grid points
E24,E25,navigation,0.5,2,adjacent hallway or shared grid points
E25,DOOR_50,door_to_hallway,1,1,hallway side of doorway
E25,DOOR_54,door_to_hallway,1,1,hallway side of doorway
E25,E26,navigation,1,2,adjacent hallway or shared grid points
E3,DOOR_01,room_to_door,1,1,room side of doorway
E3,DOOR_03,room_to_door,1,1,room side of doorway
E3,E4,navigation,1,3,adjacent room grid points
E4,E5,navigation,1,2,adjacent hallway or shared grid points
E5,E6,navigation,1,2,adjacent hallway or shared grid points
E6,E7,navigation,1,3,adjacent room grid points
E7,DOOR_09,room_to_door,1,1,room side of doorway
E7,DOOR_12,room_to_door,1,1,room side of doorway
E7,E8,navigation,1,3,adjacent room grid points
E8,E9,navigation,1,2,adjacent hallway or shared grid points
F10,G10,navigation,1,2,adjacent hallway or shared grid points
F12,F13,navigation,1,3,adjacent room grid points
F13,F14,navigation,1,3,adjacent room grid points
F16,G16,navigation,1,2,adjacent hallway or shared grid points
F22,G22,navigation,1,2,adjacent hallway or shared grid points
G10,H10,navigation,1,3,adjacent room grid points
