room_id,room_name,capacity,occupancy
R01,Room 01,29,25
R02,Room 02,10,6
R03,Room 03,20,19
R04,Room 04,15,15
R05,Room 05,19,17
R06,Room 06,24,20
R07,Room 07,12,8
R08,Room 08,18,15
R09,Room 09,16,13
R10,Room 10,13,13
R11,Room 11,23,19
R12,Room 12,25,21
R13,Room 13,15,12
R14,Room 14,21,21
R15,Room 15,14,9
R16,Room 16,11,7
R17,Room 17,21,20
R18,Room 18,8,4
R19,Room 19,10,10
R20,Room 20,23,23
R21,Room 21,4,4
R22,Room 22,16,16
R23,Room 23,11,10
R24,Room 24,10,10
R25,Room 25,22,21
R26,Room 26,15,13
R27,Room 27,5,4
R28,Room 28,9,7
R29,Room 29,19,18
R30,Room 30,25,23
