node_id,node_type,grid_position,description,space_type,space_id,space_name,room_id,room_name
B2,navigation,B2,walkable room grid point,room,R02,Staff Room,R02,Staff Room
C2,navigation,C2,walkable room grid point,room,R02,Staff Room,R02,Staff Room
D2,navigation,D2,walkable room grid point,room,R02,Staff Room,R02,Staff Room
E2,navigation,E2,walkable room grid point,room,R02,Staff Room,R02,Staff Room
F2,navigation,F2,walkable room grid point,room,R02,Staff Room,R02,Staff Room
G2,navigation,G2,walkable room grid point,room,R02,Staff Room,R02,Staff Room
I2,navigation,I2,hallway grid point,hallway,H01,Hallway 01,,
K2,navigation,K2,walkable room grid point,room,R01,Doctor's Office,R01,Doctor's Office
L2,navigation,L2,walkable room grid point,room,R01,Doctor's Office,R01,Doctor's Office
M2,navigation,M2,walkable room grid point,room,R01,Doctor's Office,R01,Doctor's Office
N2,navigation,N2,walkable room grid point,room,R01,Doctor's Office,R01,Doctor's Office
O2,navigation,O2,walkable room grid point,room,R01,Doctor's Office,R01,Doctor's Office
P2,navigation,P2,walkable room grid point,room,R01,Doctor's Office,R01,Doctor's Office
B3,navigation,B3,walkable room grid point,room,R02,Staff Room,R02,Staff Room
C3,navigation,C3,walkable room grid point,room,R02,Staff Room,R02,Staff Room
E3,navigation,E3,walkable room grid point,room,R02,Staff Room,R02,Staff Room
F3,navigation,F3,walkable room grid point,room,R02,Staff Room,R02,Staff Room
G3,navigation,G3,walkable room grid point,room,R02,Staff Room,R02,Staff Room
I3,navigation,I3,hallway grid point,hallway,H01,Hallway 01,,
K3,navigation,K3,walkable room grid point,room,R01,Doctor's Office,R01,Doctor's Office
L3,navigation,L3,walkable room grid point,room,R01,Doctor's Office,R01,Doctor's Office
M3,navigation,M3,walkable room grid point,room,R01,Doctor's Office,R01,Doctor's Office
N3,navigation,N3,walkable room grid point,room,R01,Doctor's Office,R01,Doctor's Office
O3,navigation,O3,walkable room grid point,room,R01,Doctor's Office,R01,Doctor's Office
P3,navigation,P3,walkable room grid point,room,R01,Doctor's Office,R01,Doctor's Office
B4,navigation,B4,walkable room grid point,room,R02,Staff Room,R02,Staff Room
C4,navigation,C4,walkable room grid point,room,R02,Staff Room,R02,Staff Room
D4,navigation,D4,walkable room grid point,room,R02,Staff Room,R02,Staff Room
E4,navigation,E4,walkable room grid point,room,R02,Staff Room,R02,Staff Room
F4,navigation,F4,walkable room grid point,room,R02,Staff Room,R02,Staff Room
G4,navigation,G4,walkable room grid point,room,R02,Staff Room,R02,Staff Room
I4,navigation,I4,hallway grid point,hallway,H01,Hallway 01,,
K4,navigation,K4,walkable room grid point,room,R01,Doctor's Office,R01,Doctor's Office
L4,navigation,L4,walkable room grid point,room,R01,Doctor's Office,R01,Doctor's Office
M4,navigation,M4,walkable room grid point,room,R01,Doctor's Office,R01,Doctor's Office
N4,navigation,N4,walkable room grid point,room,R01,Doctor's Office,R01,Doctor's Office
O4,navigation,O4,walkable room grid point,room,R01,Doctor's Office,R01,Doctor's Office
P4,navigation,P4,walkable room grid point,room,R01,Doctor's Office,R01,Doctor's Office
I5.5,navigation,I5.5,hallway grid point,hallway,H01,Hallway 01,,
B6,navigation,B6,walkable room grid point,room,R08,Exam Room 6,R08,Exam Room 6
C6,navigation,C6,walkable room grid point,room,R08,Exam Room 6,R08,Exam Room 6
D6,navigation,D6,walkable room grid point,room,R04,Exam Room 2,R04,Exam Room 2
E6,navigation,E6,walkable room grid point,room,R04,Exam Room 2,R04,Exam Room 2
F6,navigation,F6,walkable room grid point,room,R05,Exam Room 3,R05,Exam Room 3
G6,navigation,G6,walkable room grid point,room,R05,Exam Room 3,R05,Exam Room 3
K6,navigation,K6,walkable room grid point,room,R06,Exam Room 4,R06,Exam Room 4
L6,navigation,L6,walkable room grid point,room,R06,Exam Room 4,R06,Exam Room 4
M6,navigation,M6,walkable room grid point,room,R07,Exam Room 5,R07,Exam Room 5
N6,navigation,N6,walkable room grid point,room,R07,Exam Room 5,R07,Exam Room 5
O6,navigation,O6,walkable room grid point,room,R03,Exam Room 1,R03,Exam Room 1
P6,navigation,P6,walkable room grid point,room,R03,Exam Room 1,R03,Exam Room 1
C7,navigation,C7,walkable room grid point,room,R08,Exam Room 6,R08,Exam Room 6
E7,navigation,E7,walkable room grid point,room,R04,Exam Room 2,R04,Exam Room 2
G7,navigation,G7,walkable room grid point,room,R05,Exam Room 3,R05,Exam Room 3
I7,navigation,I7,hallway grid point,hallway,H01,Hallway 01,,
K7,navigation,K7,walkable room grid point,room,R06,Exam Room 4,R06,Exam Room 4
M7,navigation,M7,walkable room grid point,room,R07,Exam Room 5,R07,Exam Room 5
O7,navigation,O7,walkable room grid point,room,R03,Exam Room 1,R03,Exam Room 1
B8,navigation,B8,walkable room grid point,room,R08,Exam Room 6,R08,Exam Room 6
C8,navigation,C8,walkable room grid point,room,R08,Exam Room 6,R08,Exam Room 6
D8,navigation,D8,walkable room grid point,room,R04,Exam Room 2,R04,Exam Room 2
E8,navigation,E8,walkable room grid point,room,R04,Exam Room 2,R04,Exam Room 2
F8,navigation,F8,walkable room grid point,room,R05,Exam Room 3,R05,Exam Room 3
G8,navigation,G8,walkable room grid point,room,R05,Exam Room 3,R05,Exam Room 3
I8,navigation,I8,hallway grid point,hallway,H01,Hallway 01,,
K8,navigation,K8,walkable room grid point,room,R06,Exam Room 4,R06,Exam Room 4
L8,navigation,L8,walkable room grid point,room,R06,Exam Room 4,R06,Exam Room 4
M8,navigation,M8,walkable room grid point,room,R07,Exam Room 5,R07,Exam Room 5
N8,navigation,N8,walkable room grid point,room,R07,Exam Room 5,R07,Exam Room 5
O8,navigation,O8,walkable room grid point,room,R03,Exam Room 1,R03,Exam Room 1
P8,navigation,P8,walkable room grid point,room,R03,Exam Room 1,R03,Exam Room 1
B10,navigation,B10,walkable room grid point,room,R09,Lab Room 1,R09,Lab Room 1
C10,navigation,C10,walkable room grid point,room,R09,Lab Room 1,R09,Lab Room 1
D10,navigation,D10,walkable room grid point,room,R09,Lab Room 1,R09,Lab Room 1
E10,navigation,E10,walkable room grid point,room,R09,Lab Room 1,R09,Lab Room 1
F10,navigation,F10,walkable room grid point,room,R09,Lab Room 1,R09,Lab Room 1
G10,navigation,G10,walkable room grid point,room,R09,Lab Room 1,R09,Lab Room 1
I10,navigation,I10,hallway grid point,hallway,H01,Hallway 01,,
J10,navigation,J10,hallway grid point,hallway,H01,Hallway 01,,
K10,navigation,K10,hallway grid point,hallway,H01,Hallway 01,,
L10,navigation,L10,hallway grid point,hallway,H01,Hallway 01,,
M10,navigation,M10,hallway grid point,hallway,H01,Hallway 01,,
N10,navigation,N10,hallway grid point,hallway,H01,Hallway 01,,
O10,navigation,O10,hallway grid point,hallway,H01,Hallway 01,,
P10,navigation,P10,hallway grid point,hallway,H01,Hallway 01,,
