room_id,room_name,primary_exit,sequence_index,node_id,node_type,grid_position
R01,Room 01,EXIT_A,0,START_R01,room_start,B5
R01,Room 01,EXIT_A,1,DOOR_01,door,B4
R01,Room 01,EXIT_A,2,C0,navigation,B3
R01,Room 01,EXIT_A,3,EXIT_A,exit,B2.5
R02,Room 02,EXIT_A,0,START_R02,room_start,C1
R02,Room 02,EXIT_A,1,DOOR_02,door,C2
R02,Room 02,EXIT_A,2,C1,navigation,C3
R02,Room 02,EXIT_A,3,C0,navigation,B3
R02,Room 02,EXIT_A,4,EXIT_A,exit,B2.5
R03,Room 03,EXIT_A,0,START_R03,room_start,D5
R03,Room 03,EXIT_A,1,DOOR_03,door,D4
R03,Room 03,EXIT_A,2,C2,navigation,D3
R03,Room 03,EXIT_A,3,C1,navigation,C3
R03,Room 03,EXIT_A,4,C0,navigation,B3
R03,Room 03,EXIT_A,5,EXIT_A,exit,B2.5
R04,Room 04,EXIT_A,0,START_R04,room_start,E1
R04,Room 04,EXIT_A,1,DOOR_04,door,E2
R04,Room 04,EXIT_A,2,C3,navigation,E3
R04,Room 04,EXIT_A,3,C2,navigation,D3
R04,Room 04,EXIT_A,4,C1,navigation,C3
R04,Room 04,EXIT_A,5,C0,navigation,B3
R04,Room 04,EXIT_A,6,EXIT_A,exit,B2.5
R05,Room 05,EXIT_B,0,START_R05,room_start,F5
R05,Room 05,EXIT_B,1,DOOR_05,door,F4
R05,Room 05,EXIT_B,2,C4,navigation,F3
R05,Room 05,EXIT_B,3,C5,navigation,G3
R05,Room 05,EXIT_B,4,C6,navigation,H3
R05,Room 05,EXIT_B,5,EXIT_B,exit,H2.5
R06,Room 06,EXIT_B,0,START_R06,room_start,G1
R06,Room 06,EXIT_B,1,DOOR_06,door,G2
R06,Room 06,EXIT_B,2,C5,navigation,G3
R06,Room 06,EXIT_B,3,C6,navigation,H3
R06,Room 06,EXIT_B,4,EXIT_B,exit,H2.5
R07,Room 07,EXIT_B,0,START_R07,room_start,H5
R07,Room 07,EXIT_B,1,DOOR_07,door,H4
R07,Room 07,EXIT_B,2,C6,navigation,H3
R07,Room 07,EXIT_B,3,EXIT_B,exit,H2.5
R08,Room 08,EXIT_B,0,START_R08,room_start,I1
R08,Room 08,EXIT_B,1,DOOR_08,door,I2
R08,Room 08,EXIT_B,2,C7,navigation,I3
R08,Room 08,EXIT_B,3,C6,navigation,H3
