i,j,variable_i,variable_j,coefficient
0,1,x_R01_EXIT_C,x_R01_EXIT_D,1.8452482726066823
0,2,x_R01_EXIT_C,x_R01_EXIT_E,1.8452482726066823
0,3,x_R01_EXIT_C,x_R01_EXIT_G,1.8452482726066823
0,4,x_R01_EXIT_C,x_R01_EXIT_H,1.8452482726066823
0,5,x_R01_EXIT_C,x_R01_EXIT_A,1.8452482726066823
0,6,x_R01_EXIT_C,x_R01_EXIT_F,1.8452482726066823
0,7,x_R01_EXIT_C,x_R01_EXIT_B,1.8452482726066823
0,8,x_R01_EXIT_C,x_R02_EXIT_C,0.00015873747159854894
0,16,x_R01_EXIT_C,x_R03_EXIT_C,0.00015873747159854894
0,24,x_R01_EXIT_C,x_R04_EXIT_C,0.00015873747159854894
0,32,x_R01_EXIT_C,x_R05_EXIT_C,0.0007936873579927447
0,40,x_R01_EXIT_C,x_R06_EXIT_C,0.0001190531036989117
0,48,x_R01_EXIT_C,x_R07_EXIT_C,0.00015873747159854894
0,56,x_R01_EXIT_C,x_R08_EXIT_C,0.00015873747159854894
0,64,x_R01_EXIT_C,x_R09_EXIT_C,0.00015873747159854894
0,72,x_R01_EXIT_C,x_R10_EXIT_C,0.00015873747159854894
0,80,x_R01_EXIT_C,x_R11_EXIT_C,0.00015873747159854894
0,88,x_R01_EXIT_C,x_R12_EXIT_C,0.00015873747159854894
0,96,x_R01_EXIT_C,x_R13_EXIT_C,0.00015873747159854894
0,104,x_R01_EXIT_C,x_R14_EXIT_C,0.00015873747159854894
0,112,x_R01_EXIT_C,x_R15_EXIT_C,0.00015873747159854894
0,120,x_R01_EXIT_C,x_R16_EXIT_C,0.00015873747159854894
0,128,x_R01_EXIT_C,x_R17_EXIT_C,0.00015873747159854894
0,136,x_R01_EXIT_C,x_R18_EXIT_C,0.00015873747159854894
0,144,x_R01_EXIT_C,x_R19_EXIT_C,0.0001190531036989117
0,152,x_R01_EXIT_C,x_R22_EXIT_C,0.00039684367899637233
0,160,x_R01_EXIT_C,x_R23_EXIT_C,0.00039684367899637233
0,168,x_R01_EXIT_C,x_R20_EXIT_C,0.0001190531036989117
0,176,x_R01_EXIT_C,x_R21_EXIT_C,0.00039684367899637233
0,184,x_R01_EXIT_C,x_R24_EXIT_C,0.00039684367899637233
0,192,x_R01_EXIT_C,x_R25_EXIT_C,0.00039684367899637233
0,200,x_R01_EXIT_C,x_R26_EXIT_C,0.0002381062073978234
0,224,x_R01_EXIT_C,x_R29_EXIT_C,0.00015873747159854894
0,232,x_R01_EXIT_C,x_R30_EXIT_C,0.00015873747159854894
0,248,x_R01_EXIT_C,x_R32_EXIT_C,0.00015873747159854894
0,256,x_R01_EXIT_C,x_R33_EXIT_C,0.00015873747159854894
1,2,x_R01_EXIT_D,x_R01_EXIT_E,1.8614990212615838
1,3,x_R01_EXIT_D,x_R01_EXIT_G,1.8550701536618426
1,4,x_R01_EXIT_D,x_R01_EXIT_H,1.8550701536618426
1,5,x_R01_EXIT_D,x_R01_EXIT_A,1.8550701536618426
1,6,x_R01_EXIT_D,x_R01_EXIT_F,1.8550701536618426
1,7,x_R01_EXIT_D,x_R01_EXIT_B,1.8550701536618426
1,9,x_R01_EXIT_D,x_R02_EXIT_D,0.004524017940558645
1,10,x_R01_EXIT_D,x_R02_EXIT_E,0.003611277478866989
1,11,x_R01_EXIT_D,x_R02_EXIT_G,0.0021826402344800487
1,12,x_R01_EXIT_D,x_R02_EXIT_H,0.0021826402344800487
1,13,x_R01_EXIT_D,x_R02_EXIT_A,0.0021826402344800487
1,14,x_R01_EXIT_D,x_R02_EXIT_F,0.0021826402344800487
1,15,x_R01_EXIT_D,x_R02_EXIT_B,0.0021826402344800487
1,16,x_R01_EXIT_D,x_R03_EXIT_C,0.003611277478866989
1,17,x_R01_EXIT_D,x_R03_EXIT_D,0.0009127404616916564
1,24,x_R01_EXIT_D,x_R04_EXIT_C,0.003611277478866989
1,25,x_R01_EXIT_D,x_R04_EXIT_D,0.0009127404616916564
1,32,x_R01_EXIT_D,x_R05_EXIT_C,0.019742973030069527
1,33,x_R01_EXIT_D,x_R05_EXIT_D,0.00039684367899637233
1,34,x_R01_EXIT_D,x_R05_EXIT_E,0.0016865856357345824
1,35,x_R01_EXIT_D,x_R05_EXIT_G,0.0016865856357345824
1,36,x_R01_EXIT_D,x_R05_EXIT_H,0.0016865856357345824
1,37,x_R01_EXIT_D,x_R05_EXIT_A,0.0016865856357345824
1,38,x_R01_EXIT_D,x_R05_EXIT_F,0.0016865856357345824
1,39,x_R01_EXIT_D,x_R05_EXIT_B,0.0016865856357345824
1,40,x_R01_EXIT_D,x_R06_EXIT_C,0.00038692258702146306
1,41,x_R01_EXIT_D,x_R06_EXIT_D,0.002678694833225514
1,42,x_R01_EXIT_D,x_R06_EXIT_E,0.001994139486956771
1,43,x_R01_EXIT_D,x_R06_EXIT_G,0.0009226615536665658
1,44,x_R01_EXIT_D,x_R06_EXIT_H,0.0009226615536665658
1,45,x_R01_EXIT_D,x_R06_EXIT_A,0.0009226615536665658
1,46,x_R01_EXIT_D,x_R06_EXIT_F,0.0009226615536665658
1,47,x_R01_EXIT_D,x_R06_EXIT_B,0.0009226615536665658
1,49,x_R01_EXIT_D,x_R07_EXIT_D,0.004008121157863361
1,50,x_R01_EXIT_D,x_R07_EXIT_E,0.0030953806961717045
1,51,x_R01_EXIT_D,x_R07_EXIT_G,0.001666743451784764
1,52,x_R01_EXIT_D,x_R07_EXIT_H,0.001666743451784764
1,53,x_R01_EXIT_D,x_R07_EXIT_A,0.001666743451784764
1,54,x_R01_EXIT_D,x_R07_EXIT_F,0.001666743451784764
1,55,x_R01_EXIT_D,x_R07_EXIT_B,0.001666743451784764
1,56,x_R01_EXIT_D,x_R08_EXIT_C,0.003611277478866989
1,57,x_R01_EXIT_D,x_R08_EXIT_D,0.0009127404616916564
1,64,x_R01_EXIT_D,x_R09_EXIT_C,0.003611277478866989
1,65,x_R01_EXIT_D,x_R09_EXIT_D,0.0009127404616916564
1,72,x_R01_EXIT_D,x_R10_EXIT_C,0.003611277478866989
1,73,x_R01_EXIT_D,x_R10_EXIT_D,0.0009127404616916564
1,80,x_R01_EXIT_D,x_R11_EXIT_C,0.0009524248295912936
1,81,x_R01_EXIT_D,x_R11_EXIT_D,0.0035715931109673517
1,82,x_R01_EXIT_D,x_R11_EXIT_E,0.002658852649275695
1,83,x_R01_EXIT_D,x_R11_EXIT_G,0.0012302154048887542
1,84,x_R01_EXIT_D,x_R11_EXIT_H,0.0012302154048887542
1,85,x_R01_EXIT_D,x_R11_EXIT_A,0.0012302154048887542
1,86,x_R01_EXIT_D,x_R11_EXIT_F,0.0012302154048887542
1,87,x_R01_EXIT_D,x_R11_EXIT_B,0.0012302154048887542
1,88,x_R01_EXIT_D,x_R12_EXIT_C,0.0009524248295912936
1,89,x_R01_EXIT_D,x_R12_EXIT_D,0.0035715931109673517
1,90,x_R01_EXIT_D,x_R12_EXIT_E,0.002658852649275695
1,91,x_R01_EXIT_D,x_R12_EXIT_G,0.0012302154048887542
1,92,x_R01_EXIT_D,x_R12_EXIT_H,0.0012302154048887542
1,93,x_R01_EXIT_D,x_R12_EXIT_A,0.0012302154048887542
1,94,x_R01_EXIT_D,x_R12_EXIT_F,0.0012302154048887542
1,95,x_R01_EXIT_D,x_R12_EXIT_B,0.0012302154048887542
1,96,x_R01_EXIT_D,x_R13_EXIT_C,0.0013889528764873032
1,97,x_R01_EXIT_D,x_R13_EXIT_D,0.0031350650640713422
