variable_index,variable,coefficient
0,x_R01_EXIT_C,-0.9120199166307077
1,x_R01_EXIT_D,-0.8844733113939595
2,x_R01_EXIT_E,-0.8734038372548958
3,x_R01_EXIT_G,-0.8777080280033912
4,x_R01_EXIT_H,-0.8715322680010223
5,x_R01_EXIT_A,-0.8629020903593128
6,x_R01_EXIT_F,-0.8685101231182011
7,x_R01_EXIT_B,-0.851244145456499
8,x_R02_EXIT_C,-0.9155106252834907
9,x_R02_EXIT_D,-0.8973008699386849
10,x_R02_EXIT_E,-0.8902207771170876
11,x_R02_EXIT_G,-0.8918087933515634
12,x_R02_EXIT_H,-0.8870335608329859
13,x_R02_EXIT_A,-0.8855757815173593
14,x_R02_EXIT_F,-0.8879159168140678
15,x_R02_EXIT_B,-0.8812175556209731
16,x_R03_EXIT_C,-0.8910236039827476
17,x_R03_EXIT_D,-0.8982139311596217
18,x_R03_EXIT_E,-0.9163134521491507
19,x_R03_EXIT_G,-0.8900111714624391
20,x_R03_EXIT_H,-0.8907013989060943
21,x_R03_EXIT_A,-0.8839204421363535
22,x_R03_EXIT_F,-0.8883283536824255
23,x_R03_EXIT_B,-0.8848853936940816
24,x_R04_EXIT_C,-0.8894885002388048
25,x_R04_EXIT_D,-0.8966788274156788
26,x_R04_EXIT_E,-0.9147783484052078
27,x_R04_EXIT_G,-0.8884760677184963
28,x_R04_EXIT_H,-0.8891662951621514
29,x_R04_EXIT_A,-0.8823853383924106
30,x_R04_EXIT_F,-0.8867932499384825
31,x_R04_EXIT_B,-0.8833502899501388
32,x_R05_EXIT_C,-0.8907747159746653
33,x_R05_EXIT_D,-0.9144104864178285
34,x_R05_EXIT_E,-0.8935305748565846
35,x_R05_EXIT_G,-0.891508395641941
36,x_R05_EXIT_H,-0.8892518780756202
37,x_R05_EXIT_A,-0.8738033746438947
38,x_R05_EXIT_F,-0.8841639413749123
39,x_R05_EXIT_B,-0.8653927135919058
40,x_R06_EXIT_C,-0.9124830189702273
41,x_R06_EXIT_D,-0.9005122807460331
42,x_R06_EXIT_E,-0.8935228556816508
43,x_R06_EXIT_G,-0.8950491406771716
44,x_R06_EXIT_H,-0.8903057383286803
45,x_R06_EXIT_A,-0.8890109680659193
46,x_R06_EXIT_F,-0.89127683296576
47,x_R06_EXIT_B,-0.8848186448742247
48,x_R07_EXIT_C,-0.9124404177956049
49,x_R07_EXIT_D,-0.9002520243228718
50,x_R07_EXIT_E,-0.8931719315012745
51,x_R07_EXIT_G,-0.8947599477357502
52,x_R07_EXIT_H,-0.8899847152171727
53,x_R07_EXIT_A,-0.8885269359015462
54,x_R07_EXIT_F,-0.8908670711982546
55,x_R07_EXIT_B,-0.8841687100051601
56,x_R08_EXIT_C,-0.8939527114958791
57,x_R08_EXIT_D,-0.9011430386727531
58,x_R08_EXIT_E,-0.9133843446360191
59,x_R08_EXIT_G,-0.8929402789755707
60,x_R08_EXIT_H,-0.8936305064192258
61,x_R08_EXIT_A,-0.8868495496494849
62,x_R08_EXIT_F,-0.8912574611955569
63,x_R08_EXIT_B,-0.8878145012072131
64,x_R09_EXIT_C,-0.893149884630219
65,x_R09_EXIT_D,-0.9003402118070932
66,x_R09_EXIT_E,-0.9124404177956049
67,x_R09_EXIT_G,-0.8921374521099107
68,x_R09_EXIT_H,-0.8928276795535658
69,x_R09_EXIT_A,-0.8860467227838249
70,x_R09_EXIT_F,-0.8904546343298969
71,x_R09_EXIT_B,-0.8870116743415531
72,x_R10_EXIT_C,-0.8913147830603009
73,x_R10_EXIT_D,-0.8985051102371749
74,x_R10_EXIT_E,-0.9101807535782486
75,x_R10_EXIT_G,-0.8903023505399924
76,x_R10_EXIT_H,-0.8909925779836475
77,x_R10_EXIT_A,-0.8842116212139067
78,x_R10_EXIT_F,-0.8886195327599786
79,x_R10_EXIT_B,-0.8851765727716349
80,x_R11_EXIT_C,-0.9081106924519682
81,x_R11_EXIT_D,-0.900241000887344
82,x_R11_EXIT_E,-0.8931609080657468
83,x_R11_EXIT_G,-0.8947489243002225
84,x_R11_EXIT_H,-0.8899736917816451
85,x_R11_EXIT_A,-0.8885159124660185
86,x_R11_EXIT_F,-0.8908560477627269
87,x_R11_EXIT_B,-0.8841576865696323
88,x_R12_EXIT_C,-0.9103405933933998
89,x_R12_EXIT_D,-0.9024709018287758
90,x_R12_EXIT_E,-0.8953908090071785
91,x_R12_EXIT_G,-0.8969788252416542
92,x_R12_EXIT_H,-0.8922035927230767
93,x_R12_EXIT_A,-0.8907458134074502
94,x_R12_EXIT_F,-0.8930859487041586
95,x_R12_EXIT_B,-0.8863875875110641
96,x_R13_EXIT_C,-0.9081217158874959
97,x_R13_EXIT_D,-0.9046897793346798
98,x_R13_EXIT_E,-0.8976096865130824
99,x_R13_EXIT_G,-0.8991977027475582
100,x_R13_EXIT_H,-0.8944224702289807
101,x_R13_EXIT_A,-0.8929646909133542
102,x_R13_EXIT_F,-0.8953048262100626
103,x_R13_EXIT_B,-0.888606465016968
104,x_R14_EXIT_C,-0.9059028383815919
105,x_R14_EXIT_D,-0.9069086568405837
106,x_R14_EXIT_E,-0.8998285640189864
107,x_R14_EXIT_G,-0.9014165802534622
108,x_R14_EXIT_H,-0.8966413477348847
109,x_R14_EXIT_A,-0.8951835684192581
110,x_R14_EXIT_F,-0.8975237037159666
111,x_R14_EXIT_B,-0.8908253425228719
112,x_R15_EXIT_C,-0.899740376534765
113,x_R15_EXIT_D,-0.9069307037116391
114,x_R15_EXIT_E,-0.9059910258658133
115,x_R15_EXIT_G,-0.8987279440144565
116,x_R15_EXIT_H,-0.8994181714581116
117,x_R15_EXIT_A,-0.8926372146883709
118,x_R15_EXIT_F,-0.8970451262344428
119,x_R15_EXIT_B,-0.893602166246099
120,x_R16_EXIT_C,-0.8975435458999164
121,x_R16_EXIT_D,-0.9047338730767904
122,x_R16_EXIT_E,-0.9081878565006619
123,x_R16_EXIT_G,-0.8965311133796079
124,x_R16_EXIT_H,-0.8972213408232631
125,x_R16_EXIT_A,-0.8904403840535222
126,x_R16_EXIT_F,-0.8948482955995942
127,x_R16_EXIT_B,-0.8914053356112503
128,x_R17_EXIT_C,-0.8953467152650677
129,x_R17_EXIT_D,-0.9025370424419418
130,x_R17_EXIT_E,-0.9103846871355106
131,x_R17_EXIT_G,-0.8943342827447593
132,x_R17_EXIT_H,-0.8950245101884144
133,x_R17_EXIT_A,-0.8882435534186736
134,x_R17_EXIT_F,-0.8926514649647456
135,x_R17_EXIT_B,-0.8892085049764017
136,x_R18_EXIT_C,-0.893149884630219
137,x_R18_EXIT_D,-0.9003402118070932
138,x_R18_EXIT_E,-0.9081878565006619
139,x_R18_EXIT_G,-0.8921374521099107
140,x_R18_EXIT_H,-0.8928276795535658
141,x_R18_EXIT_A,-0.8860467227838249
142,x_R18_EXIT_F,-0.8904546343298969
143,x_R18_EXIT_B,-0.8870116743415531
144,x_R19_EXIT_C,-0.8916931280365523
145,x_R19_EXIT_D,-0.8987445599257777
146,x_R19_EXIT_E,-0.9064822458499578
147,x_R19_EXIT_G,-0.8906488653461577
148,x_R19_EXIT_H,-0.8911953747491208
149,x_R19_EXIT_A,-0.8847698548786754
150,x_R19_EXIT_F,-0.8890692544812718
151,x_R19_EXIT_B,-0.8857082812946652
152,x_R22_EXIT_C,-0.894823846372483
153,x_R22_EXIT_D,-0.9024510923884069
154,x_R22_EXIT_E,-0.8945585723684198
155,x_R22_EXIT_G,-0.9026371580362934
156,x_R22_EXIT_H,-0.8998983651656369
157,x_R22_EXIT_A,-0.9015261911311805
158,x_R22_EXIT_F,-0.9072362459989594
159,x_R22_EXIT_B,-0.894153997581905
160,x_R23_EXIT_C,-0.88838864484306
161,x_R23_EXIT_D,-0.8960158908589839
162,x_R23_EXIT_E,-0.8924518933354644
163,x_R23_EXIT_G,-0.8962019565068704
164,x_R23_EXIT_H,-0.9040202885926744
165,x_R23_EXIT_A,-0.8950909896017575
166,x_R23_EXIT_F,-0.9086831622586808
167,x_R23_EXIT_B,-0.900589199111328
168,x_R20_EXIT_C,-0.8928762860145957
169,x_R20_EXIT_D,-0.8972951633930625
170,x_R20_EXIT_E,-0.8903305410586176
171,x_R20_EXIT_G,-0.9133861014960564
172,x_R20_EXIT_H,-0.8954195506975801
173,x_R20_EXIT_A,-0.9133296752854491
174,x_R20_EXIT_F,-0.9038298491552494
175,x_R20_EXIT_B,-0.8930191309878296
176,x_R21_EXIT_C,-0.8931168572241197
177,x_R21_EXIT_D,-0.8983257015510887
178,x_R21_EXIT_E,-0.8904331815311015
179,x_R21_EXIT_G,-0.9094048866834011
180,x_R21_EXIT_H,-0.8957729743283186
181,x_R21_EXIT_A,-0.9071518817007183
182,x_R21_EXIT_F,-0.9051675277856656
183,x_R21_EXIT_B,-0.8911154372978043
184,x_R24_EXIT_C,-0.8882559626676715
185,x_R24_EXIT_D,-0.8958832086835954
186,x_R24_EXIT_E,-0.8928687395780331
187,x_R24_EXIT_G,-0.8960692743314819
188,x_R24_EXIT_H,-0.9091085866802379
189,x_R24_EXIT_A,-0.8925347046219927
