source,target,edge_type,distance,capacity,notes
C0,C1,navigation,1.0,3,
C1,C2,navigation,1.0,3,
C2,C3,navigation,1.0,3,
C3,C4,navigation,1.0,4,
C4,C5,navigation,1.0,3,
C5,C6,navigation,1.0,5,
C6,C7,navigation,1.0,5,
C7,C8,navigation,1.0,4,
C8,C9,navigation,1.0,4,
C1,B1_0,navigation,1.0,4,
START_R01,DOOR_01,room_start,1.0,2,
DOOR_01,B1_0,door_to_hallway,1.0,2,
B1_0,B1_1,navigation,1.0,4,
START_R02,DOOR_02,room_start,1.0,2,
DOOR_02,B1_1,door_to_hallway,1.0,3,
C1,B2_0,navigation,1.0,4,
START_R03,DOOR_03,room_start,1.0,3,
DOOR_03,B2_0,door_to_hallway,1.0,3,
B2_0,B2_1,navigation,1.0,4,
START_R04,DOOR_04,room_start,1.0,3,
DOOR_04,B2_1,door_to_hallway,1.0,3,
C2,B3_0,navigation,1.0,2,
START_R05,DOOR_05,room_start,1.0,2,
DOOR_05,B3_0,door_to_hallway,1.0,3,
B3_0,B3_1,navigation,1.0,3,
START_R06,DOOR_06,room_start,1.0,3,
DOOR_06,B3_1,door_to_hallway,1.0,3,
C2,B4_0,navigation,1.0,3,
START_R07,DOOR_07,room_start,1.0,2,
DOOR_07,B4_0,door_to_hallway,1.0,2,
B4_0,B4_1,navigation,1.0,2,
START_R08,DOOR_08,room_start,1.0,2,
DOOR_08,B4_1,door_to_hallway,1.0,2,
C3,B5_0,navigation,1.0,2,
START_R09,DOOR_09,room_start,1.0,3,
DOOR_09,B5_0,door_to_hallway,1.0,2,
B5_0,B5_1,navigation,1.0,2,
START_R10,DOOR_10,room_start,1.0,3,
DOOR_10,B5_1,door_to_hallway,1.0,2,
C3,B6_0,navigation,1.0,3,
START_R11,DOOR_11,room_start,1.0,3,
DOOR_11,B6_0,door_to_hallway,1.0,3,
B6_0,B6_1,navigation,1.0,4,
START_R12,DOOR_12,room_start,1.0,3,
DOOR_12,B6_1,door_to_hallway,1.0,3,
C4,B7_0,navigation,1.0,3,
START_R13,DOOR_13,room_start,1.0,2,
DOOR_13,B7_0,door_to_hallway,1.0,3,
B7_0,B7_1,navigation,1.0,4,
START_R14,DOOR_14,room_start,1.0,3,
DOOR_14,B7_1,door_to_hallway,1.0,2,
C4,B8_0,navigation,1.0,3,
START_R15,DOOR_15,room_start,1.0,3,
DOOR_15,B8_0,door_to_hallway,1.0,3,
B8_0,B8_1,navigation,1.0,4,
START_R16,DOOR_16,room_start,1.0,3,
DOOR_16,B8_1,door_to_hallway,1.0,3,
C5,B9_0,navigation,1.0,3,
START_R17,DOOR_17,room_start,1.0,3,
DOOR_17,B9_0,door_to_hallway,1.0,3,
B9_0,B9_1,navigation,1.0,3,
START_R18,DOOR_18,room_start,1.0,2,
DOOR_18,B9_1,door_to_hallway,1.0,3,
C5,B10_0,navigation,1.0,4,
START_R19,DOOR_19,room_start,1.0,2,
DOOR_19,B10_0,door_to_hallway,1.0,3,
B10_0,B10_1,navigation,1.0,3,
START_R20,DOOR_20,room_start,1.0,3,
DOOR_20,B10_1,door_to_hallway,1.0,3,
C6,B11_0,navigation,1.0,4,
START_R21,DOOR_21,room_start,1.0,3,
DOOR_21,B11_0,door_to_hallway,1.0,3,
B11_0,B11_1,navigation,1.0,4,
START_R22,DOOR_22,room_start,1.0,2,
DOOR_22,B11_1,door_to_hallway,1.0,3,
C6,B12_0,navigation,1.0,4,
START_R23,DOOR_23,room_start,1.0,3,
DOOR_23,B12_0,door_to_hallway,1.0,2,
B12_0,B12_1,navigation,1.0,3,
START_R24,DOOR_24,room_start,1.0,2,
DOOR_24,B12_1,door_to_hallway,1.0,2,
C7,B13_0,navigation,1.0,4,
START_R25,DOOR_25,room_start,1.0,2,
DOOR_25,B13_0,door_to_hallway,1.0,2,
B13_0,B13_1,navigation,1.0,4,
START_R26,DOOR_26,room_start,1.0,2,
DOOR_26,B13_1,door_to_hallway,1.0,3,
C7,B14_0,navigation,1.0,4,
START_R27,DOOR_27,room_start,1.0,2,
DOOR_27,B14_0,door_to_hallway,1.0,2,
B14_0,B14_1,navigation,1.0,4,
START_R28,DOOR_28,room_start,1.0,2,
DOOR_28,B14_1,door_to_hallway,1.0,3,
C8,B15_0,navigation,1.0,2,
START_R29,DOOR_29,room_start,1.0,2,
DOOR_29,B15_0,door_to_hallway,1.0,2,
B15_0,B15_1,navigation,1.0,3,
START_R30,DOOR_30,room_start,1.0,2,
DOOR_30,B15_1,door_to_hallway,1.0,2,
C8,B16_0,navigation,1.0,3,
B16_0,B16_1,navigation,1.0,3,
C0,EXIT_A,exit,1.0,4,
C9,EXIT_B,exit,1.0,4,
C1,EXIT_C,exit,1.0,6,
C2,EXIT_D,exit,1.0,4,
C3,EXIT_E,exit,1.0,4,
C4,EXIT_F,exit,1.0,4,
