room_id,room_name,capacity,occupancy
R01,Room 01,4,4
R02,Room 02,4,4
R03,Room 03,8,3
R04,Room 04,4,2
R05,Room 05,11,10
R06,Room 06,12,7
R07,Room 07,11,7
R08,Room 08,24,24
R09,Room 09,18,14
R10,Room 10,4,3
R11,Room 11,6,6
R12,Room 12,4,2
R13,Room 13,26,21
R14,Room 14,30,25
R15,Room 15,7,5
R16,Room 16,15,12
R17,Room 17,4,2
R18,Room 18,20,16
R19,Room 19,26,21
R20,Room 20,5,3
R21,Room 21,18,14
R22,Room 22,25,24
R23,Room 23,18,17
R24,Room 24,9,4
R25,Room 25,25,23
R26,Room 26,5,5
R27,Room 27,17,16
R28,Room 28,22,18
R29,Room 29,17,14
R30,Room 30,20,18
