source,target,edge_type,distance,capacity_units,effective_capacity_people,occupants_using_edge,rooms_using_edge,utilization_ratio,utilization_percent,is_congested
C3,DOOR_01,room_to_door,1.0,1.0,10.0,18,1,1.8,180.0,True
DOOR_01,E3,room_to_door,1.0,1.0,10.0,18,1,1.8,180.0,True
P25,P26,navigation,1.0,2.0,20.0,32,6,1.6,160.0,True
EXIT_C,E2,exit,1.0,3.0,30.0,41,7,1.3666666666666667,136.66666666666666,True
E2,E3,navigation,1.0,3.0,30.0,41,7,1.3666666666666667,136.66666666666666,True
P21,P22,navigation,1.0,2.0,20.0,27,4,1.35,135.0,True
P22,P23,navigation,1.0,2.0,20.0,27,4,1.35,135.0,True
P23,P24,navigation,1.0,2.0,20.0,27,4,1.35,135.0,True
P24,P25,navigation,1.0,2.0,20.0,27,4,1.35,135.0,True
Y3,DOOR_04,room_to_door,1.0,1.0,10.0,12,3,1.2,120.0,True
DOOR_04,AA3,room_to_door,1.0,1.0,10.0,12,3,1.2,120.0,True
EXIT_E,Y2,exit,1.0,3.0,30.0,35,9,1.1666666666666667,116.66666666666667,True
Y2,Y3,navigation,1.0,3.0,30.0,35,9,1.1666666666666667,116.66666666666667,True
P26,EXIT_F,exit,1.0,3.0,30.0,32,6,1.0666666666666667,106.66666666666667,True
O2,P2,navigation,1.0,2.0,20.0,20,1,1.0,100.0,False
H16,DOOR_29,door_to_hallway,1.0,1.0,10.0,10,1,1.0,100.0,False
X16,DOOR_30,room_to_door,1.0,1.0,10.0,10,1,1.0,100.0,False
AD16,DOOR_28,room_to_door,1.0,1.0,10.0,10,1,1.0,100.0,False
DOOR_29,H18,room_to_door,1.0,1.0,10.0,10,1,1.0,100.0,False
DOOR_30,X18,room_to_door,1.0,1.0,10.0,10,1,1.0,100.0,False
DOOR_28,AD18,room_to_door,1.0,1.0,10.0,10,1,1.0,100.0,False
O18.5,DOOR_33,room_to_door,2.0,1.0,10.0,10,1,1.0,100.0,False
P18.5,DOOR_33,door_to_hallway,1.0,1.0,10.0,10,1,1.0,100.0,False
P18.5,DOOR_35,door_to_hallway,0.5,1.0,10.0,10,1,1.0,100.0,False
P18.5,P19,navigation,0.75,2.0,20.0,20,2,1.0,100.0,False
DOOR_35,Q18.5,room_to_door,0.5,1.0,10.0,10,1,1.0,100.0,False
P19,P20,navigation,1.0,2.0,20.0,20,2,1.0,100.0,False
P20,P21,navigation,1.0,2.0,20.0,20,2,1.0,100.0,False
EXIT_D,P2,exit,1.0,3.0,30.0,28,3,0.9333333333333333,93.33333333333333,False
E3,DOOR_03,room_to_door,1.0,1.0,10.0,8,2,0.8,80.0,False
DOOR_03,G3,room_to_door,1.0,1.0,10.0,8,2,0.8,80.0,False
AB4,DOOR_06,room_to_door,1.0,1.0,10.0,8,2,0.8,80.0,False
DOOR_06,AB6,room_to_door,1.0,1.0,10.0,8,2,0.8,80.0,False
E4,E5,navigation,1.0,2.0,20.0,15,4,0.75,75.0,False
E5,E6,navigation,1.0,2.0,20.0,15,4,0.75,75.0,False
O2,O3,navigation,1.0,3.0,30.0,20,1,0.6666666666666666,66.66666666666666,False
