i,j,variable_i,variable_j,coefficient
0,1,x_R01_EXIT_A,x_R01_EXIT_B,3.92628310551318
0,2,x_R01_EXIT_A,x_R02_EXIT_A,0.003660925534600952
0,4,x_R01_EXIT_A,x_R03_EXIT_A,0.011440392295627974
0,6,x_R01_EXIT_A,x_R04_EXIT_A,0.03432117688688392
0,8,x_R01_EXIT_A,x_R05_EXIT_A,0.011440392295627974
0,10,x_R01_EXIT_A,x_R06_EXIT_A,0.03432117688688392
0,12,x_R01_EXIT_A,x_R07_EXIT_A,0.013728470754753568
0,14,x_R01_EXIT_A,x_R08_EXIT_A,0.011440392295627974
1,3,x_R01_EXIT_B,x_R02_EXIT_B,0.021050321823955477
1,5,x_R01_EXIT_B,x_R03_EXIT_B,0.011440392295627974
1,6,x_R01_EXIT_B,x_R04_EXIT_A,0.011440392295627974
1,7,x_R01_EXIT_B,x_R04_EXIT_B,0.33749157272102503
1,9,x_R01_EXIT_B,x_R05_EXIT_B,0.011440392295627974
1,10,x_R01_EXIT_B,x_R06_EXIT_A,0.20592706132130353
1,11,x_R01_EXIT_B,x_R06_EXIT_B,0.03432117688688392
1,12,x_R01_EXIT_B,x_R07_EXIT_A,0.02516886305038154
1,13,x_R01_EXIT_B,x_R07_EXIT_B,0.00457615691825119
1,15,x_R01_EXIT_B,x_R08_EXIT_B,0.011440392295627974
2,3,x_R02_EXIT_A,x_R02_EXIT_B,3.9264478471622373
2,4,x_R02_EXIT_A,x_R03_EXIT_A,0.001830462767300476
2,6,x_R02_EXIT_A,x_R04_EXIT_A,0.003660925534600952
2,8,x_R02_EXIT_A,x_R05_EXIT_A,0.001830462767300476
2,10,x_R02_EXIT_A,x_R06_EXIT_A,0.003660925534600952
2,12,x_R02_EXIT_A,x_R07_EXIT_A,0.0014643702138403805
2,14,x_R02_EXIT_A,x_R08_EXIT_A,0.001830462767300476
3,5,x_R02_EXIT_B,x_R03_EXIT_B,0.001830462767300476
3,6,x_R02_EXIT_B,x_R04_EXIT_A,0.010067545220152617
3,7,x_R02_EXIT_B,x_R04_EXIT_B,0.021050321823955477
3,9,x_R02_EXIT_B,x_R05_EXIT_B,0.001830462767300476
3,10,x_R02_EXIT_B,x_R06_EXIT_A,0.017389396289354524
3,11,x_R02_EXIT_B,x_R06_EXIT_B,0.005491388301901428
3,12,x_R02_EXIT_B,x_R07_EXIT_A,0.010982776603802853
3,13,x_R02_EXIT_B,x_R07_EXIT_B,0.0007321851069201903
3,15,x_R02_EXIT_B,x_R08_EXIT_B,0.001830462767300476
4,5,x_R03_EXIT_A,x_R03_EXIT_B,3.92628310551318
4,6,x_R03_EXIT_A,x_R04_EXIT_A,0.011440392295627974
4,8,x_R03_EXIT_A,x_R05_EXIT_A,0.022880784591255948
4,10,x_R03_EXIT_A,x_R06_EXIT_A,0.011440392295627974
4,12,x_R03_EXIT_A,x_R07_EXIT_A,0.00457615691825119
4,14,x_R03_EXIT_A,x_R08_EXIT_A,0.022880784591255948
5,7,x_R03_EXIT_B,x_R04_EXIT_B,0.011440392295627974
5,8,x_R03_EXIT_B,x_R05_EXIT_A,0.20592706132130353
5,9,x_R03_EXIT_B,x_R05_EXIT_B,0.13156451139972172
5,11,x_R03_EXIT_B,x_R06_EXIT_B,0.011440392295627974
5,12,x_R03_EXIT_B,x_R07_EXIT_A,0.00915231383650238
5,13,x_R03_EXIT_B,x_R07_EXIT_B,0.00915231383650238
5,14,x_R03_EXIT_B,x_R08_EXIT_A,0.10296353066065177
