variable,x_R01_EXIT_A,x_R01_EXIT_B,x_R02_EXIT_A,x_R02_EXIT_B,x_R03_EXIT_A,x_R03_EXIT_B,x_R04_EXIT_A,x_R04_EXIT_B,x_R05_EXIT_A,x_R05_EXIT_B,x_R06_EXIT_A,x_R06_EXIT_B,x_R07_EXIT_A,x_R07_EXIT_B,x_R08_EXIT_A,x_R08_EXIT_B
x_R01_EXIT_A,-1.7704443731086652,1.96314155275659,0.001830462767300476,0.0,0.005720196147813987,0.0,0.01716058844344196,0.0,0.005720196147813987,0.0,0.01716058844344196,0.0,0.006864235377376784,0.0,0.005720196147813987,0.0
x_R01_EXIT_B,1.96314155275659,-1.5283395133890791,0.0,0.010525160911977739,0.0,0.005720196147813987,0.005720196147813987,0.16874578636051252,0.0,0.005720196147813987,0.10296353066065177,0.01716058844344196,0.01258443152519077,0.002288078459125595,0.0,0.005720196147813987
x_R02_EXIT_A,0.001830462767300476,0.0,-1.9317318399798786,1.9632239235811186,0.000915231383650238,0.0,0.001830462767300476,0.0,0.000915231383650238,0.0,0.001830462767300476,0.0,0.0007321851069201903,0.0,0.000915231383650238,0.0
x_R02_EXIT_B,0.0,0.010525160911977739,1.9632239235811186,-1.8208414284654737,0.0,0.000915231383650238,0.005033772610076309,0.010525160911977739,0.0,0.000915231383650238,0.008694698144677262,0.002745694150950714,0.005491388301901426,0.00036609255346009513,0.0,0.000915231383650238
x_R03_EXIT_A,0.005720196147813987,0.0,0.000915231383650238,0.0,-1.7704443731086652,1.96314155275659,0.005720196147813987,0.0,0.011440392295627974,0.0,0.005720196147813987,0.0,0.002288078459125595,0.0,0.011440392295627974,0.0
x_R03_EXIT_B,0.0,0.005720196147813987,0.0,0.000915231383650238,1.96314155275659,-1.4925882874652416,0.0,0.005720196147813987,0.10296353066065177,0.06578225569986086,0.0,0.005720196147813987,0.00457615691825119,0.00457615691825119,0.051481765330325883,0.011440392295627974
x_R04_EXIT_A,0.01716058844344196,0.005720196147813987,0.001830462767300476,0.005033772610076309,0.005720196147813987,0.0,-1.6985140633988394,1.96314155275659,0.005720196147813987,0.0,0.05434186340423288,0.0,0.021736745361693146,0.0,0.005720196147813987,0.0
x_R04_EXIT_B,0.0,0.16874578636051252,0.0,0.010525160911977739,0.0,0.005720196147813987,1.96314155275659,-1.6832126672422076,0.0,0.005720196147813987,0.10868372680846575,0.01716058844344196,0.01258443152519077,0.002288078459125595,0.0,0.005720196147813987
x_R05_EXIT_A,0.005720196147813987,0.0,0.000915231383650238,0.0,0.011440392295627974,0.10296353066065177,0.005720196147813987,0.0,-1.6952248220750759,1.9663591630897355,0.005720196147813987,0.0,0.002288078459125595,0.0,0.05434186340423288,0.0
x_R05_EXIT_B,0.0,0.005720196147813987,0.0,0.000915231383650238,0.0,0.06578225569986086,0.0,0.005720196147813987,1.9663591630897355,-1.6832126672422076,0.0,0.005720196147813987,0.00457615691825119,0.00457615691825119,0.10296353066065177,0.011440392295627974
x_R06_EXIT_A,0.01716058844344196,0.10296353066065177,0.001830462767300476,0.008694698144677262,0.005720196147813987,0.0,0.05434186340423288,0.10868372680846575,0.005720196147813987,0.0,-1.5269094643521257,1.96314155275659,0.030889059198195522,0.0,0.005720196147813987,0.0
x_R06_EXIT_B,0.0,0.01716058844344196,0.0,0.002745694150950714,0.0,0.005720196147813987,0.0,0.01716058844344196,0.0,0.005720196147813987,1.96314155275659,-1.7632941279238976,0.0,0.002288078459125595,0.0,0.005720196147813987
x_R07_EXIT_A,0.006864235377376784,0.01258443152519077,0.0007321851069201903,0.005491388301901426,0.002288078459125595,0.00457615691825119,0.021736745361693146,0.01258443152519077,0.002288078459125595,0.00457615691825119,0.030889059198195522,0.0,-1.7987192704221884,1.9636563704098933,0.002288078459125595,0.0
x_R07_EXIT_B,0.0,0.002288078459125595,0.0,0.00036609255346009513,0.0,0.00457615691825119,0.0,0.002288078459125595,0.0,0.00457615691825119,0.0,0.002288078459125595,1.9636563704098933,-1.9414912530309671,0.0,0.00457615691825119
x_R08_EXIT_A,0.005720196147813987,0.0,0.000915231383650238,0.0,0.011440392295627974,0.051481765330325883,0.005720196147813987,0.0,0.05434186340423288,0.10296353066065177,0.005720196147813987,0.0,0.002288078459125595,0.0,-1.4911582384282882,1.96314155275659
x_R08_EXIT_B,0.0,0.005720196147813987,0.0,0.000915231383650238,0.0,0.011440392295627974,0.0,0.005720196147813987,0.0,0.011440392295627974,0.0,0.005720196147813987,0.0,0.00457615691825119,1.96314155275659,-1.7704443731086652
