variable_index,variable,coefficient
0,x_R01_EXIT_A,-1.7704443731086652
1,x_R01_EXIT_B,-1.5283395133890791
2,x_R02_EXIT_A,-1.9317318399798786
3,x_R02_EXIT_B,-1.8208414284654737
4,x_R03_EXIT_A,-1.7704443731086652
5,x_R03_EXIT_B,-1.4925882874652416
6,x_R04_EXIT_A,-1.6985140633988394
7,x_R04_EXIT_B,-1.6832126672422076
8,x_R05_EXIT_A,-1.6952248220750759
9,x_R05_EXIT_B,-1.6832126672422076
10,x_R06_EXIT_A,-1.5269094643521257
11,x_R06_EXIT_B,-1.7632941279238976
12,x_R07_EXIT_A,-1.7987192704221884
13,x_R07_EXIT_B,-1.9414912530309671
14,x_R08_EXIT_A,-1.4911582384282882
15,x_R08_EXIT_B,-1.7704443731086652
