room_id,room_name,capacity,occupancy
R01,Room 01,14,13
R02,Room 02,14,9
R03,Room 03,2,2
R04,Room 04,5,5
R05,Room 05,2,2
R06,Room 06,25,25
R07,Room 07,15,13
R08,Room 08,7,6
R09,Room 09,26,25
R10,Room 10,23,18
R11,Room 11,5,2
R12,Room 12,20,20
R13,Room 13,10,9
R14,Room 14,3,3
R15,Room 15,17,13
R16,Room 16,27,22
R17,Room 17,25,25
R18,Room 18,13,11
R19,Room 19,17,17
R20,Room 20,14,11
R21,Room 21,23,19
R22,Room 22,25,25
R23,Room 23,13,10
R24,Room 24,26,21
R25,Room 25,9,6
R26,Room 26,9,9
R27,Room 27,28,23
R28,Room 28,12,12
R29,Room 29,5,2
R30,Room 30,10,6
