room_id,room_name,start_node,primary_exit,distance,hops,path,astar_matches_distance,astar_same_exact_path,capacity,occupancy
R01,Room 01,START_R01,EXIT_A,5.0,5,START_R01 -> DOOR_01 -> ELBOW_R01 -> C0 -> EELBOW_EXIT_A -> EXIT_A,True,True,12,7
R02,Room 02,START_R02,EXIT_A,6.0,6,START_R02 -> DOOR_02 -> ELBOW_R02 -> C1 -> C0 -> EELBOW_EXIT_A -> EXIT_A,True,True,27,25
R03,Room 03,START_R03,EXIT_A,7.0,7,START_R03 -> DOOR_03 -> ELBOW_R03 -> C2 -> C1 -> C0 -> EELBOW_EXIT_A -> EXIT_A,True,True,10,5
R04,Room 04,START_R04,EXIT_A,8.0,8,START_R04 -> DOOR_04 -> ELBOW_R04 -> C3 -> C2 -> C1 -> C0 -> EELBOW_EXIT_A -> EXIT_A,True,True,17,12
R05,Room 05,START_R05,EXIT_B,8.0,8,START_R05 -> DOOR_05 -> ELBOW_R05 -> C4 -> C5 -> C6 -> C7 -> EELBOW_EXIT_B -> EXIT_B,True,True,28,24
R06,Room 06,START_R06,EXIT_B,7.0,7,START_R06 -> DOOR_06 -> ELBOW_R06 -> C5 -> C6 -> C7 -> EELBOW_EXIT_B -> EXIT_B,True,True,19,15
R07,Room 07,START_R07,EXIT_B,6.0,6,START_R07 -> DOOR_07 -> ELBOW_R07 -> C6 -> C7 -> EELBOW_EXIT_B -> EXIT_B,True,True,24,23
R08,Room 08,START_R08,EXIT_B,5.0,5,START_R08 -> DOOR_08 -> ELBOW_R08 -> C7 -> EELBOW_EXIT_B -> EXIT_B,True,True,13,11
R09,Room 09,START_R09,EXIT_A,5.0,5,START_R09 -> DOOR_09 -> ELBOW_R09 -> C0 -> EELBOW_EXIT_A -> EXIT_A,True,True,23,20
R10,Room 10,START_R10,EXIT_A,6.0,6,START_R10 -> DOOR_10 -> ELBOW_R10 -> C1 -> C0 -> EELBOW_EXIT_A -> EXIT_A,True,True,21,18
