room_id,room_name,primary_exit,sequence_index,node_id,node_type,grid_position
R01,Room 01,EXIT_A,0,START_R01,room_start,B1
R01,Room 01,EXIT_A,1,DOOR_01,door,B2
R01,Room 01,EXIT_A,2,ELBOW_R01,navigation,B3
R01,Room 01,EXIT_A,3,C0,navigation,B_A3
R01,Room 01,EXIT_A,4,EELBOW_EXIT_A,navigation,C3
R01,Room 01,EXIT_A,5,EXIT_A,exit,C4
R02,Room 02,EXIT_A,0,START_R02,room_start,C1
R02,Room 02,EXIT_A,1,DOOR_02,door,C2
R02,Room 02,EXIT_A,2,ELBOW_R02,navigation,C3
R02,Room 02,EXIT_A,3,C1,navigation,C_A3
R02,Room 02,EXIT_A,4,C0,navigation,B_A3
R02,Room 02,EXIT_A,5,EELBOW_EXIT_A,navigation,C3
R02,Room 02,EXIT_A,6,EXIT_A,exit,C4
R03,Room 03,EXIT_A,0,START_R03,room_start,D1
R03,Room 03,EXIT_A,1,DOOR_03,door,D2
R03,Room 03,EXIT_A,2,ELBOW_R03,navigation,D3
R03,Room 03,EXIT_A,3,C2,navigation,D_A3
R03,Room 03,EXIT_A,4,C1,navigation,C_A3
R03,Room 03,EXIT_A,5,C0,navigation,B_A3
R03,Room 03,EXIT_A,6,EELBOW_EXIT_A,navigation,C3
R03,Room 03,EXIT_A,7,EXIT_A,exit,C4
R04,Room 04,EXIT_A,0,START_R04,room_start,D2
R04,Room 04,EXIT_A,1,DOOR_04,door,D3
R04,Room 04,EXIT_A,2,ELBOW_R04,navigation,D4
R04,Room 04,EXIT_A,3,C3,navigation,D_A4
R04,Room 04,EXIT_A,4,C2,navigation,D_A3
R04,Room 04,EXIT_A,5,C1,navigation,C_A3
R04,Room 04,EXIT_A,6,C0,navigation,B_A3
R04,Room 04,EXIT_A,7,EELBOW_EXIT_A,navigation,C3
R04,Room 04,EXIT_A,8,EXIT_A,exit,C4
R05,Room 05,EXIT_B,0,START_R05,room_start,D3
R05,Room 05,EXIT_B,1,DOOR_05,door,D4
R05,Room 05,EXIT_B,2,ELBOW_R05,navigation,D5
R05,Room 05,EXIT_B,3,C4,navigation,D_A5
R05,Room 05,EXIT_B,4,C5,navigation,C_A5
R05,Room 05,EXIT_B,5,C6,navigation,B_A5
R05,Room 05,EXIT_B,6,C7,navigation,B_A4
R05,Room 05,EXIT_B,7,EELBOW_EXIT_B,navigation,C4
R05,Room 05,EXIT_B,8,EXIT_B,exit,C5
R06,Room 06,EXIT_B,0,START_R06,room_start,C3
R06,Room 06,EXIT_B,1,DOOR_06,door,C4
R06,Room 06,EXIT_B,2,ELBOW_R06,navigation,C5
R06,Room 06,EXIT_B,3,C5,navigation,C_A5
R06,Room 06,EXIT_B,4,C6,navigation,B_A5
R06,Room 06,EXIT_B,5,C7,navigation,B_A4
R06,Room 06,EXIT_B,6,EELBOW_EXIT_B,navigation,C4
R06,Room 06,EXIT_B,7,EXIT_B,exit,C5
R07,Room 07,EXIT_B,0,START_R07,room_start,B3
R07,Room 07,EXIT_B,1,DOOR_07,door,B4
R07,Room 07,EXIT_B,2,ELBOW_R07,navigation,B5
R07,Room 07,EXIT_B,3,C6,navigation,B_A5
R07,Room 07,EXIT_B,4,C7,navigation,B_A4
R07,Room 07,EXIT_B,5,EELBOW_EXIT_B,navigation,C4
R07,Room 07,EXIT_B,6,EXIT_B,exit,C5
R08,Room 08,EXIT_B,0,START_R08,room_start,B2
R08,Room 08,EXIT_B,1,DOOR_08,door,B3
R08,Room 08,EXIT_B,2,ELBOW_R08,navigation,B4
R08,Room 08,EXIT_B,3,C7,navigation,B_A4
R08,Room 08,EXIT_B,4,EELBOW_EXIT_B,navigation,C4
R08,Room 08,EXIT_B,5,EXIT_B,exit,C5
R09,Room 09,EXIT_A,0,START_R09,room_start,B1
R09,Room 09,EXIT_A,1,DOOR_09,door,B2
R09,Room 09,EXIT_A,2,ELBOW_R09,navigation,B3
R09,Room 09,EXIT_A,3,C0,navigation,B_A3
R09,Room 09,EXIT_A,4,EELBOW_EXIT_A,navigation,C3
R09,Room 09,EXIT_A,5,EXIT_A,exit,C4
R10,Room 10,EXIT_A,0,START_R10,room_start,C1
R10,Room 10,EXIT_A,1,DOOR_10,door,C2
R10,Room 10,EXIT_A,2,ELBOW_R10,navigation,C3
R10,Room 10,EXIT_A,3,C1,navigation,C_A3
R10,Room 10,EXIT_A,4,C0,navigation,B_A3
R10,Room 10,EXIT_A,5,EELBOW_EXIT_A,navigation,C3
R10,Room 10,EXIT_A,6,EXIT_A,exit,C4
