room_id,room_name,start_node,occupancy,selected_exit,distance,congestion_penalty,combined_cost,hops,path
R01,Room 01,START_R01,18,EXIT_A,5.0,10.998000000000001,15.998000000000001,5,START_R01 -> DOOR_01 -> ELBOW_R01 -> C0 -> EELBOW_EXIT_A -> EXIT_A
R02,Room 02,START_R02,10,EXIT_D,7.0,6.695333333333333,13.695333333333334,7,START_R02 -> DOOR_02 -> ELBOW_R02 -> C1 -> C0 -> C15 -> EELBOW_EXIT_D -> EXIT_D
R03,Room 03,START_R03,8,EXIT_A,7.0,9.08888888888889,16.088888888888892,7,START_R03 -> DOOR_03 -> ELBOW_R03 -> C2 -> C1 -> C0 -> EELBOW_EXIT_A -> EXIT_A
R04,Room 04,START_R04,15,EXIT_B,7.0,15.284180555555555,22.284180555555555,7,START_R04 -> DOOR_04 -> ELBOW_R04 -> C3 -> C4 -> C5 -> EELBOW_EXIT_B -> EXIT_B
R05,Room 05,START_R05,3,EXIT_B,6.0,11.957,17.957,6,START_R05 -> DOOR_05 -> ELBOW_R05 -> C4 -> C5 -> EELBOW_EXIT_B -> EXIT_B
R06,Room 06,START_R06,13,EXIT_B,5.0,13.97838888888889,18.97838888888889,5,START_R06 -> DOOR_06 -> ELBOW_R06 -> C5 -> EELBOW_EXIT_B -> EXIT_B
R07,Room 07,START_R07,7,EXIT_C,9.0,4.340583333333333,13.340583333333331,9,START_R07 -> DOOR_07 -> ELBOW_R07 -> C6 -> C7 -> C8 -> C9 -> C10 -> EELBOW_EXIT_C -> EXIT_C
R08,Room 08,START_R08,23,EXIT_B,7.0,12.725388888888888,19.725388888888887,7,START_R08 -> DOOR_08 -> ELBOW_R08 -> C7 -> C6 -> C5 -> EELBOW_EXIT_B -> EXIT_B
R09,Room 09,START_R09,4,EXIT_C,7.0,3.654791666666667,10.654791666666668,7,START_R09 -> DOOR_09 -> ELBOW_R09 -> C8 -> C9 -> C10 -> EELBOW_EXIT_C -> EXIT_C
R10,Room 10,START_R10,4,EXIT_C,6.0,4.298,10.298,6,START_R10 -> DOOR_10 -> ELBOW_R10 -> C9 -> C10 -> EELBOW_EXIT_C -> EXIT_C
R11,Room 11,START_R11,3,EXIT_C,5.0,4.301388888888889,9.301388888888889,5,START_R11 -> DOOR_11 -> ELBOW_R11 -> C10 -> EELBOW_EXIT_C -> EXIT_C
R12,Room 12,START_R12,2,EXIT_C,6.0,6.711611111111111,12.711611111111111,6,START_R12 -> DOOR_12 -> ELBOW_R12 -> C11 -> C10 -> EELBOW_EXIT_C -> EXIT_C
R13,Room 13,START_R13,10,EXIT_C,7.0,3.455555555555555,10.455555555555556,7,START_R13 -> DOOR_13 -> ELBOW_R13 -> C12 -> C11 -> C10 -> EELBOW_EXIT_C -> EXIT_C
R14,Room 14,START_R14,7,EXIT_C,8.0,5.564722222222222,13.564722222222223,8,START_R14 -> DOOR_14 -> ELBOW_R14 -> C13 -> C12 -> C11 -> C10 -> EELBOW_EXIT_C -> EXIT_C
R15,Room 15,START_R15,7,EXIT_D,6.0,6.611388888888888,12.611388888888886,6,START_R15 -> DOOR_15 -> ELBOW_R15 -> C14 -> C15 -> EELBOW_EXIT_D -> EXIT_D
R16,Room 16,START_R16,24,EXIT_D,5.0,15.552000000000003,20.552000000000003,5,START_R16 -> DOOR_16 -> ELBOW_R16 -> C15 -> EELBOW_EXIT_D -> EXIT_D
R17,Room 17,START_R17,14,EXIT_A,5.0,8.098,13.098,5,START_R17 -> DOOR_17 -> ELBOW_R17 -> C0 -> EELBOW_EXIT_A -> EXIT_A
R18,Room 18,START_R18,3,EXIT_A,6.0,12.461722222222223,18.46172222222222,6,START_R18 -> DOOR_18 -> ELBOW_R18 -> C1 -> C0 -> EELBOW_EXIT_A -> EXIT_A
R19,Room 19,START_R19,6,EXIT_A,7.0,12.809777777777779,19.80977777777778,7,START_R19 -> DOOR_19 -> ELBOW_R19 -> C2 -> C1 -> C0 -> EELBOW_EXIT_A -> EXIT_A
R20,Room 20,START_R20,2,EXIT_B,7.0,13.875125000000002,20.875125000000004,7,START_R20 -> DOOR_20 -> ELBOW_R20 -> C3 -> C4 -> C5 -> EELBOW_EXIT_B -> EXIT_B
