source,target,edge_type,distance,capacity,notes
A2,B2,navigation,1.0,3,adjacent green grid nodes inside R01
A2,A3,navigation,1.0,3,adjacent green grid nodes inside R01
A3,A4,navigation,1.0,3,adjacent green grid nodes inside R01
A4,B4,navigation,1.0,3,adjacent green grid nodes inside R01
A6,B6,navigation,1.0,3,adjacent green grid nodes inside R06
A6,A7,navigation,1.0,3,adjacent green grid nodes inside R06
A7,A8,navigation,1.0,3,adjacent green grid nodes inside R06
A8,B8,navigation,1.0,3,adjacent green grid nodes inside R06
A10,B10,navigation,1.0,3,adjacent green grid nodes inside R08
A10,A11,navigation,1.0,3,adjacent green grid nodes inside R08
A11,A12,navigation,1.0,3,adjacent green grid nodes inside R08
A12,B12,navigation,1.0,3,adjacent green grid nodes inside R08
B2,C2,navigation,1.0,3,adjacent green grid nodes inside R01
B4,C4,navigation,1.0,3,adjacent green grid nodes inside R01
B6,C6,navigation,1.0,3,adjacent green grid nodes inside R06
B8,C8,navigation,1.0,3,adjacent green grid nodes inside R06
B10,C10,navigation,1.0,3,adjacent green grid nodes inside R08
B12,C12,navigation,1.0,3,adjacent green grid nodes inside R08
C2,C3,navigation,1.0,3,adjacent green grid nodes inside R01
C3,C4,navigation,1.0,3,adjacent green grid nodes inside R01
C6,C7,navigation,1.0,3,adjacent green grid nodes inside R06
C7,C8,navigation,1.0,3,adjacent green grid nodes inside R06
C10,C11,navigation,1.0,3,adjacent green grid nodes inside R08
C11,C12,navigation,1.0,3,adjacent green grid nodes inside R08
E4,E5,navigation,1.0,2,adjacent green grid nodes inside H01
E5,E6,navigation,1.0,2,adjacent green grid nodes inside H01
E6,E7,navigation,1.0,2,adjacent green grid nodes inside H01
E7,E8,navigation,1.0,2,adjacent green grid nodes inside H01
E8,E9,navigation,1.0,2,adjacent green grid nodes inside H01
E9,F9,navigation,1.0,2,adjacent green grid nodes inside H01
E9,E10,navigation,1.0,2,adjacent green grid nodes inside H01
E10,F10,navigation,1.0,2,adjacent green grid nodes inside H01
E10,E11,navigation,1.0,2,adjacent green grid nodes inside H01
E11,E12,navigation,1.0,2,adjacent green grid nodes inside H01
F9,G9,navigation,1.0,2,adjacent green grid nodes inside H01
F9,F10,navigation,1.0,2,adjacent green grid nodes inside H01
F10,G10,navigation,1.0,2,adjacent green grid nodes inside H01
G2,H2,navigation,1.0,3,adjacent green grid nodes inside R03
G2,G3,navigation,1.0,3,adjacent green grid nodes inside R03
G3,H3,navigation,1.0,3,adjacent green grid nodes inside R03
G3,G4,navigation,1.0,3,adjacent green grid nodes inside R03
G4,H4,navigation,1.0,3,adjacent green grid nodes inside R03
