source,target,edge_type,distance,capacity,notes
C0,C1,navigation,1.0,3,
C1,C2,navigation,1.0,5,
C2,C3,navigation,1.0,3,
C3,C4,navigation,1.0,4,
C4,C5,navigation,1.0,3,
C5,C6,navigation,1.0,4,
C6,C7,navigation,1.0,4,
C7,C8,navigation,1.0,4,
C8,C9,navigation,1.0,5,
C9,C10,navigation,1.0,4,
C10,C11,navigation,1.0,3,
C11,C12,navigation,1.0,3,
C12,C13,navigation,1.0,4,
C13,C14,navigation,1.0,3,
C14,C15,navigation,1.0,4,
C15,C16,navigation,1.0,4,
C16,C17,navigation,1.0,5,
C17,C18,navigation,1.0,3,
C18,C19,navigation,1.0,5,
C19,C20,navigation,1.0,4,
C20,C21,navigation,1.0,4,
C21,C22,navigation,1.0,5,
C22,C23,navigation,1.0,3,
C23,C0,navigation,1.0,5,
C0,EELBOW_EXIT_A,navigation,1.0,4,
EELBOW_EXIT_A,EXIT_A,exit,1.0,5,
C5,EELBOW_EXIT_B,navigation,1.0,4,
EELBOW_EXIT_B,EXIT_B,exit,1.0,4,
C9,EELBOW_EXIT_C,navigation,1.0,4,
EELBOW_EXIT_C,EXIT_C,exit,1.0,6,
C14,EELBOW_EXIT_D,navigation,1.0,6,
EELBOW_EXIT_D,EXIT_D,exit,1.0,4,
C18,EELBOW_EXIT_E,navigation,1.0,5,
EELBOW_EXIT_E,EXIT_E,exit,1.0,6,
C23,EELBOW_EXIT_F,navigation,1.0,4,
EELBOW_EXIT_F,EXIT_F,exit,1.0,5,
START_R01,DOOR_01,room_start,1.0,2,
DOOR_01,ELBOW_R01,door_to_hallway,1.0,2,
ELBOW_R01,C0,navigation,1.0,3,
START_R02,DOOR_02,room_start,1.0,3,
DOOR_02,ELBOW_R02,door_to_hallway,1.0,2,
ELBOW_R02,C1,navigation,1.0,3,
START_R03,DOOR_03,room_start,1.0,2,
DOOR_03,ELBOW_R03,door_to_hallway,1.0,2,
ELBOW_R03,C2,navigation,1.0,3,
START_R04,DOOR_04,room_start,1.0,3,
DOOR_04,ELBOW_R04,door_to_hallway,1.0,2,
ELBOW_R04,C3,navigation,1.0,3,
START_R05,DOOR_05,room_start,1.0,2,
DOOR_05,ELBOW_R05,door_to_hallway,1.0,2,
ELBOW_R05,C4,navigation,1.0,3,
START_R06,DOOR_06,room_start,1.0,2,
DOOR_06,ELBOW_R06,door_to_hallway,1.0,3,
ELBOW_R06,C5,navigation,1.0,3,
START_R07,DOOR_07,room_start,1.0,2,
DOOR_07,ELBOW_R07,door_to_hallway,1.0,3,
ELBOW_R07,C6,navigation,1.0,3,
START_R08,DOOR_08,room_start,1.0,3,
