source,target,edge_type,distance,capacity,notes
C0,C1,navigation,1.0,3,
C1,C2,navigation,1.0,3,
C2,C3,navigation,1.0,3,
C3,C4,navigation,1.0,4,
C4,C5,navigation,1.0,3,
C5,C6,navigation,1.0,5,
C6,C7,navigation,1.0,5,
C7,C0,navigation,1.0,4,
C0,EELBOW_EXIT_A,navigation,1.0,5,
EELBOW_EXIT_A,EXIT_A,exit,1.0,6,
C7,EELBOW_EXIT_B,navigation,1.0,4,
EELBOW_EXIT_B,EXIT_B,exit,1.0,6,
START_R01,DOOR_01,room_start,1.0,2,
DOOR_01,ELBOW_R01,door_to_hallway,1.0,2,
ELBOW_R01,C0,navigation,1.0,3,
START_R02,DOOR_02,room_start,1.0,3,
DOOR_02,ELBOW_R02,door_to_hallway,1.0,3,
ELBOW_R02,C1,navigation,1.0,3,
START_R03,DOOR_03,room_start,1.0,3,
DOOR_03,ELBOW_R03,door_to_hallway,1.0,2,
ELBOW_R03,C2,navigation,1.0,2,
START_R04,DOOR_04,room_start,1.0,3,
DOOR_04,ELBOW_R04,door_to_hallway,1.0,3,
ELBOW_R04,C3,navigation,1.0,3,
START_R05,DOOR_05,room_start,1.0,3,
DOOR_05,ELBOW_R05,door_to_hallway,1.0,3,
ELBOW_R05,C4,navigation,1.0,2,
START_R06,DOOR_06,room_start,1.0,2,
DOOR_06,ELBOW_R06,door_to_hallway,1.0,2,
ELBOW_R06,C5,navigation,1.0,2,
START_R07,DOOR_07,room_start,1.0,2,
DOOR_07,ELBOW_R07,door_to_hallway,1.0,2,
ELBOW_R07,C6,navigation,1.0,3,
START_R08,DOOR_08,room_start,1.0,2,
DOOR_08,ELBOW_R08,door_to_hallway,1.0,2,
ELBOW_R08,C7,navigation,1.0,3,
START_R09,DOOR_09,room_start,1.0,2,
DOOR_09,ELBOW_R09,door_to_hallway,1.0,3,
ELBOW_R09,C0,navigation,1.0,3,
START_R10,DOOR_10,room_start,1.0,3,
DOOR_10,ELBOW_R10,door_to_hallway,1.0,3,
ELBOW_R10,C1,navigation,1.0,3,
