node_id,node_type,grid_position,description,space_type,space_id,space_name,room_id,room_name
C0,navigation,B_A3,navigation node,hallway,,,,
C1,navigation,C_A3,navigation node,hallway,,,,
C2,navigation,D_A3,navigation node,hallway,,,,
C3,navigation,E_A3,navigation node,hallway,,,,
C4,navigation,F_A3,navigation node,hallway,,,,
C5,navigation,G_A3,navigation node,hallway,,,,
C6,navigation,H_A3,navigation node,hallway,,,,
C7,navigation,H_A4,navigation node,hallway,,,,
C8,navigation,H_A5,navigation node,hallway,,,,
C9,navigation,H_A6,navigation node,hallway,,,,
C10,navigation,H_A7,navigation node,hallway,,,,
C11,navigation,H_A8,navigation node,hallway,,,,
C12,navigation,H_A9,navigation node,hallway,,,,
C13,navigation,G_A9,navigation node,hallway,,,,
C14,navigation,F_A9,navigation node,hallway,,,,
C15,navigation,E_A9,navigation node,hallway,,,,
C16,navigation,D_A9,navigation node,hallway,,,,
C17,navigation,C_A9,navigation node,hallway,,,,
C18,navigation,B_A9,navigation node,hallway,,,,
C19,navigation,B_A8,navigation node,hallway,,,,
C20,navigation,B_A7,navigation node,hallway,,,,
C21,navigation,B_A6,navigation node,hallway,,,,
C22,navigation,B_A5,navigation node,hallway,,,,
C23,navigation,B_A4,navigation node,hallway,,,,
EELBOW_EXIT_A,navigation,C3,navigation node,hallway,,,,
EXIT_A,exit,C4,exit node,,,,,
EELBOW_EXIT_B,navigation,H3,navigation node,hallway,,,,
EXIT_B,exit,H4,exit node,,,,,
EELBOW_EXIT_C,navigation,I6,navigation node,hallway,,,,
EXIT_C,exit,I7,exit node,,,,,
EELBOW_EXIT_D,navigation,G9,navigation node,hallway,,,,
EXIT_D,exit,G10,exit node,,,,,
EELBOW_EXIT_E,navigation,C9,navigation node,hallway,,,,
EXIT_E,exit,C10,exit node,,,,,
EELBOW_EXIT_F,navigation,C4,navigation node,hallway,,,,
EXIT_F,exit,C5,exit node,,,,,
DOOR_01,door,B2,door node,door,R01,,R01,Room 01
START_R01,room_start,B1,room_start node,room,R01,,R01,Room 01
