room_id,room_name,capacity,occupancy
R01,Room 01,23,19
R02,Room 02,25,25
R03,Room 03,13,10
R04,Room 04,26,21
R05,Room 05,9,6
R06,Room 06,9,9
R07,Room 07,28,23
R08,Room 08,12,12
R09,Room 09,5,2
R10,Room 10,10,6
R11,Room 11,23,20
R12,Room 12,21,17
R13,Room 13,13,12
R14,Room 14,14,12
R15,Room 15,14,10
R16,Room 16,20,15
R17,Room 17,7,2
R18,Room 18,20,19
R19,Room 19,23,23
R20,Room 20,10,10
R21,Room 21,7,6
R22,Room 22,7,7
R23,Room 23,21,16
R24,Room 24,13,9
R25,Room 25,24,24
R26,Room 26,10,9
R27,Room 27,27,24
R28,Room 28,6,4
R29,Room 29,8,4
R30,Room 30,13,9
